,Method,Avg_SD,reproducibility
0,Seurat(CCA),7.04510146366091e-18,1.0
1,BindSC,0.00046898811446302363,0.999531011885537
2,scBridge,0.0013363280915687646,0.9986636719084312
3,scglue(multiome),0.002346169733858493,0.9976538302661415
4,scglue,0.0030206214045291795,0.9969793785954708
5,simba,0.00313435537233564,0.9968656446276644
6,Portal,0.003665590898116903,0.9963344091018831
7,scJoint,0.003732333734224388,0.9962676662657756
8,scVI,0.02503466805695128,0.9749653319430487
9,Cobolt,0.08791963771910037,0.9120803622808996
10,scDART,0.1713755796747988,0.8286244203252012
