method,asw,asw_random,omics_asw,ami,ari,ks.statistic
BindSC,0.576937821,0.493845699,0.927161415,0.616901639,0.508392993,0.270562194
Conos,0.618423214,0.471273947,0.499057232,0.672146813,0.556938714,0.110483139
LIGER,0.510670837,0.47701081,0.63263873,0.600594044,0.464913361,0.39283351
MultiMAP,0.593815403,0.474052638,0.727125375,0.501333583,0.345828083,0.272890545
Seurat(CCA),0.627465297,0.480354491,0.729930402,0.782165748,0.79633235,0.390372818
scDART,0.644311662,0.476825943,0.91026308,0.712479343,0.702772831,0.415944895
scMoMaT,0.548485376,0.490961528,0.811894439,0.562032218,0.381274284,0.036076638
simba,0.603486086,0.489872356,0.686357637,0.706829889,0.687810571,0.275544627
scglue,0.573682674,0.488764516,0.976161872,0.764402038,0.674427774,0.44256093
Unioncom,0.535792225,0.479740729,0.598902549,0.458215485,0.351123542,0.014706096
Portal,0.556104104,0.479642917,0.930960411,0.742797993,0.760556014,0.281488027
scJoint,0.693255581,0.487353564,0.838132899,0.700706785,0.538351194,0.169005691
scBridge,0.693148065,0.486412986,0.697535757,0.652457904,0.529751485,0.186981041
Cobolt,0.592133194,0.473246549,0.873296967,0.54969588,0.370161587,0.21799883
scglue(multiome),0.605108359,0.486788183,0.95044594,0.818332916,0.785280071,0.586700563
scVI,0.6304122,0.487242176,0.922794365,0.762103314,0.723885691,0.339640032
Seurat(WNN),0.600490151,0.47814153,0.447644872,0.476549781,0.39877932,0.345563795
MinNet,0.583823453,0.484194413,0.766964735,0.715027884,0.554189831,0.12881068
