"Method.x","peakdist_adj"
"BindSC",0.898502813981146
"Cobolt",0.812038331153886
"Conos",0.493463156474133
"LIGER",0.828822634513193
"MinNet",0.872158915229148
"MultiMAP",0.503382827772056
"Portal",0.900412240381057
"Seurat.CCA.",0.86933509143326
"Seurat.WNN.",0.604347430149773
"Unioncom",0.273954624916058
"random",0
"scBridge",0.552332139604515
"scDART",0.903615439105559
"scJoint",0.64678632970466
"scMoMaT",0.85194818956799
"scVI",0.931288895622134
"scglue",0.925868065260427
"scglue.multiome.",0.939066600474498
"simba",0.891058138486207
