method,Naive CD20+ B,CD14+ Mono,CD8+ T,CD16+ Mono,B1 B,Lymph prog,CD4+ T naive,CD4+ T activated,Erythroblast,NK,Transitional B,Normoblast,G/M prog,MK/E prog,HSC,pDC,Proerythroblast,Plasma cell,average_accu
random_atac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BindSC(batch),0.936988543371522,0.8860473862354269,0.8269230769230769,0.8722986247544204,0.6392694063926941,0.7200902934537247,0.6358744394618835,0.7804449648711943,0.7768542199488491,0.9784213515048268,0.9263565891472869,0.6188118811881188,0.6072507552870091,0.621160409556314,0.5814977973568283,0.9546827794561934,0.6430107526881721,0.8673835125448028,0.7707425991190191
BindSC,0.9108019639934534,0.9447160586686724,0.559681697612732,0.62475442043222,0.578386605783866,0.6749435665914221,0.6367713004484306,0.7745901639344261,0.7595907928388748,0.9744463373083475,0.9405684754521964,0.8217821782178218,0.6314199395770392,0.6006825938566552,0.6519823788546255,0.9546827794561934,0.6064516129032259,0.8279569892473119,0.7485672141765286
MIDAS(batch),0.8608837970540099,0.9496051147047763,0.8905835543766578,0.8978388998035364,0.8432267884322678,0.8103837471783296,0.6035874439461882,0.7693208430913349,0.8069053708439897,0.9733106189664963,0.8992248062015504,0.8547854785478548,0.46223564954682783,0.5426621160409556,0.6387665198237885,0.9516616314199395,0.6752688172043011,0.7096774193548387,0.7855515898076469
MIDAS,0.9328968903436988,0.9868371568258744,0.8607427055702918,0.8153241650294696,0.8264840182648402,0.762979683972912,0.6816143497757846,0.7476580796252927,0.7730179028132993,0.9670641680863147,0.9018087855297158,0.7343234323432344,0.47432024169184295,0.6791808873720137,0.5859030837004405,0.9335347432024169,0.7419354838709677,0.7598566308243727,0.78697124493571
MaxFuse,0.8576104746317513,0.7593080105302745,0.6014588859416446,0.09037328094302553,0.5692541856925419,0.327313769751693,0.21165919282511209,0.5796252927400468,0.6016624040920716,0.963657013060761,0.8410852713178294,0.9521452145214522,-0.021148036253776436,0.18771331058020477,0.722466960352423,-0.01812688821752266,0.3440860215053763,0.8602150537634409,0.5239088565432416
Portal,0.8715220949263502,0.8777735990974049,0.7314323607427058,0.3575638506876228,0.7199391171993912,0.762979683972912,0.6062780269058295,0.7289227166276346,0.8190537084398977,0.9471890971039182,0.8746770025839793,0.38943894389438943,0.6072507552870091,0.6757679180887372,0.7665198237885462,0.8277945619335347,0.7118279569892473,0.7311827956989247,0.7226174452204462
Seurat(CCA),0.9181669394435351,0.9007145543437381,0.8335543766578251,0.32220039292730845,0.7625570776255708,0.7516930022573363,0.5883408071748879,0.8149882903981264,0.751918158567775,0.9687677455990914,0.8527131782945736,0.7046204620462047,0.5861027190332326,0.7815699658703071,0.7797356828193833,0.7703927492447129,0.6086021505376344,0.8709677419354839,0.7537558885987072
scBridge,0.8903436988543372,0.9473486273034976,0.8965517241379309,0.7053045186640472,0.9025875190258751,0.7065462753950339,0.5434977578475336,0.772248243559719,0.8171355498721228,0.9733106189664963,0.91343669250646,0.8646864686468647,0.338368580060423,0.726962457337884,0.8370044052863437,0.8640483383685801,0.1870967741935484,0.8387096774193549,0.7625104404136694
scButterfly,0.9492635024549918,0.9868371568258744,0.763925729442971,0.7779960707269156,0.573820395738204,0.18510158013544017,0.37309417040358744,0.7652224824355972,0.9565217391304348,0.9420783645655878,0.8527131782945736,0.5099009900990099,0.3353474320241692,0.44027303754266217,0.49779735682819387,0.9214501510574019,0.5290322580645161,0.6559139784946237,0.6675716430147085
scDART,-0.0613747954173486,-0.2196314403911245,-0.08885941644562334,-0.03339882121807466,-0.0410958904109589,0.14672686230248308,-0.05829596412556053,-0.08899297423887588,-0.11828644501278772,-0.055082339579784215,0.14728682170542634,-0.039603960396039604,-0.030211480362537766,0.0034129692832764492,0.0,-0.021148036253776436,-0.015053763440860214,0.16129032258064516,-0.022906575078973406
scJoint(batch),0.7626841243862521,0.9853328318916885,0.6160477453580903,-0.03143418467583497,0.6407914764079147,0.309255079006772,0.4098654708520179,0.8208430913348945,0.9456521739130436,0.9244747302668939,0.1925064599483204,-0.023102310231023108,0.039274924471299086,0.040955631399317405,0.2599118942731278,0.5589123867069486,0.03225806451612903,0.0931899641577061,0.42096775299908656
scJoint,0.909165302782324,0.9939827002632569,0.73342175066313,-0.025540275049115914,0.6149162861491629,0.4085778781038375,0.48609865470852015,0.5761124121779859,0.90153452685422,0.918228279386712,0.6821705426356589,0.0,0.06948640483383685,0.15699658703071673,0.19383259911894274,0.2990936555891239,0.24301075268817204,0.06451612903225806,0.4569780103871524
