method,asw,asw_random,omics_asw,ami,ari,ks.statistic
Seurat(CCA),0.62559353234645,0.4858483939222677,0.7018064000988503,0.001664136296055,-0.0040042859131358,0.0129870129870129
BindSC,0.5802674025240568,0.4910451567563302,0.8739727785132572,0.0035258052943644,-0.0016848112473697,0.0042499764761449
scBridge,0.6685673321350702,0.4884353911541234,0.7065881453976306,-0.0131265886103316,-0.0081828244756126,0.0
scglue,0.6151034711525872,0.4860356978142796,0.8771371541175893,0.0102636097504427,0.0007629671091209,0.0259029931568644
scglue(multiome),0.6219823523590989,0.4871292645179196,0.8846164233700184,-0.0136360517377159,-0.0088492921986419,0.0
scJoint,0.5581413915889563,0.4921747147823681,0.777618379163419,0.0052072868430399,-0.0043637263805393,0.0127739145355284
scVI,0.586458366739548,0.4895413080755005,0.8611485045889168,0.056406619073696,0.0234463677639046,0.008156781420029
simba,0.6072628899771234,0.4890449756032145,0.6448970398036004,-0.0327559521748282,-0.0194821462782026,0.0
Portal,0.5654882704376696,0.4888412784352876,0.882874522977643,0.0072701283803616,-0.0012526657337871,0.0065940594424754
MaxFuse,0.5700952537194619,0.4889026398236181,0.800868972885828,0.0106277604830435,0.0034817941042746,0.0067361250767984
MIDAS,0.5551556511284733,0.4890221567922637,0.8946161382848749,-0.0559688785341094,-0.0306268365286139,0.01192152072959
scButterfly,0.6190749208334287,0.4889821683546987,0.7637885918151323,0.006096449736709171,0.0029656327352663736,0.0
