pipeline,setting,method,overall,"Biological diversity
preservation","Batch effects
correction","Omics gaps
reduction","Optimal alignment
between modalities"
scglue(multiome),Default,scglue(multiome),0.757,0.735,0.849,0.629,0.814
scglue(multiome),Batch-aware,"scglue(multiome,batch)",0.776,0.742,0.865,0.665,0.834
scVI,Default,scVI,0.731,0.692,0.765,0.641,0.827
scVI,Batch-aware,scVI(batch),0.767,0.72,0.859,0.662,0.828
scglue,Default,scglue,0.748,0.735,0.842,0.611,0.804
scglue,Batch-aware,scglue(batch),0.764,0.74,0.863,0.636,0.817
scBridge,Default,scBridge,0.741,0.808,0.849,0.54,0.765
simba,Default,simba,0.686,0.703,0.853,0.473,0.715
Seurat(CCA),Default,Seurat(CCA),0.684,0.701,0.828,0.465,0.741
BindSC,Default,BindSC,0.655,0.659,0.8,0.475,0.687
BindSC,Batch-aware,BindSC(batch),0.681,0.673,0.831,0.5,0.721
Portal,Default,Portal,0.672,0.67,0.84,0.5,0.68
scJoint,Default,scJoint,0.605,0.611,0.787,0.503,0.52
MaxFuse,Default,MaxFuse,0.625,0.665,0.803,0.44,0.59
MIDAS,Default,MIDAS,0.7,0.67,0.766,0.604,0.758
MIDAS,Batch-aware,MIDAS(batch),0.726,0.66,0.825,0.675,0.745
scButterfly,Default,scButterfly,0.677,0.698,0.837,0.478,0.694
