"method","ks_celltype_mean","asw","ks_sample_mean","sample_asw","ks.statistic","omics_asw","ami","ari","ks_inter_celltype_mean","average_accu","peakdist_adj","score","Rank"
"scglue(multiome)&",0.87,0.61,0.83,0.9,0.41,0.92,0.81,0.73,0.85,0.86,0.9,0.78,1
"scVI&",0.85,0.59,0.8,0.92,0.41,0.91,0.83,0.79,0.83,0.82,0.88,0.77,2
"scglue&",0.87,0.61,0.82,0.9,0.35,0.92,0.79,0.69,0.85,0.85,0.89,0.76,3
"scglue(multiome)",0.87,0.6,0.81,0.89,0.34,0.92,0.78,0.65,0.85,0.86,0.9,0.76,4
"scglue",0.87,0.6,0.8,0.88,0.29,0.93,0.76,0.63,0.84,0.85,0.9,0.75,5
"scBridge",0.87,0.74,0.81,0.89,0.22,0.86,0.72,0.65,0.82,0.76,0.82,0.74,6
"scVI",0.82,0.57,0.66,0.87,0.37,0.91,0.85,0.81,0.77,0.85,0.92,0.73,7
"MIDAS&",0.76,0.56,0.72,0.93,0.43,0.92,0.73,0.62,0.73,0.79,0.87,0.73,8
"MIDAS",0.78,0.56,0.64,0.89,0.3,0.91,0.75,0.66,0.73,0.79,0.88,0.7,9
"simba",0.83,0.58,0.78,0.93,0.12,0.83,0.68,0.5,0.82,0.68,0.8,0.69,10
"Seurat(CCA)",0.82,0.58,0.75,0.9,0.1,0.83,0.69,0.55,0.8,0.75,0.86,0.68,11
"BindSC&",0.79,0.56,0.74,0.92,0.09,0.91,0.66,0.51,0.76,0.77,0.87,0.68,12
"scButterfly",0.81,0.59,0.78,0.89,0.08,0.88,0.64,0.46,0.79,0.67,0.8,0.68,13
"Portal",0.79,0.55,0.74,0.94,0.07,0.93,0.66,0.55,0.76,0.72,0.63,0.67,14
"BindSC",0.77,0.55,0.69,0.91,0.06,0.89,0.62,0.44,0.73,0.75,0.86,0.66,15
"MaxFuse",0.78,0.55,0.7,0.91,0.02,0.86,0.61,0.45,0.65,0.52,0.65,0.62,16
"scJoint",0.65,0.57,0.61,0.96,0.07,0.94,0.59,0.41,0.53,0.46,0.6,0.61,17
