method,celltype,ks_celltype,ks_inter_celltype,celltype_omics_ASW
Seurat(CCA),Naive CD20+ B,0.9583764367296772,0.966979144849402,0.5906087224995097
Seurat(CCA),CD14+ Mono,0.9384382383563818,0.9356470591002662,0.7594819559120621
Seurat(CCA),CD8+ T,0.6669773412482953,0.7477342781813751,0.633176370901979
Seurat(CCA),CD16+ Mono,0.8594344937461061,0.8355993428035708,0.6845706286192362
Seurat(CCA),B1 B,0.858020129292996,0.863028444509244,0.6043341049258247
Seurat(CCA),Lymph prog,0.8732440023085744,0.8851688001165792,0.6491936178817053
Seurat(CCA),CD4+ T naive,0.7339607966633724,0.7624237119242098,0.6813330212839103
Seurat(CCA),CD4+ T activated,0.7308322078760696,0.7622340833158234,0.6713776967420046
Seurat(CCA),Erythroblast,0.8921906613005995,0.8859029184251088,0.8647489781049676
Seurat(CCA),NK,0.8507718208630349,0.8949822692059711,0.636530725977625
Seurat(CCA),Transitional B,0.8839876962130722,0.9029223940452542,0.6325140854033467
Seurat(CCA),Normoblast,0.9145948383376026,0.8774830490969113,0.7851822745163812
Seurat(CCA),ILC,0.663973368748054,0.6498691039470281,0.7187541643517075
Seurat(CCA),G/M prog,0.7783322789857717,0.7662117292111047,0.8244765893503041
Seurat(CCA),MK/E prog,0.9511490462662338,0.954783887987013,0.6221317852804144
Seurat(CCA),HSC,0.9328635933783628,0.9435549086204108,0.6027954025336948
Seurat(CCA),pDC,0.8997413703809204,0.9162207429000552,0.6557660406405792
Seurat(CCA),ID2-hi myeloid prog,0.7974070339519052,0.7523576390312261,0.7490735781677329
Seurat(CCA),Proerythroblast,0.7934660106775959,0.8168429325055651,0.7617783147781714
Seurat(CCA),Plasma cell,0.8767823380450426,0.9078333942596036,0.603531815503128
Seurat(CCA),cDC2,0.8146739108748913,0.7948428659212974,0.7592311147993271
BindSC,Naive CD20+ B,0.8179412752421182,0.8972243413125511,0.7634419673043531
BindSC,CD14+ Mono,0.7494783515046608,0.8122368838884679,0.8504068381938122
BindSC,CD8+ T,0.4521271756468963,0.4736720208776474,0.8441574197041068
BindSC,CD16+ Mono,0.7245322217420597,0.7316695700099403,0.776091442328189
BindSC,B1 B,0.7860585990873997,0.8391128233827456,0.791757131393269
BindSC,Lymph prog,0.8710978095387837,0.901253082253506,0.8525350572837134
BindSC,CD4+ T naive,0.6139719968805062,0.633233538114998,0.8672178397402258
BindSC,CD4+ T activated,0.5533121448200404,0.5846489069612422,0.864380437736207
BindSC,Erythroblast,0.8159908542981935,0.8368656170973267,0.8567621120528774
BindSC,NK,0.7595510843522174,0.850456053371242,0.7498782010413181
BindSC,Transitional B,0.8694050012446417,0.8661016600997665,0.8218088127842669
BindSC,Normoblast,0.798790739646428,0.8021457641878882,0.7544558021734861
BindSC,ILC,0.4852832373797377,0.5340447175532844,0.7730566048656758
BindSC,G/M prog,0.8190816903083832,0.7924826370584244,0.8816235458180622
BindSC,MK/E prog,0.9130136465097404,0.8846470424107142,0.7777821432853749
BindSC,HSC,0.9201251094060272,0.910147597233419,0.6914607673983717
BindSC,pDC,0.759734679212338,0.6694943443363828,0.8443122876416759
BindSC,ID2-hi myeloid prog,0.4882054279327089,0.4760421528119211,0.7811682035711464
BindSC,Proerythroblast,0.8192580252500069,0.761820091058354,0.7971025848131873
BindSC,Plasma cell,0.8206641639133352,0.8071666535028644,0.8069686652324839
BindSC,cDC2,0.5849805377991653,0.5757639238031396,0.8855852035469114
