"method","ks_celltype_mean","asw","omics_asw","ks_inter_celltype_mean","average_accu","peakdist_adj","score","Rank"
"scglue",0.83,0.62,0.95,0.83,0.84,0.85,0.84,1
"scglue(multiome)",0.84,0.62,0.94,0.84,0.86,0.78,0.83,2
"scVI",0.78,0.6,0.93,0.77,0.88,0.82,0.81,3
"scButterfly",0.85,0.63,0.83,0.85,0.79,0.74,0.79,4
"scBridge",0.85,0.7,0.79,0.84,0.73,0.78,0.79,5
"MaxFuse",0.81,0.59,0.9,0.8,0.79,0.67,0.79,6
"Portal",0.76,0.55,0.92,0.74,0.77,0.66,0.77,7
"MIDAS",0.66,0.56,0.94,0.65,0.85,0.81,0.76,8
"scJoint",0.86,0.64,0.78,0.84,0.68,0.62,0.76,9
"Seurat(CCA)",0.82,0.64,0.71,0.83,0.81,0.72,0.74,10
"BindSC",0.7,0.55,0.82,0.74,0.69,0.74,0.72,11
"simba",0.82,0.61,0.64,0.84,0.74,0.6,0.71,12
