method,asw,asw_random,omics_asw,ami,ari,ks.statistic
Seurat(CCA),0.6064646681986696,0.4728824561103614,0.6900281422939815,0.7435283964894481,0.6606610895344477,0.1632390745501285
BindSC,0.5195209718560313,0.4871522448432612,0.8110453841861291,0.589468231960025,0.3792458153592009,0.0036150385604113
scBridge,0.6814772044395785,0.4839417798150771,0.6641173050530932,0.7322900505602693,0.6692111125019257,0.1875803341902313
scglue,0.5967596981084958,0.4827451693384466,0.9307196120966684,0.7781990489617346,0.6734690303451525,0.4971883033419023
scglue(multiome),0.5989369163500252,0.4817010330888409,0.92741760286858,0.795149468713775,0.7095903908032708,0.541452442159383
scJoint,0.6074036197346201,0.4813808289929862,0.7456106135453785,0.7365612791078998,0.6738007297391222,0.0029723650385604
scVI,0.577540034820777,0.4847844858881134,0.904408280386192,0.764721987903376,0.6678857396579326,0.5690874035989717
simba,0.5751244199903341,0.4837511922122707,0.6782115314864811,0.6841565623020149,0.5313105389103677,0.2154562982005141
Portal,0.5392299726615934,0.4796686538131504,0.8868305921620248,0.6871260649694894,0.5843153462035207,0.1484575835475577
MaxFuse,0.57399896659503,0.4711486900816256,0.7809361076862035,0.6666508211514766,0.4898719255414843,0.2438946015424164
MIDAS,0.5505181286631566,0.4769877855042927,0.9085731756595964,0.7253804541039255,0.6343344183433,0.5657937017994858
scButterfly,0.6065909760741403,0.47966406978989445,0.8164524039053267,0.7276205598707831,0.5768199296535634,0.3043862467866324
