method,Tumor,Luminal mature,Fibroblasts,Macrophages,DC,T-cells,Luminal progenitor,B-cells,Basal progenitor,Endothelial,Plasma,Pericytes,average_accu
random_atac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BindSC,0.8795847750865053,0.08,0.9617224880382775,0.9489932885906041,0.10638297872340426,0.9535603715170279,0.9859154929577464,0.8925233644859814,0.865546218487395,0.6944444444444444,0.014285714285714285,0.0,0.6152465947180917
Cobolt,0.16193771626297587,0.013333333333333334,-0.09569377990430622,0.5664429530201343,-0.0425531914893617,-0.05572755417956656,-0.061971830985915494,-0.02803738317757009,-0.06302521008403361,0.0,-0.014285714285714285,-0.029411764705882353,0.02925063115034109
MIDAS,0.9231833910034603,0.0,0.631578947368421,0.9100671140939598,-0.0425531914893617,0.7739938080495355,0.904225352112676,0.14953271028037382,0.5210084033613446,0.027777777777777776,0.6285714285714287,0.0,0.4522821450941346
MaxFuse,0.8283737024221453,0.24,0.9736842105263158,0.9677852348993289,-0.0425531914893617,0.9845201238390092,0.9943661971830985,0.2897196261682243,0.9705882352941178,0.0,-0.014285714285714285,-0.029411764705882353,0.5135655549876068
Portal,0.878892733564014,0.84,0.9545454545454545,0.9315436241610738,0.2340425531914894,0.9318885448916409,0.9718309859154929,0.8925233644859814,0.8151260504201681,0.9166666666666666,0.8428571428571429,0.7058823529411765,0.8263166228033584
Seurat(CCA),0.9397923875432527,0.68,0.9712918660287082,0.9798657718120806,-0.0425531914893617,0.9195046439628483,0.9830985915492957,0.8037383177570093,0.8739495798319328,0.7777777777777778,0.2571428571428571,0.029411764705882353,0.681085030551857
scBridge,0.9162629757785468,1.0,0.9712918660287082,0.9449664429530201,0.4042553191489362,0.9226006191950464,0.9887323943661972,0.883177570093458,0.8109243697478992,0.8888888888888888,0.9428571428571428,0.4411764705882353,0.84292783830384
scButterfly,0.93840830449827,0.0,-0.09330143540669855,0.9986577181208054,-0.0425531914893617,0.804953560371517,0.09577464788732393,0.5934579439252337,0.008403361344537815,0.3611111111111111,0.05714285714285714,-0.029411764705882353,0.3077202593999761
scDART,0.8664359861591694,0.013333333333333334,-0.09569377990430622,-0.14228187919463087,-0.0425531914893617,0.6687306501547987,-0.05352112676056338,0.19626168224299062,-0.06722689075630252,0.0,0.014285714285714285,-0.029411764705882353,0.11069656111374661
scJoint,0.9474048442906575,0.8133333333333334,0.9641148325358851,0.9919463087248322,-0.0425531914893617,0.8916408668730651,0.9774647887323942,0.7943925233644861,0.7310924369747899,0.75,0.21428571428571427,0.05882352941176471,0.67432883225313
scVI,0.8415224913494809,0.88,0.9569377990430622,0.9664429530201342,-0.0425531914893617,0.2105263157894737,0.9774647887323942,0.3177570093457944,0.9159663865546219,0.5,0.6714285714285714,0.05882352941176471,0.6045263877654946
scglue(multiome),0.9529411764705883,0.8933333333333333,0.9904306220095693,0.9785234899328858,0.021276595744680854,0.9597523219814242,0.9859154929577464,0.8691588785046729,0.8865546218487395,0.9722222222222222,0.9428571428571428,0.6470588235294118,0.8416687267827013
scglue,0.9377162629757786,0.96,0.992822966507177,0.9718120805369128,0.0425531914893617,0.9318885448916409,0.9915492957746479,0.883177570093458,0.8865546218487395,0.9722222222222222,0.9285714285714286,0.20588235294117646,0.8087292114877118
simba,0.896885813148789,0.6666666666666666,0.9880382775119617,0.9718120805369128,-0.0425531914893617,0.9535603715170279,0.9887323943661972,0.8504672897196262,0.9453781512605042,0.8611111111111112,0.8857142857142858,0.2352941176470588,0.7667589473092317
