"method","Omics gap reduction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"scJoint",0.67,0.825,0.84,0.778333333333333,"HT243B1-S1H4"
"scglue",0.72,0.73,0.866666666666667,0.772222222222222,"HT243B1-S1H4"
"scglue(multiome)",0.705,0.75,0.863333333333333,0.772777777777778,"HT243B1-S1H4"
"scBridge",0.51,0.9,0.898333333333333,0.769444444444444,"HT243B1-S1H4"
"Portal",0.63,0.69,0.771666666666667,0.697222222222222,"HT243B1-S1H4"
"MaxFuse",0.505,0.69,0.815,0.67,"HT243B1-S1H4"
"simba",0.49,0.73,0.79,0.67,"HT243B1-S1H4"
"Seurat(CCA)",0.485,0.725,0.756666666666667,0.655555555555556,"HT243B1-S1H4"
"BindSC",0.64,0.63,0.678333333333333,0.649444444444444,"HT243B1-S1H4"
"scVI",0.555,0.67,0.703333333333333,0.642777777777778,"HT243B1-S1H4"
"MIDAS",0.55,0.545,0.62,0.571666666666667,"HT243B1-S1H4"
"scButterfly",0.325,0.64,0.561666666666667,0.508888888888889,"HT243B1-S1H4"
"Cobolt",0.405,0.63,0.491666666666667,0.508888888888889,"HT243B1-S1H4"
"scDART",0.32,0.62,0.395,0.445,"HT243B1-S1H4"
