"method","Omics gap reduction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"scJoint",0.78,0.885,0.8275,0.830833333333333,"HT137_S1H7"
"scBridge",0.65,0.92,0.875,0.815,"HT137_S1H7"
"Seurat(CCA)",0.8,0.78,0.8075,0.795833333333333,"HT137_S1H7"
"simba",0.75,0.735,0.8075,0.764166666666667,"HT137_S1H7"
"MaxFuse",0.89,0.63,0.77,0.763333333333333,"HT137_S1H7"
"scglue(multiome)",0.84,0.7,0.7225,0.754166666666667,"HT137_S1H7"
"Portal",0.87,0.675,0.665,0.736666666666667,"HT137_S1H7"
"BindSC",0.95,0.56,0.655,0.721666666666667,"HT137_S1H7"
"scglue",0.81,0.67,0.5225,0.6675,"HT137_S1H7"
"scVI",0.83,0.66,0.3375,0.609166666666667,"HT137_S1H7"
"MIDAS",0.88,0.495,0.24,0.538333333333333,"HT137_S1H7"
"scButterfly",0.56,0.595,0.2825,0.479166666666667,"HT137_S1H7"
