Method,Avg_SD,reproducibility
Seurat(CCA),0.0,1.0
simba,0.0041507275616176065,0.9958492724383824
BindSC,0.0043412897611857515,0.9956587102388142
MaxFuse,0.005782722694961273,0.9942172773050387
scglue,0.013715866712248448,0.9862841332877516
scglue(multiome),0.013785522530678773,0.9862144774693212
Portal,0.018361480013675546,0.9816385199863245
MIDAS,0.020177209873480928,0.9798227901265191
scVI,0.025888385512387813,0.9741116144876122
scBridge,0.04013807873248165,0.9598619212675183
scButterfly,0.04079119665786335,0.9592088033421367
scJoint,0.06766989932638556,0.9323301006736144
Cobolt,0.06959891814297636,0.9304010818570236
scDART,0.1647640185994117,0.8352359814005883
