Method,CellType,Std
Seurat(CCA),Mesoderm,0.0
Seurat(CCA),Myoblast,3.700743415417188e-17
Seurat(CCA),Myocyte,0.0
BindSC,Mesoderm,0.005195038354860944
BindSC,Myoblast,0.0033570412283724835
BindSC,Myocyte,0.0044717897003237785
simba,Mesoderm,0.006100441656004613
simba,Myoblast,0.004475759237784235
simba,Myocyte,0.001875981791064004
MaxFuse,Mesoderm,0.005571524508010252
MaxFuse,Myoblast,0.006480420134793272
MaxFuse,Myocyte,0.005296223442080312
scglue,Mesoderm,0.013892435391986134
scglue,Myoblast,0.014599044418601376
scglue,Myocyte,0.012656120326157955
scglue(multiome),Mesoderm,0.011237781805381174
scglue(multiome),Myoblast,0.013497220009018781
scglue(multiome),Myocyte,0.016621565777636474
Portal,Mesoderm,0.01901350235318805
Portal,Myoblast,0.022301233650431036
Portal,Myocyte,0.01376970403740766
MIDAS,Mesoderm,0.011737050871795787
MIDAS,Myoblast,0.029959191180337113
MIDAS,Myocyte,0.01883538756830991
scBridge,Mesoderm,0.027901437569186994
scBridge,Myoblast,0.0539401844178365
scBridge,Myocyte,0.03857261421042143
scButterfly,Mesoderm,0.051484522572134206
scButterfly,Myoblast,0.041476580185413545
scButterfly,Myocyte,0.02941248721604246
Cobolt,Mesoderm,0.06806032123608026
Cobolt,Myoblast,0.04089639489901537
Cobolt,Myocyte,0.0998400382938333
scVI,Mesoderm,0.01811495265312157
scVI,Myoblast,0.01663968427667532
scVI,Myocyte,0.0429105196073667
scDART,Mesoderm,0.21551114258179194
scDART,Myoblast,0.0881278518265526
scDART,Myocyte,0.1906530613898907
scJoint,Mesoderm,0.03825618069909393
scJoint,Myoblast,0.10218113137612182
scJoint,Myocyte,0.06257238590394089
