"method","ks_celltype_mean","asw","ks.statistic","omics_asw","ari","ami","ks_inter_celltype_mean","average_accu","peakdist_adj","score","Rank"
"scglue(multiome)",0.39,0.55,0.78,0.97,0.51,0.46,0.38,0.65,0.69,0.62,1
"scglue",0.36,0.54,0.8,0.98,0.57,0.48,0.35,0.65,0.67,0.62,2
"Seurat(CCA)",0.4,0.55,0.66,0.82,0.26,0.38,0.38,0.52,0.71,0.55,3
"MIDAS",0.29,0.53,0.54,0.96,0.44,0.34,0.27,0.55,0.69,0.53,4
"MaxFuse",0.2,0.5,0.76,0.93,0.36,0.34,0.18,0.54,0.7,0.53,5
"scVI",0.33,0.54,0.55,0.95,0.27,0.25,0.27,0.58,0.6,0.52,6
"BindSC",0.15,0.52,0.78,0.96,0.28,0.31,0.13,0.53,0.69,0.52,7
"simba",0.29,0.54,0.52,0.74,0.53,0.42,0.34,0.59,0.68,0.51,8
"scBridge",0.31,0.55,0.51,0.76,0.27,0.26,0.31,0.37,0.55,0.47,9
"Portal",0.22,0.51,0.5,0.87,0.08,0.13,0.18,0.46,0.53,0.44,10
"scJoint",0.39,0.57,0.26,0.72,0.47,0.36,0.37,0.26,-1.15,0.36,11
"scButterfly",0.26,0.53,0.01,0.73,0.35,0.25,0.2,0.46,0.26,0.35,12
