method,celltype,ks_celltype,ks_sample,ks_inter_celltype,celltype_omics_ASW
BindSC,Naive CD20+ B,0.8200572277143837,0.8083255446509773,0.8289008317796364,0.8978933582028478
BindSC,CD14+ Mono,0.664015857283661,0.5551871267904344,0.618960225803717,0.9207829976519452
BindSC,CD8+ T,0.5018839130505256,0.3922280533558769,0.45474123848881565,0.904369446738497
BindSC,CD16+ Mono,0.7448956177207438,0.7142292825374024,0.7363696574995078,0.8673516792986828
BindSC,B1 B,0.7564751018910403,0.7612459517234977,0.7918978035398927,0.8964352336979885
BindSC,Lymph prog,0.7588400831890885,0.37063328892796593,0.5798221108736089,0.8709346063736505
BindSC,CD4+ T naive,0.6840015663378711,0.47327716527649427,0.568982063340626,0.9058052437370814
BindSC,CD4+ T activated,0.5823727213181854,0.4693266311428372,0.5299345683659514,0.8917895782836249
BindSC,Erythroblast,0.8551517414288213,0.8333539939136543,0.8491410880920532,0.9049020428641934
BindSC,NK,0.7365537829290519,0.7330326570449365,0.7817273582672923,0.8541339862433507
BindSC,Transitional B,0.8188426125438746,0.8282124171089797,0.8596260842885508,0.8910089588687928
BindSC,Normoblast,0.8955919555703035,0.8810893890207784,0.889071774568205,0.920960816634985
BindSC,G/M prog,0.8162588841628104,0.6014716728353605,0.6730272177132721,0.8956569356908197
BindSC,MK/E prog,0.8631566513534541,0.7249637498747726,0.71693029613631,0.8725313708094219
BindSC,HSC,0.8826859808022018,0.8142802923015127,0.8317984140194428,0.8695471026962753
BindSC,pDC,0.9243214662161019,0.9198235987830857,0.9208570101399324,0.8923919676941622
BindSC,Proerythroblast,0.7943188508138769,0.7630182999108206,0.7581234980342192,0.8874139967476165
BindSC,Plasma cell,0.7578980629815391,0.7537732858082632,0.7692945427035286,0.9034652263961062
Seurat(CCA),Naive CD20+ B,0.884901463132847,0.864441445797752,0.8911732280952613,0.8489555059187893
Seurat(CCA),CD14+ Mono,0.8776891369556205,0.8745642705640394,0.8722290808027484,0.8347684450227781
Seurat(CCA),CD8+ T,0.6699034444594913,0.6142729254181425,0.7298264850614815,0.8579935232633302
Seurat(CCA),CD16+ Mono,0.7967923698670222,0.7812463368151752,0.7748150850179052,0.8412539907880893
Seurat(CCA),B1 B,0.8313921793446273,0.8070343715629519,0.8353251954566807,0.8561086071316175
Seurat(CCA),Lymph prog,0.7975778044359038,0.4513531468176632,0.6111003487490154,0.8095015943454354
Seurat(CCA),CD4+ T naive,0.7431515670583715,0.6647439097052306,0.7508432773412789,0.8003169415590419
Seurat(CCA),CD4+ T activated,0.7418750786769508,0.673960720235142,0.7677661610504953,0.8413375350354936
Seurat(CCA),Erythroblast,0.8651011445096158,0.8514189483906179,0.8480608332799565,0.8902904202110455
Seurat(CCA),NK,0.8206448819994436,0.7318636255726507,0.8473233718123073,0.8316669598207195
Seurat(CCA),Transitional B,0.8520997066377566,0.8214574447004008,0.8843154316238775,0.8385230306595897
Seurat(CCA),Normoblast,0.9154426118813553,0.8933712334326884,0.8828375629832905,0.8910123576001353
Seurat(CCA),G/M prog,0.8107477933801355,0.6509951872747717,0.7085010922549962,0.812060984781161
Seurat(CCA),MK/E prog,0.8757653106115949,0.7893256799778421,0.8400735030615548,0.7728190905623503
Seurat(CCA),HSC,0.8251860217953161,0.7521036441824491,0.788400980841349,0.7928412528250972
Seurat(CCA),pDC,0.7794037115262928,0.7601212642368589,0.7415263464779869,0.8273779935016303
Seurat(CCA),Proerythroblast,0.8236844590441195,0.7595718675917263,0.7804374194105153,0.8083931791028732
Seurat(CCA),Plasma cell,0.8189943305985831,0.8126230083362947,0.8302171751395014,0.790368369690128
MaxFuse,Naive CD20+ B,0.9021424005351516,0.8934107125135075,0.901712379052691,0.903107813675971
MaxFuse,CD14+ Mono,0.6560934348177415,0.6057313066470544,0.6216594301314795,0.8561847721300286
MaxFuse,CD8+ T,0.6537697427347033,0.5172545279307702,0.3176001983816062,0.8812733906096512
MaxFuse,CD16+ Mono,0.7092704684972413,0.5538219456231305,0.6499148430952018,0.8076668541407608
MaxFuse,B1 B,0.825236823019954,0.7723926781857525,0.6642877226217991,0.8788634876502952
MaxFuse,Lymph prog,0.6670432917769118,0.2841989967147487,0.44055564696532123,0.8558939146131453
MaxFuse,CD4+ T naive,0.7152487182026402,0.5348599854118306,0.5863921772645521,0.9099612907258265
MaxFuse,CD4+ T activated,0.6969289022789078,0.6173764627849694,0.6999974958362878,0.8879587167341896
MaxFuse,Erythroblast,0.7417564099931104,0.71628593714974,0.7613256981369425,0.8372028003215737
MaxFuse,NK,0.8328595333877915,0.7900144794758578,0.822291780284079,0.8691389230506423
MaxFuse,Transitional B,0.8201400236084386,0.8247510489895951,0.8251646806841324,0.8226473543637327
MaxFuse,Normoblast,0.9390798425932066,0.9201180544214602,0.9538856002644919,0.9174283053486046
MaxFuse,G/M prog,0.8107694372375365,0.6501084081190684,0.21356459744509426,0.8334709531042112
MaxFuse,MK/E prog,0.8384585209324581,0.816928733458153,0.8159790357642231,0.8606312306159376
MaxFuse,HSC,0.7910590021756765,0.7780834280307201,0.7617294252722053,0.7954676853453918
MaxFuse,pDC,0.7978989005391567,0.7605207943739432,0.23124310974823303,0.8263474028199486
MaxFuse,Proerythroblast,0.7567763585168581,0.7065589245761825,0.6459943876109369,0.8866528338289686
MaxFuse,Plasma cell,0.8780606345412209,0.8789230398403614,0.8686332863260887,0.8961725789176511
MIDAS,Naive CD20+ B,0.8124762461091013,0.7240767291875432,0.7963176988955283,0.9168195272169738
MIDAS,CD14+ Mono,0.7545633400009892,0.6231253851802498,0.725166471067117,0.9312187038587434
MIDAS,CD8+ T,0.6192181111325399,0.46186104304936554,0.5869197301757718,0.9420457305366222
MIDAS,CD16+ Mono,0.784128794404358,0.6630275846896037,0.7514489122532184,0.9157790861754115
MIDAS,B1 B,0.7912605698675625,0.65576758353709,0.7577197341220538,0.9210847322040385
MIDAS,Lymph prog,0.7620896351502116,0.3843271350915288,0.5981810088034305,0.883922754427108
MIDAS,CD4+ T naive,0.6626177407607765,0.4496146193798404,0.5696169575507166,0.9246897937265047
MIDAS,CD4+ T activated,0.6443260636591308,0.4933078401895084,0.5993455804689309,0.9389424431799415
MIDAS,Erythroblast,0.8077758902539409,0.7267444018301578,0.8041006371124177,0.9110382976868572
MIDAS,NK,0.7908973573219634,0.6536907974784749,0.7597399077072305,0.9231742895251538
MIDAS,Transitional B,0.808787719089781,0.6783801661973463,0.810647689848638,0.9281812492596727
MIDAS,Normoblast,0.9103209047458889,0.8846525444846643,0.8979555426269197,0.8945582400797742
MIDAS,G/M prog,0.7760162856358759,0.4882932741229422,0.6496594398902615,0.8988510886109454
MIDAS,MK/E prog,0.8655706240835473,0.7638612398196403,0.8268270114452758,0.8960087276451427
MIDAS,HSC,0.8273511237861354,0.7065928169141442,0.7946718329501801,0.8442489405761436
MIDAS,pDC,0.8333655867018511,0.7536359435993716,0.812996140584726,0.9128801684322675
MIDAS,Proerythroblast,0.8099917106839658,0.7405034004870403,0.7789069467253749,0.9164651243214819
MIDAS,Plasma cell,0.7494045672176342,0.7012033222262781,0.7041002564069712,0.8902307975987591
scBridge,Naive CD20+ B,0.8925270648834989,0.8740004438899327,0.8808750049982482,0.8990455992798921
scBridge,CD14+ Mono,0.8872017430402175,0.8879787134160195,0.8996273892045632,0.8987083224809339
scBridge,CD8+ T,0.888361955575306,0.8788264316358949,0.8777253291943506,0.9367953361306146
scBridge,CD16+ Mono,0.8269050456526797,0.8189544521168819,0.7780482036071015,0.8438914218342637
scBridge,B1 B,0.9214961196504022,0.8835880513407971,0.8986473096922745,0.8900622317388311
scBridge,Lymph prog,0.865371503233686,0.6156123939596039,0.6789821462260227,0.8705980221881758
scBridge,CD4+ T naive,0.8291462022026999,0.6653581938116813,0.6683314931988406,0.8302124241342793
