method,celltype,ks_celltype,ks_inter_celltype,celltype_omics_ASW
Seurat(CCA),Naive CD20+ B,0.8382014248228912,0.9073681510561242,0.6620400171726996
Seurat(CCA),CD14+ Mono,0.9350788003119158,0.9675339550680904,0.6958789550614402
Seurat(CCA),CD8+ T,0.6759615134968034,0.7523592339937826,0.6713959767228822
Seurat(CCA),CD16+ Mono,0.8518250582070455,0.8404726444535816,0.5497336779001489
Seurat(CCA),B1 B,0.7973328564639294,0.8422342263983902,0.6352923903808891
Seurat(CCA),Lymph prog,0.822265568684343,0.8844576081859502,0.6012444633005514
Seurat(CCA),CD4+ T naive,0.790119210627955,0.717094361592324,0.6951419535511661
Seurat(CCA),CD4+ T activated,0.7617359676614983,0.7611586682230131,0.7280932428823595
Seurat(CCA),Erythroblast,0.9370908615642184,0.924750237359682,0.8086376505942402
Seurat(CCA),NK,0.8987524643594977,0.9025486146785832,0.6185151854871023
Seurat(CCA),Transitional B,0.7839770257232731,0.8425759812585861,0.6501763680558594
Seurat(CCA),Normoblast,0.9327711032506826,0.847127136448994,0.8399568448190244
Seurat(CCA),G/M prog,0.8168543080515865,0.765155025085971,0.6872925700481985
Seurat(CCA),MK/E prog,0.7697542051215501,0.818349998567503,0.8278951905575995
Seurat(CCA),HSC,0.7984622175444014,0.8733478116482375,0.7910270500145793
Seurat(CCA),pDC,0.6692961881320423,0.7160494075136006,0.8807837557727699
Seurat(CCA),Proerythroblast,0.8482294170236742,0.794096746688022,0.7706572044650469
Seurat(CCA),Plasma cell,0.8329011167531915,0.8630693182591664,0.5968455178087133
Seurat(CCA),cDC2,0.8346850865087141,0.8028025117657946,0.6237135872828836
BindSC,Naive CD20+ B,0.8636711164276424,0.8743103951528206,0.8792782698437926
BindSC,CD14+ Mono,0.7619561530316116,0.7662812159401778,0.940633749280854
BindSC,CD8+ T,0.6893168136454659,0.6803315722319635,0.8394944617731156
BindSC,CD16+ Mono,0.8299457574603111,0.8247068093589505,0.8623747397352304
BindSC,B1 B,0.8659854005746904,0.8441969023219756,0.8902073210534651
BindSC,Lymph prog,0.907483439070722,0.9033766555791626,0.9195459637679329
BindSC,CD4+ T naive,0.6940348597870558,0.3066062598384067,0.7628667159627782
BindSC,CD4+ T activated,0.604041457735194,0.606103255957667,0.8419605335101219
BindSC,Erythroblast,0.86872810991552,0.8259151491663288,0.7930635232160921
BindSC,NK,0.9001751589644623,0.8767564657491438,0.8784403912198795
BindSC,Transitional B,0.8704987576815252,0.8959220460847569,0.9127625913172658
BindSC,Normoblast,0.8437156239599204,0.8250291256726032,0.789802081115112
BindSC,G/M prog,0.86700071248319,0.6781860927007224,0.7919781565845829
BindSC,MK/E prog,0.8422880140695564,0.8429461667625816,0.9236381225992848
