"method","ks_celltype_mean","asw","omics_asw","ks_inter_celltype_mean","average_accu","peakdist_adj","score","Rank"
"scglue(multiome)",0.87,0.62,0.88,0.85,0.74,0.83,0.82,1
"scglue",0.88,0.61,0.88,0.85,0.71,0.81,0.81,2
"Portal",0.81,0.57,0.89,0.83,0.7,0.81,0.79,3
"scVI",0.84,0.59,0.87,0.82,0.71,0.77,0.79,4
"BindSC",0.83,0.59,0.88,0.79,0.69,0.77,0.78,5
"scButterfly",0.86,0.62,0.77,0.85,0.63,0.73,0.76,6
"MaxFuse",0.83,0.57,0.82,0.77,0.66,0.73,0.75,7
"MIDAS",0.73,0.56,0.9,0.7,0.68,0.79,0.75,8
"scBridge",0.84,0.67,0.71,0.82,0.6,0.8,0.74,9
"Seurat(CCA)",0.81,0.63,0.69,0.83,0.7,0.83,0.74,10
"simba",0.84,0.61,0.64,0.85,0.68,0.78,0.72,11
"scJoint",0.67,0.56,0.78,0.51,0.38,0.47,0.62,12
