"method","Omics gap reduction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"scglue(multiome)",0.88,0.745,0.8175,0.814166666666667,"BMMC_crosssite"
"scglue",0.88,0.745,0.805,0.81,"BMMC_crosssite"
"Portal",0.89,0.69,0.7925,0.790833333333333,"BMMC_crosssite"
"scVI",0.87,0.715,0.78,0.788333333333333,"BMMC_crosssite"
"BindSC",0.88,0.71,0.76,0.783333333333333,"BMMC_crosssite"
"scButterfly",0.77,0.74,0.765,0.758333333333333,"BMMC_crosssite"
"MaxFuse",0.82,0.7,0.7325,0.750833333333333,"BMMC_crosssite"
"MIDAS",0.9,0.645,0.7175,0.754166666666667,"BMMC_crosssite"
"scBridge",0.71,0.755,0.76,0.741666666666667,"BMMC_crosssite"
"Seurat(CCA)",0.69,0.72,0.7975,0.735833333333333,"BMMC_crosssite"
"simba",0.64,0.725,0.79,0.718333333333333,"BMMC_crosssite"
"scJoint",0.78,0.615,0.4675,0.620833333333333,"BMMC_crosssite"
