"method","peakdist_adj"
"BindSC",0.855709103305695
"scglue(batch)",0.888349271164343
"scglue(multiome,batch)",0.90009785994031
"scglue(multiome)",0.900625771579471
"scJoint",0.603941495637068
"scJoint(batch)",-1.13247299638052
"scVI",0.91587028906839
"scVI(batch)",0.884569543151988
"Seurat(CCA)",0.86006802255334
"simba",0.798332137453744
"BindSC(batch)",0.867911232348752
"MaxFuse",0.651217404214737
"MIDAS",0.882304072101777
"MIDAS(batch)",0.874024091550163
"scBridge",0.822567642843313
"scButterfly",0.804329457367436
"scDART",-0.227769927587808
"scglue",0.897907525651798
