method,Naive CD20+ B,CD14+ Mono,CD8+ T,CD16+ Mono,B1 B,Lymph prog,CD4+ T naive,CD4+ T activated,Erythroblast,NK,Transitional B,Normoblast,G/M prog,MK/E prog,HSC,pDC,Proerythroblast,Plasma cell,average_accu
random_atac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seurat(CCA),0.9181669394435351,0.9007145543437381,0.8335543766578251,0.32220039292730845,0.7625570776255708,0.7516930022573363,0.5883408071748879,0.8149882903981264,0.751918158567775,0.9687677455990914,0.8527131782945736,0.7046204620462047,0.5861027190332326,0.7815699658703071,0.7797356828193833,0.7703927492447129,0.6086021505376344,0.8709677419354839,0.753755888598707
scBridge,0.8903436988543372,0.9473486273034976,0.8965517241379309,0.7053045186640472,0.9025875190258751,0.7065462753950339,0.5434977578475336,0.772248243559719,0.8171355498721228,0.9733106189664963,0.91343669250646,0.8646864686468647,0.338368580060423,0.726962457337884,0.8370044052863437,0.8640483383685801,0.1870967741935484,0.8387096774193549,0.7625104404136694
simba,0.9337152209492635,0.9811959383226777,0.7440318302387268,0.0825147347740668,0.730593607305936,0.7900677200902935,0.6340807174887892,0.7400468384074941,0.8913043478260869,0.9466212379329927,0.8294573643410853,0.042904290429042896,0.44410876132930505,0.6143344709897611,0.8237885462555066,0.8036253776435045,0.47096774193548385,0.7240143369175627,0.6792985046209767
Portal,0.8715220949263502,0.8777735990974049,0.7314323607427058,0.3575638506876228,0.7199391171993912,0.762979683972912,0.6062780269058295,0.7289227166276346,0.8190537084398977,0.9471890971039182,0.8746770025839793,0.38943894389438943,0.6072507552870091,0.6757679180887372,0.7665198237885462,0.8277945619335347,0.7118279569892473,0.7311827956989247,0.7226174452204464
scDART,-0.0613747954173486,-0.2196314403911245,-0.08885941644562334,-0.03339882121807466,-0.0410958904109589,0.14672686230248308,-0.05829596412556053,-0.08899297423887588,-0.11828644501278772,-0.055082339579784215,0.14728682170542634,-0.039603960396039604,-0.030211480362537766,0.0034129692832764492,0.0,-0.021148036253776436,-0.015053763440860214,0.16129032258064516,-0.02290657507897341
scglue,0.9026186579378068,0.9759308010530274,0.8527851458885941,0.7760314341846759,0.9147640791476408,0.7742663656884876,0.6986547085201794,0.7517564402810304,0.9066496163682864,0.9341283361726291,0.9625322997416021,0.8547854785478548,0.595166163141994,0.8498293515358362,0.8414096916299559,0.9939577039274924,0.767741935483871,0.9390681003584229,0.8495597949782993
scglue(batch),0.9247135842880524,0.9571267393757051,0.8938992042440318,0.8664047151277013,0.8904109589041096,0.7291196388261851,0.5237668161434977,0.8799765807962528,0.8663682864450128,0.9511641113003975,0.9534883720930233,0.8184818481848184,0.6767371601208458,0.8873720136518771,0.7665198237885462,0.9607250755287009,0.7311827956989247,0.960573476702509,0.8465572889566773
scglue(multiome),0.9492635024549918,0.9838285069575028,0.9091511936339522,0.8703339882121808,0.8599695585996956,0.7923250564334086,0.6260089686098653,0.8337236533957845,0.8900255754475703,0.9591141396933561,0.9444444444444445,0.8778877887788779,0.6193353474320241,0.8976109215017065,0.8634361233480177,0.987915407854985,0.7290322580645162,0.903225806451613,0.8609240134063607
"scglue(multiome,batch)",0.8657937806873978,0.9759308010530274,0.9184350132625994,0.8860510805500982,0.9162861491628614,0.7945823927765236,0.6340807174887892,0.8161592505854801,0.9143222506393862,0.9557069846678024,0.9715762273901809,0.8052805280528053,0.6435045317220544,0.8600682593856656,0.8061674008810572,0.9939577039274924,0.8043010752688172,0.9247311827956989,0.860385296127652
scVI,0.9590834697217676,0.9819481007897706,0.8879310344827587,0.8762278978388999,0.8493150684931506,0.7584650112866818,0.705829596412556,0.8231850117096019,0.8945012787723785,0.9750141964792731,0.9160206718346253,0.7904290429042905,0.7613293051359517,0.8156996587030717,0.722466960352423,0.9546827794561934,0.6666666666666666,0.878136200716846,0.8453851084309393
scVI(batch),0.9378068739770867,0.9785633696878526,0.883289124668435,0.8840864440078585,0.8980213089802132,0.835214446952596,0.6475336322869956,0.8284543325526932,0.9053708439897697,0.9755820556501987,0.9315245478036176,0.7821782178217821,0.6344410876132931,0.7337883959044369,0.2951541850220265,0.9154078549848943,0.767741935483871,0.878136200716846,0.817349714339137
