"","method","Omics gap reduction","Sample batch correction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"1","BindSC",0.475,0.8,0.66,0.646666666666667,0.645416666666667,"BMMC_d1"
"2","Cobolt",0.415,0.675,0.515,0.31,0.47875,"BMMC_d1"
"3","Portal",0.5,0.84,0.67,0.68,0.6725,"BMMC_d1"
"4","Seurat(CCA)",0.465,0.825,0.7,0.711666666666667,0.675416666666667,"BMMC_d1"
"5","scBridge",0.54,0.85,0.805,0.718333333333333,0.728333333333333,"BMMC_d1"
"6","scDART",0.43,0.765,0.56,0.143333333333333,0.474583333333333,"BMMC_d1"
"7","scJoint",0.505,0.785,0.61,0.465,0.59125,"BMMC_d1"
"8","scVI",0.64,0.765,0.695,0.803333333333333,0.725833333333333,"BMMC_d1"
"9","scglue",0.61,0.84,0.735,0.776666666666667,0.740416666666667,"BMMC_d1"
"10","scglue(multiome)",0.63,0.85,0.735,0.79,0.75125,"BMMC_d1"
"11","simba",0.475,0.855,0.705,0.685,0.68,"BMMC_d1"
