"method","Omics gap reduction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"scglue",0.95,0.725,0.8375,0.8375,"BMMC_s1d1_paired"
"scglue(multiome)",0.94,0.73,0.83,0.833333333333333,"BMMC_s1d1_paired"
"scVI",0.93,0.69,0.81,0.81,"BMMC_s1d1_paired"
"scButterfly",0.83,0.74,0.8075,0.7925,"BMMC_s1d1_paired"
"scBridge",0.79,0.775,0.7975,0.7875,"BMMC_s1d1_paired"
"MaxFuse",0.9,0.7,0.765,0.788333333333333,"BMMC_s1d1_paired"
"Portal",0.92,0.655,0.7275,0.7675,"BMMC_s1d1_paired"
"MIDAS",0.94,0.61,0.74,0.763333333333333,"BMMC_s1d1_paired"
"scJoint",0.78,0.75,0.745,0.758333333333333,"BMMC_s1d1_paired"
"Seurat(CCA)",0.71,0.73,0.7975,0.745833333333333,"BMMC_s1d1_paired"
"BindSC",0.82,0.625,0.7275,0.724166666666667,"BMMC_s1d1_paired"
"simba",0.64,0.715,0.755,0.703333333333333,"BMMC_s1d1_paired"
