method,asw,asw_random,omics_asw,sample_asw,ami,ari,ks.statistic
BindSC,0.5474386997717215,0.4963490092344593,0.8915208082572246,0.911228663557419,0.6183163905633409,0.4400584068393178,0.05864964915188686
Seurat(CCA),0.5840036216910378,0.4900874107113213,0.8303105434344058,0.9035414527053861,0.6852699056779116,0.5463190680140924,0.0996187634675949
MaxFuse,0.5502137527237779,0.49382082728924087,0.8625594615553628,0.9052902466544462,0.6128782223694287,0.44568952663415884,0.01649262390187303
MIDAS,0.5622742829769091,0.4906915624621259,0.9105633163923079,0.88971811373474,0.7520898102985316,0.6595709400927628,0.29747499861870824
scBridge,0.7444077862893872,0.493655667510058,0.8623348539734261,0.8862037046336976,0.7237974428634454,0.6457215555075638,0.2176915851704514
scVI,0.5653018652302236,0.4952794043000224,0.9111196951748296,0.8651539282191403,0.851734913049439,0.8149490065219689,0.37104259903862086
scButterfly,0.5864959596804503,0.49125382484325697,0.8777435731466117,0.8898809524653737,0.6417265407239827,0.4618652818268767,0.07754572075805294
scDART,0.45658259014159747,0.4892772022583622,0.8622873052714158,0.9325638448609386,0.4553419122933593,0.2279004970816085,0.00038676169954141113
scglue,0.6004575167270085,0.4932929360088577,0.9275065138640051,0.8823274718987418,0.7590763576582882,0.6274172047932953,0.29396651748715397
scglue(multiome),0.6028098114690964,0.4929910059749125,0.9234994549253293,0.8907215080740869,0.7813484483646339,0.6475629293353363,0.33526714183104034
scJoint,0.56895338258447,0.49226613039659833,0.9387443187657369,0.9608386077653063,0.5906857899767888,0.41000632538825116,0.06666114149953037
simba,0.5755225326510555,0.49335674687886666,0.8278450640579685,0.9294677800402869,0.6768745620641633,0.4964583591189196,0.11765843416763355
BindSC(batch),0.5592703294456335,0.4962950460535841,0.9139850179091936,0.9221972347649674,0.6570243707199022,0.5102711404791348,0.08508757389911037
scVI(batch),0.5934819108317149,0.49420716415853316,0.9124406535117779,0.918461831274164,0.8294283177645292,0.7856922873288219,0.41112768661252
scglue(batch),0.6111767277376516,0.492542114615082,0.9182241047649763,0.9029903781214893,0.7864282670151926,0.6870496507224045,0.354660478479474
"scglue(multiome,batch)",0.6131834747656545,0.4920800909215714,0.9177071225476331,0.898400655305816,0.8099849595454611,0.7288766659198412,0.41209459086137357
scJoint(batch),0.5335847149029402,0.4945598698226926,0.8453833621658474,0.8917187854271753,0.5568687613868335,0.3475453834966843,0.0007458975634012929
MIDAS(batch),0.5645413981901499,0.48908617954211403,0.9214272831212011,0.9323754645019177,0.7269065818794956,0.621137723269759,0.42800707221393447
