Method,Pair,NMI
scDART,scDART-1 vs scDART-2,0.5495468924716452
scDART,scDART-1 vs scDART-3,0.3774331097702657
scDART,scDART-2 vs scDART-3,0.4026658639619848
Seurat(CCA),Seurat(CCA)-1 vs Seurat(CCA)-2,1.0
Seurat(CCA),Seurat(CCA)-1 vs Seurat(CCA)-3,1.0
Seurat(CCA),Seurat(CCA)-2 vs Seurat(CCA)-3,1.0
BindSC,BindSC-1 vs BindSC-2,0.830473267388595
BindSC,BindSC-1 vs BindSC-3,1.0
BindSC,BindSC-2 vs BindSC-3,0.830473267388595
scBridge,scBridge-1 vs scBridge-2,0.9378640961982291
scBridge,scBridge-1 vs scBridge-3,1.0
scBridge,scBridge-2 vs scBridge-3,0.9378640961982291
scglue,scglue-1 vs scglue-2,0.9303085783969421
scglue,scglue-1 vs scglue-3,0.9366217574501613
scglue,scglue-2 vs scglue-3,0.9320476692794158
scglue(multiome),scglue(multiome)-1 vs scglue(multiome)-2,0.8242896840971204
scglue(multiome),scglue(multiome)-1 vs scglue(multiome)-3,0.870991188159143
scglue(multiome),scglue(multiome)-2 vs scglue(multiome)-3,0.8389351198053329
scJoint,scJoint-1 vs scJoint-2,0.9310974663422752
scJoint,scJoint-1 vs scJoint-3,0.8631263621574277
scJoint,scJoint-2 vs scJoint-3,0.8671889676712079
scVI,scVI-1 vs scVI-2,0.7065817169327454
scVI,scVI-1 vs scVI-3,0.719336764316277
scVI,scVI-2 vs scVI-3,0.8101324153902248
Cobolt,Cobolt-1 vs Cobolt-2,0.7391045100836371
Cobolt,Cobolt-1 vs Cobolt-3,0.6390687901742702
Cobolt,Cobolt-2 vs Cobolt-3,0.6456518237158556
simba,simba-1 vs simba-2,0.8435615036815954
simba,simba-1 vs simba-3,0.8448084063842439
simba,simba-2 vs simba-3,0.8313634841438
Portal,Portal-1 vs Portal-2,0.8244286112809013
Portal,Portal-1 vs Portal-3,0.8132871760251112
Portal,Portal-2 vs Portal-3,0.8265211984357602
MaxFuse,MaxFuse-1 vs MaxFuse-2,0.7951604523083541
MaxFuse,MaxFuse-1 vs MaxFuse-3,0.7729979833659006
MaxFuse,MaxFuse-2 vs MaxFuse-3,0.8019609459319929
MIDAS,MIDAS-1 vs MIDAS-2,0.558094987756907
MIDAS,MIDAS-1 vs MIDAS-3,0.6057108626107673
MIDAS,MIDAS-1 vs MIDAS-4,0.5761866300356254
MIDAS,MIDAS-1 vs MIDAS-5,0.5667218301427956
MIDAS,MIDAS-2 vs MIDAS-3,0.5483204971090062
MIDAS,MIDAS-2 vs MIDAS-4,0.5284013291794233
MIDAS,MIDAS-2 vs MIDAS-5,0.5110254036207384
MIDAS,MIDAS-3 vs MIDAS-4,0.5939134878352004
MIDAS,MIDAS-3 vs MIDAS-5,0.5390002315172273
MIDAS,MIDAS-4 vs MIDAS-5,0.5235115779151001
scButterfly,scButterfly-1 vs scButterfly-2,0.8112969158983357
scButterfly,scButterfly-1 vs scButterfly-3,0.7996840818889499
scButterfly,scButterfly-2 vs scButterfly-3,0.8395541175917336
