Method,Avg_SD,reproducibility
Seurat(CCA),2.777622708558102e-18,1.0
BindSC,0.0003305568783235126,0.9996694431216765
scBridge,0.0010939674091772292,0.9989060325908228
scglue(multiome),0.001853215586667808,0.9981467844133322
scJoint,0.002223211901227397,0.9977767880987726
simba,0.0022742664108000685,0.9977257335891999
Portal,0.0024771225767477615,0.9975228774232522
scglue,0.002576063739895055,0.997423936260105
MaxFuse,0.010309991871029229,0.9896900081289708
scButterfly,0.022365783022630276,0.9776342169773697
scVI,0.023067775515790444,0.9769322244842096
MIDAS,0.03684911023752791,0.9631508897624721
Cobolt,0.05492938660145685,0.9450706133985431
scDART,0.10067350717247195,0.8993264928275281
