Method,CellType,Std
scDART,Tumor,0.07349864703080188
scDART,Macrophages,0.11430620702329956
scDART,Fibroblasts,0.11303023215493992
scDART,Luminal progenitor,0.08780275888802812
scDART,T-cells,0.11071169749736116
scDART,Basal progenitor,0.10485590875277849
scDART,B-cells,0.10050909886009457
Seurat(CCA),Tumor,9.25185853854297e-18
Seurat(CCA),Macrophages,7.228014483236696e-20
Seurat(CCA),Fibroblasts,0.0
Seurat(CCA),Luminal progenitor,0.0
Seurat(CCA),T-cells,0.0
Seurat(CCA),Basal progenitor,9.540979117872439e-18
Seurat(CCA),B-cells,5.782411586589357e-19
BindSC,Tumor,0.00015650880504350327
BindSC,Macrophages,0.0005532916910692858
BindSC,Fibroblasts,0.0001715445854406938
BindSC,Luminal progenitor,0.0
BindSC,T-cells,0.0004567873263478991
BindSC,Basal progenitor,0.0006186411034003035
BindSC,B-cells,0.00035712463696290284
scBridge,Tumor,0.000756459224376932
scBridge,Macrophages,0.0012910139458283331
scBridge,Fibroblasts,0.0006861783417627852
scBridge,Luminal progenitor,0.0004168032898240794
scBridge,T-cells,0.0009135746526957983
scBridge,Basal progenitor,0.002165243861901067
scBridge,B-cells,0.001428498547851609
scglue,Tumor,0.0005953836730428769
scglue,Macrophages,0.0010183473846849698
scglue,Fibroblasts,0.002658941074330783
scglue,Luminal progenitor,0.0006735647047366368
scglue,T-cells,0.0025383692738139923
scglue,Basal progenitor,0.006166932800965444
scglue,B-cells,0.004380907267690681
scglue(multiome),Tumor,0.00039838268787256026
scglue(multiome),Macrophages,0.00064076037099003
scglue(multiome),Fibroblasts,0.0004288614636017397
scglue(multiome),Luminal progenitor,0.0007014852309643883
scglue(multiome),T-cells,0.001476359847009956
scglue(multiome),Basal progenitor,0.004684318859653864
scglue(multiome),B-cells,0.004642340646582116
scJoint,Tumor,0.0007161824646613886
scJoint,Macrophages,0.0010611216719970085
scJoint,Fibroblasts,0.0005146337563220893
scJoint,Luminal progenitor,0.0017969429746855189
scJoint,T-cells,0.0029842755525554755
scJoint,Basal progenitor,0.0040056533331393526
scJoint,B-cells,0.004483673555230948
scVI,Tumor,0.02910545349501191
scVI,Macrophages,0.0017639988983227637
scVI,Fibroblasts,0.0021881794658082233
scVI,Luminal progenitor,0.025689758684173187
scVI,T-cells,0.048550270203525196
scVI,Basal progenitor,0.006299519810085766
scVI,B-cells,0.04787724805360605
Cobolt,Tumor,0.030858772717511255
Cobolt,Macrophages,0.06503461107147832
Cobolt,Fibroblasts,0.07730391192943283
Cobolt,Luminal progenitor,0.06880111191324582
Cobolt,T-cells,0.06295526328333663
Cobolt,Basal progenitor,0.013423836101038344
Cobolt,B-cells,0.06612819919415476
simba,Tumor,0.0008299853695780908
simba,Macrophages,0.0022977567195269382
simba,Fibroblasts,0.0010320007306342481
simba,Luminal progenitor,0.0011466936073707124
simba,T-cells,0.00208978091108681
simba,Basal progenitor,0.003761058670348467
simba,B-cells,0.004762588867055212
Portal,Tumor,0.0010096328067475066
Portal,Macrophages,0.002368188167736454
Portal,Fibroblasts,0.002541483054188187
Portal,Luminal progenitor,0.0010444625113063893
Portal,T-cells,0.0031468211408259834
Portal,Basal progenitor,0.0026778849111215087
Portal,B-cells,0.004551385445308301
MaxFuse,Tumor,0.006590166758539064
MaxFuse,Macrophages,0.0016628990732443203
MaxFuse,Fibroblasts,0.0014215860804535623
MaxFuse,Luminal progenitor,0.0007014852309643883
MaxFuse,T-cells,0.0016418994471324349
MaxFuse,Basal progenitor,0.00125427209067
MaxFuse,B-cells,0.058897634416200835
MIDAS,Tumor,0.006690493962107449
MIDAS,Macrophages,0.006090713052690207
MIDAS,Fibroblasts,0.023983177236396935
MIDAS,Luminal progenitor,0.10212312745802583
MIDAS,T-cells,0.008971869052280125
MIDAS,Basal progenitor,0.05726001879585962
MIDAS,B-cells,0.05282437210533523
scButterfly,Tumor,0.0025666237304437975
scButterfly,Macrophages,0.00024795776903789287
scButterfly,Fibroblasts,0.0553117525329379
scButterfly,Luminal progenitor,0.01227331190826642
scButterfly,T-cells,0.015048005620525011
scButterfly,Basal progenitor,0.04742533066235478
scButterfly,B-cells,0.023687498934846122
