method,Basal progenitor,Endothelial,Fibroblasts,Tumor,Luminal progenitor,Macrophages,T-cells,Plasma,DC,average_accu
random_atac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BindSC,0.8014888337468982,0.8615384615384615,0.9028436018957346,0.6996197718631179,0.8326848249027237,0.8484848484848485,0.8529411764705882,0.1818181818181818,0.0,0.6646021889689505
Cobolt,-0.0454921422663358,0.1076923076923077,-0.1327014218009478,0.918250950570342,-0.1011673151750972,0.2121212121212121,0.2352941176470588,0.0909090909090909,0.0,0.1427674221886256
MIDAS,0.1728701406120761,0.0461538461538461,0.0687203791469194,0.7281368821292775,-0.0875486381322957,1.0,0.6470588235294118,0.3636363636363636,0.0,0.3265586441195109
MaxFuse,0.8196856906534327,-0.0923076923076923,0.9123222748815164,0.9049429657794676,0.9494163424124512,0.0303030303030303,0.9705882352941176,0.0,0.0,0.4994389830018136
Portal,0.5690653432588917,0.8923076923076924,0.9454976303317536,0.5703422053231938,0.698443579766537,0.8787878787878788,1.0,0.6363636363636364,0.0,0.687867551793287
Seurat(CCA),0.6914805624483044,0.9692307692307692,0.962085308056872,0.9173003802281368,0.970817120622568,0.8181818181818182,0.7352941176470589,0.1818181818181818,0.0,0.6940231398037455
scBridge,0.8908188585607941,0.8923076923076924,0.9881516587677724,0.8849809885931559,0.8949416342412452,0.9696969696969696,0.9117647058823528,0.9090909090909092,0.0,0.8157503796823212
scButterfly,-0.0843672456575682,0.6615384615384615,0.0047393364928909,0.8840304182509504,-0.0097276264591439,0.9696969696969696,0.9117647058823528,0.1818181818181818,0.0,0.3910548001736773
scDART,-0.0736145574855252,-0.0615384615384615,-0.1990521327014218,0.9781368821292776,0.9221789883268484,0.0,0.0,0.0,0.0,0.1740123020811908
scJoint,0.8403639371381307,0.7846153846153847,0.9881516587677724,0.9496197718631176,0.8657587548638132,0.8181818181818182,0.823529411764706,0.5454545454545454,0.0,0.7350750314054765
scVI,0.1612903225806451,0.1538461538461538,0.7109004739336492,0.7756653992395437,0.2003891050583657,0.8484848484848485,0.9411764705882352,0.2727272727272727,0.0,0.4516088940509683
scglue(multiome),0.3507030603804797,0.9846153846153848,0.9597156398104264,0.859315589353612,0.9474708171206224,0.8787878787878788,0.823529411764706,0.9090909090909092,0.0,0.7459142989915577
scglue,0.3664185277088503,0.9384615384615383,0.8033175355450236,0.5294676806083649,0.914396887159533,0.0,0.9411764705882352,0.0,0.0,0.4992487377857273
simba,0.7775020678246485,0.923076923076923,0.924170616113744,0.8517110266159694,0.8832684824902723,0.9393939393939394,0.823529411764706,0.3636363636363636,0.0,0.7206987589907295
