method,celltype,ks_celltype,ks_inter_celltype,celltype_omics_ASW
Seurat(CCA),Tumor,0.857792318943847,0.8821010287529788,0.6875746883627437
Seurat(CCA),Luminal mature,0.778309335824963,0.6601944405512731,0.7730348254824854
Seurat(CCA),Fibroblasts,0.9532671189701856,0.952152200912933,0.721860220203333
Seurat(CCA),Macrophages,0.9294984039347572,0.9393473634496324,0.6823273778300359
Seurat(CCA),DC,0.7996960776865005,0.8114873947272581,0.666590364133674
Seurat(CCA),T-cells,0.8458543162123282,0.8397406623547201,0.6750173694958999
Seurat(CCA),Luminal progenitor,0.9618140119679462,0.9614252344012452,0.622560733765023
Seurat(CCA),B-cells,0.7031278570187024,0.7066075108115456,0.751363292343809
Seurat(CCA),Basal progenitor,0.7373249022135592,0.7736200652361515,0.6939766101515911
Seurat(CCA),Endothelial,0.8411661908413837,0.8098601363674445,0.7999217054281899
Seurat(CCA),Plasma,0.8690000921019072,0.793368468196642,0.6435546293545236
Seurat(CCA),Pericytes,0.7885445159274566,0.7906707568204735,0.8214860790598814
BindSC,Tumor,0.345840226360634,0.3193215826785927,0.9744213156214212
BindSC,Luminal mature,0.4002918788445067,0.3753981779957953,0.9300283524100036
BindSC,Fibroblasts,0.8189782176849225,0.8453018169401733,0.9135188267056544
BindSC,Macrophages,0.7184938595452663,0.7487505273964336,0.930923221946803
BindSC,DC,0.6774168840532234,0.647211290145209,0.8544183205654161
BindSC,T-cells,0.8277481636391858,0.8526908300337953,0.8492459340504673
BindSC,Luminal progenitor,0.9301826749454736,0.9522127013537464,0.8638455152489677
BindSC,B-cells,0.8140456090491633,0.8147115943148577,0.9031324540143636
BindSC,Basal progenitor,0.7821748292257663,0.7852750653050591,0.8590115603008108
BindSC,Endothelial,0.850050724264082,0.8412799109358183,0.8814108759469669
BindSC,Plasma,0.8144379081725925,0.8136848222724916,0.8747804033934296
BindSC,Pericytes,0.6393189467853947,0.6386692798204876,0.9072976321559412
scBridge,Tumor,0.917598161510562,0.9172448362216694,0.9122363303302052
scBridge,Luminal mature,0.9978065872459706,0.9998014482597524,0.9663458726539634
scBridge,Fibroblasts,0.9811309396394768,0.9865090094989828,0.9610793588067958
scBridge,Macrophages,0.9408502013474414,0.9470685089224352,0.8562863220322898
scBridge,DC,0.8110923291321326,0.7512560529148199,0.4748670082383642
scBridge,T-cells,0.9456088669297548,0.9436552119276372,0.7002372255976391
scBridge,Luminal progenitor,0.9905441030527864,0.9904833214583968,0.8797333072372339
scBridge,B-cells,0.9448105992515484,0.939636400033872,0.6318743471876164
scBridge,Basal progenitor,0.8969417965061287,0.8788189101970535,0.6212254909567373
scBridge,Endothelial,0.9667400275398652,0.9622508361850628,0.6258486889780299
scBridge,Plasma,0.9801802217613886,0.9796154377243856,0.7595242632700588
scBridge,Pericytes,0.8845703208214393,0.908177183190604,0.4563247903719353
scglue,Tumor,0.6905205644917358,0.6909733784178893,0.9749599338808188
scglue,Luminal mature,0.9682423109865296,0.9664319240052948,0.9388546856731964
scglue,Fibroblasts,0.878797465481664,0.8767869941565452,0.9670750775142064
scglue,Macrophages,0.8090092450920233,0.8119059100356458,0.9883447871014348
scglue,DC,0.744353264037903,0.7554061665097977,0.9755132178999448
scglue,T-cells,0.8010463361232116,0.7974132413295958,0.9722009730838036
scglue,Luminal progenitor,0.9684810454469116,0.9659458614981576,0.9322513187633766
scglue,B-cells,0.7807457292352215,0.7809462349377454,0.9615657066607216
scglue,Basal progenitor,0.8523329091331722,0.8418596175228162,0.939314485788011
scglue,Endothelial,0.9385030729935318,0.9339624592111396,0.9187687396239544
scglue,Plasma,0.9322187439744792,0.928850061151221,0.933245557015258
scglue,Pericytes,0.8125824776674763,0.766936645221763,0.8399358981903654
scglue(multiome),Tumor,0.8061156733341879,0.8130634719414248,0.9455403097758516
scglue(multiome),Luminal mature,0.8744286225959667,0.8588235147551195,0.9672793085092996
scglue(multiome),Fibroblasts,0.9312146599267874,0.9288578302125894,0.9135682283621788
scglue(multiome),Macrophages,0.8733669283336118,0.8746602338616892,0.9400555756540812
scglue(multiome),DC,0.8018654156280366,0.7905379501942787,0.9174096827550632
scglue(multiome),T-cells,0.8262482898857291,0.8233121643845587,0.915410867737046
scglue(multiome),Luminal progenitor,0.9687089118393686,0.9693833875629604,0.8712814400803475
scglue(multiome),B-cells,0.7976024144175731,0.7916311691919605,0.9669493099263518
scglue(multiome),Basal progenitor,0.857914490200476,0.8543445602897717,0.9240322136407826
scglue(multiome),Endothelial,0.9330935141684228,0.9373137783105302,0.8691485269195497
scglue(multiome),Plasma,0.945070502412431,0.9449593862540056,0.886788954466212
scglue(multiome),Pericytes,0.886501782341329,0.8610608836436453,0.9210765595789708
scJoint,Tumor,0.929782529350027,0.9321091510936724,0.9738762246990172
scJoint,Luminal mature,0.9048980767733396,0.9046637078564198,0.8367017700304086
scJoint,Fibroblasts,0.9443894327745744,0.9420124176214844,0.9793965243543582
scJoint,Macrophages,0.9576279117581178,0.9628896906427704,0.9604239696545568
scJoint,DC,0.8394311491244419,0.813470857901755,0.6030505756578214
scJoint,T-cells,0.9065620786085034,0.8968431658471641,0.8868324474142064
scJoint,Luminal progenitor,0.96703815691532,0.9676808677923124,0.938878759023387
scJoint,B-cells,0.8232112741653457,0.8242403988572667,0.901042208983986
scJoint,Basal progenitor,0.7829342270187525,0.7743613249932234,0.94654887776203
scJoint,Endothelial,0.8863976535261553,0.8805481174289539,0.8281430394479101
scJoint,Plasma,0.8982128583430993,0.8635938455921943,0.6171865664009414
scJoint,Pericytes,0.8017555707042734,0.7707349495121639,0.737354155656068
scVI,Tumor,0.6422358083286241,0.584546999071315,0.9464670164034158
scVI,Luminal mature,0.8899710815230086,0.8437617690570739,0.7691376285645342
scVI,Fibroblasts,0.8849005477472426,0.8989796268249773,0.92434661939147
scVI,Macrophages,0.8192509743968853,0.8210034071589778,0.840326016818123
scVI,DC,0.7513141251603251,0.692979773716538,0.6822328793976467
scVI,T-cells,0.7937354950714006,0.8080050475746992,0.7464795510062604
scVI,Luminal progenitor,0.9270841782451952,0.9110946825603844,0.7903670511533808
scVI,B-cells,0.7312714541027421,0.7311370247339639,0.7943135943133999
scVI,Basal progenitor,0.7784316011750129,0.7739153423685758,0.8922207204048205
scVI,Endothelial,0.8634138423267534,0.7590175872758089,0.739687931542797
scVI,Plasma,0.8045542830304111,0.7624137534402771,0.7410222923758399
scVI,Pericytes,0.6943373382756024,0.7003678298041555,0.860563452566657
Cobolt,Tumor,0.6621876621508185,0.4341112505462679,0.764863048920938
Cobolt,Luminal mature,0.4993674375145994,0.2797979599781982,0.7178939213123514
Cobolt,Fibroblasts,0.7175622924506351,1.2300879512761045e-06,0.4187491527317175
