"method","ks_celltype_mean","asw","ks.statistic","omics_asw","ari","ami","ks_inter_celltype_mean","average_accu","peakdist_adj","score","Rank"
"scJoint",0.89,0.76,0.49,0.85,0.92,0.82,0.88,0.68,0.86,0.78,1
"scglue",0.85,0.61,0.49,0.95,0.93,0.87,0.84,0.81,0.91,0.77,2
"scglue(multiome)",0.88,0.62,0.49,0.92,0.84,0.83,0.87,0.85,0.92,0.77,3
"scBridge",0.95,0.85,0.29,0.73,0.9,0.84,0.94,0.87,0.9,0.77,4
"Portal",0.79,0.59,0.36,0.9,0.63,0.71,0.79,0.83,0.88,0.7,5
"MaxFuse",0.76,0.62,0.25,0.76,0.89,0.8,0.8,0.86,0.74,0.67,6
"simba",0.85,0.61,0.3,0.68,0.67,0.7,0.86,0.77,0.88,0.67,7
"Seurat(CCA)",0.84,0.61,0.26,0.71,0.6,0.68,0.83,0.69,0.91,0.65,8
"BindSC",0.72,0.54,0.38,0.9,0.52,0.6,0.72,0.62,0.89,0.65,9
"scVI",0.77,0.57,0.31,0.8,0.66,0.73,0.73,0.6,0.77,0.64,10
"MIDAS",0.55,0.54,0.19,0.91,0.79,0.71,0.49,0.74,0.5,0.57,11
"scButterfly",0.68,0.6,0.03,0.62,0.67,0.63,0.54,0.48,0.51,0.51,12
"Cobolt",0.68,0.58,0.1,0.71,0.4,0.46,0.5,0.4,0.69,0.51,13
"scDART",0.7,0.54,0.05,0.59,0.35,0.52,0.56,0.11,0.27,0.45,14
