method,asw,asw_random,omics_asw,ami,ari,ks.statistic
Seurat(CCA),0.6129507566229059,0.4885443904650149,0.7116056579675991,0.677544436130595,0.6006727672054422,0.2551443887255749
BindSC,0.5437690863393355,0.4926718546343178,0.895169534363354,0.598624807981344,0.5173705186568907,0.3770534324744942
scBridge,0.8547527711447614,0.4869033077311834,0.7371319171384058,0.8514793914895983,0.9279112666875314,0.339616116202663
scglue,0.611922024790054,0.4925834081264768,0.9451691984329242,0.8653946410270607,0.9253348787734194,0.4946394604876362
scglue(multiome),0.6190151100223039,0.4919546041778953,0.9198784147838112,0.8299649090199963,0.8355412334004807,0.4921321113608853
scJoint,0.7565457369997607,0.4873435865532629,0.8507862599237245,0.8190702558227804,0.916344226415786,0.4882413971986858
scVI,0.5760333076213774,0.4877227576120384,0.8105970628281954,0.614569501767129,0.4406597864359112,0.2624070551616808
Cobolt,0.4719446121610136,0.4867524428535119,0.5957099313349042,0.5495523296758322,0.5456564560167325,0.000172920629431
simba,0.6051423238062389,0.48859840530567,0.6758937724996774,0.7027959328949979,0.6705621315480226,0.3020923396161162
Portal,0.5854944971642203,0.4858923842006737,0.8990858258661628,0.7070226793700326,0.6345345871819189,0.3620093377139893
scDART,0.5413640930971941,0.4889469824545497,0.5921997452058392,0.5232594422810157,0.3506029227915275,0.0526543316617672
MaxFuse,0.4695143997163473,0.458947639066006,0.6269235949453003,0.6511594292759334,0.515872700605965,0.216323707418295
MIDAS,0.5087949798669508,0.4885861569763978,0.8778945689583332,0.5362565050870473,0.3988049986439478,0.1770707245374373
scButterfly,0.5152976824416939,0.4801485941765175,0.5894574240691486,0.6117474915322565,0.6889320553595624,0.01469825350164275
