method,celltype,ks_celltype,ks_inter_celltype,celltype_omics_ASW
Seurat(CCA),Basal progenitor,0.7498652227134254,0.6835763565365158,0.7584322208182603
Seurat(CCA),Luminal progenitor,0.9530093495089555,0.957720619387104,0.7870249148189865
Seurat(CCA),Tumor,0.7994601097514247,0.8773322112948168,0.7008243254866825
Seurat(CCA),Fibroblasts,0.9013589793645868,0.9332033057422532,0.7605297821869809
Seurat(CCA),Macrophages,0.9757843270847076,0.9164589809936248,0.86839748594537
Seurat(CCA),Endothelial,0.9368388946244768,0.9496379042646352,0.7863472916904347
Seurat(CCA),T-cells,0.9833936141873963,0.9256133653634896,0.9270771218229812
Seurat(CCA),Plasma,0.8835263567806686,0.7311527308544015,0.7799940080412292
Seurat(CCA),DC,0.730545711031665,0.8756348841787519,0.7440197068591539
BindSC,Basal progenitor,0.6896426031079241,0.6913680851417531,0.944297644945741
BindSC,Luminal progenitor,0.7670404968003848,0.6918761253150882,0.9282947954744122
BindSC,Tumor,0.3600913043574933,0.2745890382247244,0.9627554835040908
BindSC,Fibroblasts,0.3922795867296336,0.525031635478188,0.962307004247116
BindSC,Macrophages,0.7481279369512688,0.827652045094879,0.9369320947303182
BindSC,Endothelial,0.4674226034836066,0.654581408513311,0.9368469376150914
BindSC,T-cells,0.756227712728091,0.8297211555775067,0.9484236204874664
BindSC,Plasma,0.4208083533740381,0.4860796853636949,0.9164328895287804
BindSC,DC,0.5588575096486746,0.7047252242475026,0.7794849620117795
scBridge,Basal progenitor,0.9099449512571192,0.895130959839507,0.6533627614119449
scBridge,Luminal progenitor,0.9763221076313722,0.9221935711629256,0.586189899992279
scBridge,Tumor,0.9639355421332114,0.8664968514132204,0.7128219924088871
scBridge,Fibroblasts,0.99230121928474,0.9905701661991178,0.8325450544766598
scBridge,Macrophages,0.9982462890758844,0.9805122971185676,0.6247813645726212
scBridge,Endothelial,0.9981133641836578,0.899379497162919,0.5059442629872178
scBridge,T-cells,0.9992977234884608,0.9511160603268892,0.5469803105945222
scBridge,Plasma,0.9987194843061794,0.8944155155372339,0.4812282112355188
scBridge,DC,0.9991543321258824,0.8744668285320559,0.3188101233637725
scglue,Basal progenitor,0.5879995315349725,0.4027939197794031,0.763274334352812
scglue,Luminal progenitor,0.9016312459931642,0.8722190836080698,0.9702226074991744
scglue,Tumor,0.5358241226454732,0.497404618926819,0.97589902331059
scglue,Fibroblasts,0.6795871892460477,0.6895695110870665,0.9712721593723956
scglue,Macrophages,0.9624103141601164,0.197934576146085,0.4913692230680085
scglue,Endothelial,0.7213636270806887,0.6846189513869247,0.7286616024175563
scglue,T-cells,0.9862423447725638,0.9417826747064728,0.9372586999067696
scglue,Plasma,0.8770758508014124,0.5489600230053691,0.6818579830169165
scglue,DC,0.85704930771928,0.223734648447556,0.4361394048133443
scglue(multiome),Basal progenitor,0.6152160425670131,0.3716700831064038,0.6808541500629253
scglue(multiome),Luminal progenitor,0.94937352421419,0.9363493433803862,0.9615529420048722
scglue(multiome),Tumor,0.5965990270996151,0.6578640310417372,0.9207569478650286
scglue(multiome),Fibroblasts,0.7408218167779188,0.7304496957492184,0.8601221686665261
scglue(multiome),Macrophages,0.9677792824456058,0.8956983367770964,0.9043620741073404
scglue(multiome),Endothelial,0.791025994365497,0.8671206501451411,0.8231177789884737
scglue(multiome),T-cells,0.9909524023996782,0.8854909429312006,0.8325915044335158
scglue(multiome),Plasma,0.914962140380418,0.8862616103069564,0.8175010412189135
scglue(multiome),DC,0.8537553569882569,0.7367160171018692,0.6739237579279803
scJoint,Basal progenitor,0.8893967451566844,0.8646689057243623,0.7734235262350045
scJoint,Luminal progenitor,0.9603593623041168,0.8941193141287045,0.7447964364106652
scJoint,Tumor,0.9230124215752772,0.9252249930661484,0.9431796378836682
scJoint,Fibroblasts,0.961786501700162,0.9719729331809844,0.9612492819057749
scJoint,Macrophages,0.9888375236043088,0.8327055328867213,0.6977890541926746
scJoint,Endothelial,0.9721967574079888,0.7698959926760585,0.6646440324953192
scJoint,T-cells,0.9921938822563224,0.8663047238592357,0.611104693794257
scJoint,Plasma,0.9379456165618292,0.5172380986820128,0.6744104357759961
scJoint,DC,0.805844978108629,0.8598898575012494,0.7574406621976139
Cobolt,Basal progenitor,0.7570880614183656,0.3813793578226216,0.6116103312076507
Cobolt,Luminal progenitor,0.8168459574274667,2.2592827358391965e-05,0.5888922296826192
Cobolt,Tumor,0.5128780666978929,0.3990018609259655,0.8946919798550487
Cobolt,Fibroblasts,0.7419315025216264,0.2420817090598276,0.5872065310348943
Cobolt,Macrophages,0.9076662381791256,0.7227765487725122,0.6293970148106858
Cobolt,Endothelial,0.74935326182236,0.2941194109515513,0.7614367617531884
Cobolt,T-cells,0.9649116210624378,0.6634089144687347,0.5371960124152594
Cobolt,Plasma,0.8774003588430223,0.4070912844779193,0.7781339353416862
Cobolt,DC,0.8034315215322221,0.8899110076877648,0.6399441732943077
simba,Basal progenitor,0.8457283736522725,0.7922189496393042,0.7065695652089933
simba,Luminal progenitor,0.9092827303509492,0.8886620639256217,0.7439017780812247
simba,Tumor,0.6532923621462405,0.7835149505741542,0.6908639985348475
simba,Fibroblasts,0.7687471860694368,0.8706179615262928,0.7336475604457967
simba,Macrophages,0.9680181781725092,0.9647777226405012,0.7510589513727367
simba,Endothelial,0.8669635935988037,0.9250955154634952,0.7772962606952608
simba,T-cells,0.9841575295494563,0.9052751268187476,0.8414190256393363
simba,Plasma,0.8664169833726955,0.6221863193820234,0.909446014465474
simba,DC,0.8666906394557328,0.9052037535271344,0.7777408585200989
Portal,Basal progenitor,0.6110044972904016,0.5299295586003393,0.9039598898272264
Portal,Luminal progenitor,0.8322385495709268,0.6325247869773151,0.8509214751221686
Portal,Tumor,0.2070394407867787,0.0362025965279906,0.8880775112314439
Portal,Fibroblasts,0.8371592153436668,0.808307961845065,0.9539588939788314
Portal,Macrophages,0.92371493337142,0.8976912713289172,0.9098732272301268
Portal,Endothelial,0.9358094607771816,0.8304902292756218,0.9092945739634172
Portal,T-cells,0.9641464528063298,0.9327294410781692,0.683974039171316
Portal,Plasma,0.7480595310912035,0.664398416486722,0.8901864539740634
Portal,DC,0.8521077988536606,0.9221178454067752,0.7394742583424527
scDART,Basal progenitor,0.8453312076057844,0.4541358438160626,0.3733298137766016
scDART,Luminal progenitor,0.9582082880750232,0.9256930990305746,0.8426073777694871
scDART,Tumor,0.8399336499233032,0.9012500404066732,0.8342706353052924
scDART,Fibroblasts,0.9210960952975644,0.6371549597056823,0.2975719714315087
scDART,Macrophages,0.9173686203985766,0.6847200648025171,0.340668864309997
scDART,Endothelial,0.8560957294434114,0.5495334816024491,0.3516905298317511
scDART,T-cells,0.9586946264076128,0.4445401784818791,0.2945287998879166
scDART,Plasma,0.3363850937792225,0.3755174486081407,0.7659887117139976
scDART,DC,0.5447150559884908,0.3586566855285276,0.5764551406711889
MaxFuse,Basal progenitor,0.8525473446811495,0.8676164125806668,0.8886198345090345
MaxFuse,Luminal progenitor,0.8492370099166466,0.8704192896029909,0.7757351341601408
MaxFuse,Tumor,0.5011033000471456,0.5432187405653213,0.9605851965216112
MaxFuse,Fibroblasts,0.4766173758093147,0.7153281208772672,0.9534645770593412
MaxFuse,Macrophages,0.6581322278089463,0.6609522786869637,0.8188374491937764
MaxFuse,Endothelial,0.3846881907870148,0.2606007235315681,0.8015446400323925
MaxFuse,T-cells,0.899274695095087,0.9371371244059264,0.7842311065688732
MaxFuse,Plasma,0.9106164945612708,0.016082664352354,0.6208920753554782
MaxFuse,DC,0.7377366153209806,0.5413660294689234,0.6953232348527948
MIDAS,Basal progenitor,0.4953782309357818,0.3470625526413964,0.8917122957051256
MIDAS,Luminal progenitor,0.5737974547785736,0.0537818889446901,0.811829034648915
MIDAS,Tumor,0.2204046987969846,0.2133946769256171,0.9657457545053082
MIDAS,Fibroblasts,0.4939219582199212,0.1741287268120852,0.8378271338184495
MIDAS,Macrophages,0.7908841887517756,0.9180235128051693,0.9116462144813932
MIDAS,Endothelial,0.5611946232214808,0.1658143683617149,0.873415078245445
MIDAS,T-cells,0.8706475587200536,0.7034061226839462,0.741460643176494
MIDAS,Plasma,0.7681628160381755,0.6680377763313324,0.8556345911427581
MIDAS,DC,0.7987011149398263,0.8660582412534641,0.773634886785956
scButterfly,Basal progenitor,0.590547462205715,0.1719527384429411,0.4745061956388264
scButterfly,Luminal progenitor,0.5780401403041915,0.1918318499063848,0.586756192917391
scButterfly,Tumor,0.6823149578856185,0.6838488166504206,0.7055495234109672
scButterfly,Fibroblasts,0.7274649108839524,0.4437003867288792,0.4839434218856687
scButterfly,Macrophages,0.8933438660521065,0.9243792538814442,0.8932600700462685
scButterfly,Endothelial,0.9272806283998908,0.6094285366487393,0.4945191968619676
scButterfly,T-cells,0.9188632024380526,0.8998199510786036,0.7350161993239582
scButterfly,Plasma,0.4774823502558805,0.4697021355732572,0.7954895196554727
scButterfly,DC,0.5826962152038486,0.825215666281353,0.6392375107862329
scVI,Basal progenitor,0.7203356864125059,0.3509045801966831,0.7697825792467466
scVI,Luminal progenitor,0.78334638064097,0.4813657787604084,0.8041986514092984
scVI,Tumor,0.439365957556017,0.4013336281614281,0.9450995688418647
scVI,Fibroblasts,0.6730735558734013,0.6035292579459199,0.8766862637744369
scVI,Macrophages,0.9400843084766868,0.8934800459817088,0.8945695295470385
scVI,Endothelial,0.7259464226733572,0.3854779251674539,0.845477025244411
scVI,T-cells,0.955306568275213,0.9222044830834996,0.8582092554338145
scVI,Plasma,0.8561039816175082,0.6853154800648834,0.708088914759967
scVI,DC,0.8931037857192576,0.8905046262878141,0.6721963839043622
