"method","ks_celltype_mean","asw","omics_asw","ks_inter_celltype_mean","average_accu","peakdist_adj","score","Rank"
"scJoint",0.96,0.81,0.78,0.87,0.86,0.71,0.83,1
"scBridge",0.98,0.86,0.65,0.93,0.92,0.72,0.81,2
"Seurat(CCA)",0.89,0.67,0.8,0.88,0.85,0.62,0.8,3
"simba",0.85,0.62,0.75,0.87,0.88,0.61,0.76,4
"MaxFuse",0.68,0.58,0.89,0.79,0.93,0.57,0.76,5
"scglue(multiome)",0.78,0.62,0.84,0.74,0.81,0.6,0.75,6
"Portal",0.75,0.6,0.87,0.67,0.81,0.51,0.74,7
"BindSC",0.57,0.55,0.95,0.64,0.83,0.51,0.72,8
"scglue",0.75,0.59,0.81,0.57,0.6,0.35,0.67,9
"scVI",0.76,0.56,0.83,0.45,0.29,0.16,0.61,10
"MIDAS",0.46,0.53,0.88,0.22,0.33,0.19,0.54,11
"scButterfly",0.61,0.58,0.56,0.33,0.24,0.23,0.48,12
