method,asw,asw_random,omics_asw,ami,ari,ks.statistic
Seurat(CCA),0.6676328460020476,0.4389124684929092,0.7902940952966755,0.0,1.0,0.4651578470369065
BindSC,0.5477886031961301,0.4880110981688986,0.923975048060533,0.0,0.0,0.4945118574089925
scBridge,0.8513246807582489,0.4121385776008024,0.5847404423381583,0.0,0.0,0.0994662907205075
scglue,0.5885424782773788,0.471458634672232,0.7728838930841742,0.0,1.0,0.2246739841901213
scglue(multiome),0.6188425282298533,0.4598798190832135,0.8305313739195085,0.0,0.0,0.2605357232767735
scJoint,0.8057031314019512,0.4201670747928806,0.7586708623212193,0.0,0.0,0.3979910377120991
Cobolt,0.5789771695008403,0.4626795174057458,0.6698343299328156,0.0,0.0,0.0021650470771864
simba,0.6141778372741454,0.4726367581400007,0.7702160014404187,0.0,0.0,0.2264991692261215
Portal,0.590134714196946,0.453248670953587,0.8588578136490052,0.0,0.0,0.1762121746135643
scDART,0.6971492436816362,0.422227017192557,0.5196790938553045,0.0,0.0,0.4963244549619858
MaxFuse,0.5591634238962719,0.4682099274211843,0.8110259164726048,0.0,0.0,0.2418936609435577
MIDAS,0.5216225773169647,0.4858369639752085,0.8514339591677604,0.0,1.0,0.0
scButterfly,0.5981694297562343,0.4329866093034189,0.6453642033918615,0.0,0.0,0.0081566889884698
scVI,0.5595354279579376,0.4820682405962022,0.81936757468466,-3.203426503814918e-16,0.0,0.0264840642465132
