"","method","Omics gap reduction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"1","BindSC",0.78,0.67,0.655,0.701666666666667,"BRCA"
"2","Cobolt",0.35,0.625,0.411666666666667,0.462222222222222,"BRCA"
"3","MinNet",0.555,0.455,0.345,0.451666666666667,"BRCA"
"4","Portal",0.775,0.715,0.74,0.743333333333334,"BRCA"
"5","Seurat(CCA)",0.685,0.795,0.716666666666667,0.732222222222222,"BRCA"
"6","scBridge",0.715,0.905,0.805,0.808333333333333,"BRCA"
"7","scDART",0.515,0.7,0.386666666666667,0.533888888888889,"BRCA"
"8","scJoint",0.795,0.86,0.7,0.785,"BRCA"
"9","scVI",0.55,0.67,0.606666666666667,0.608888888888889,"BRCA"
"10","scglue",0.865,0.725,0.806666666666667,0.798888888888889,"BRCA"
"11","scglue(multiome)",0.85,0.765,0.848333333333333,0.821111111111111,"BRCA"
"12","simba",0.69,0.755,0.751666666666667,0.732222222222222,"BRCA"
