method,naive CD4 T cells,naive CD8 T cells,CD56 (bright) NK cells,classical monocytes,memory CD4 T cells,myeloid DC,effector CD8 T cells,non-classical monocytes,memory B cells,CD56 (dim) NK cells,naive B cells,intermediate monocytes,average_accu
random_atac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BindSC,0.7723035952063916,0.9322033898305084,0.975609756097561,0.8907563025210085,0.9733502538071067,0.8758169934640523,0.20535714285714285,0.8873239436619718,0.8973214285714286,0.9298245614035088,0.8988764044943821,0.5111111111111111,0.8124879069188479
Cobolt,0.881491344873502,0.9608865710560627,0.9471544715447155,0.9128151260504203,0.9581218274111676,0.9019607843137255,0.7678571428571429,0.9389671361502347,0.9732142857142857,0.8842105263157894,0.9719101123595505,0.675,0.8977991107205497
Conos,-0.189081225033289,0.9882659713168188,0.9878048780487805,0.990546218487395,0.7271573604060914,0.4771241830065359,0.75,-0.009389671361502344,0.9866071428571428,0.7719298245614035,0.5786516853932584,0.06388888888888888,0.593625438047627
LIGER,0.8362183754993344,0.5840938722294655,0.8983739837398373,-0.22478991596638656,0.9428934010152284,0.6862745098039216,0.5357142857142857,0.5821596244131455,0.8973214285714286,0.9403508771929825,0.550561797752809,0.6388888888888888,0.6556717607379118
MIDAS,0.9347536617842878,0.8878748370273795,0.9715447154471545,0.9380252100840335,0.9314720812182741,0.7450980392156863,0.6696428571428572,0.9014084507042254,0.9642857142857143,0.9298245614035088,0.9269662921348314,0.6055555555555556,0.8672043313336258
MIRA,0.7909454061251665,0.9556714471968709,0.9105691056910569,0.8623949579831932,0.9225888324873096,0.6666666666666666,0.7232142857142857,-0.023474178403755867,0.96875,0.7649122807017544,0.8820224719101123,0.7555555555555555,0.764984735969018
MaxFuse,0.8828229027962717,0.9569752281616688,0.9878048780487805,0.9359243697478992,0.964467005076142,0.8954248366013071,0.7098214285714286,0.8779342723004695,0.9732142857142857,0.8912280701754386,0.9887640449438203,0.5666666666666667,0.8859206657336817
MinNet,0.7403462050599201,0.8357235984354627,0.9878048780487805,0.7321428571428572,0.8984771573604061,0.6470588235294118,0.6294642857142857,0.6666666666666666,0.9598214285714286,0.9157894736842106,0.8876404494382022,0.5611111111111112,0.7885039112302286
MultiMAP,0.022636484687083857,0.009126466753585367,0.11382113821138211,0.453781512605042,0.38959390862944165,0.1503267973856209,0.1517857142857143,0.051643192488262914,0.4107142857142857,0.18245614035087718,0.38202247191011235,0.19999999999999998,0.20982567608511735
Multigrate,0.3768308921438082,0.8604954367666232,0.967479674796748,0.7699579831932774,-0.013959390862944183,0.09803921568627451,0.16517857142857142,-0.03286384976525821,0.5848214285714286,0.35789473684210527,0.3258426966292135,0.06944444444444443,0.37743015332285773
Portal,0.8761651131824236,0.8670143415906127,0.9878048780487805,0.9464285714285714,0.9162436548223349,0.6993464052287582,0.3794642857142857,0.6291079812206573,0.9642857142857143,0.8596491228070174,0.9550561797752809,0.3833333333333333,0.7886582984531475
Seurat(CCA),0.9107856191744341,0.9295958279009127,0.9268292682926829,0.8350840336134454,0.8807106598984772,0.5163398692810457,0.4419642857142857,0.8215962441314554,0.9285714285714285,0.9298245614035088,0.9325842696629213,0.4555555555555555,0.7924534686000128
Seurat(WNN),0.7363515312916113,0.33898305084745756,0.8048780487804877,0.8686974789915966,0.7398477157360406,0.39869281045751637,0.08035714285714285,0.5915492957746479,0.7008928571428571,0.6385964912280702,0.6685393258426967,0.28611111111111104,0.5711247383384365
Unioncom,-0.18774966711051935,0.11342894393741847,0.6422764227642276,-0.2184873949579832,0.7474619289340102,0.4705882352941176,-0.022321428571428575,0.8028169014084506,0.2589285714285714,-0.038596491228070184,-0.016853932584269662,-0.06388888888888888,0.20730026670213633
scBridge,0.8988015978695073,0.970013037809648,0.975609756097561,0.976890756302521,0.9225888324873096,0.7973856209150327,0.36160714285714285,0.8826291079812206,0.9866071428571428,0.9298245614035088,0.9887640449438203,0.15555555555555556,0.8205230964233309
scButterfly,0.9054593874833556,0.9661016949152543,0.9349593495934959,0.9716386554621849,0.9098984771573604,0.8496732026143791,0.8616071428571428,0.7417840375586854,0.9776785714285714,0.9649122807017544,0.9719101123595505,0.47777777777777775,0.8777833908257927
scDART,0.6750998668442079,-0.1486310299869622,0.8495934959349594,0.7657563025210085,-0.1865482233502538,0.05882352941176469,0.6294642857142857,0.4084507042253521,-0.022321428571428575,0.8947368421052632,0.061797752808988755,0.2833333333333333,0.3557962859158766
scJoint,0.8428761651131825,0.9348109517601043,0.983739837398374,0.8991596638655462,0.9162436548223349,0.261437908496732,0.53125,-0.03286384976525821,0.9955357142857143,0.9228070175438596,0.3089887640449438,0.09722222222222224,0.6384340041489797
scMoMaT,0.9227696404793609,0.6610169491525424,0.8455284552845529,0.9107142857142857,0.8591370558375634,0.4967320261437908,0.33928571428571425,0.04694835680751174,0.9107142857142858,0.8456140350877193,0.7528089887640449,0.047222222222222214,0.6365410012911328
scVI,0.8721704394141145,0.9674054758800521,0.9634146341463415,0.9338235294117647,0.9631979695431473,0.7843137254901961,0.78125,0.9248826291079812,0.9866071428571428,0.9228070175438596,0.9775280898876404,0.6916666666666667,0.8974222766624088
scglue(multiome),0.85219707057257,0.9569752281616688,0.9878048780487805,0.917016806722689,0.9835025380710659,0.888888888888889,0.7678571428571429,0.9107981220657277,0.96875,0.9087719298245613,1.0,0.7444444444444445,0.9072505874714617
scglue,0.8761651131824236,0.954367666232073,0.9796747967479675,0.9390756302521008,0.967005076142132,0.8169934640522877,0.7633928571428571,0.6197183098591549,0.9776785714285714,0.9473684210526316,0.9775280898876404,0.5222222222222221,0.8617658515168385
simba,0.8854860186418111,0.9126466753585398,0.975609756097561,0.8781512605042018,0.9403553299492385,0.7254901960784315,0.3348214285714286,0.6995305164319249,0.9732142857142857,0.9578947368421052,0.9269662921348314,0.5638888888888889,0.8145046154344374
