method,celltype,ks_celltype,ks_inter_celltype,celltype_omics_ASW
BindSC,naive CD4 T cells,0.5516991361939213,0.5868736942482236,0.8819034782521732
BindSC,naive CD8 T cells,0.723260891867963,0.7557657395136156,0.8596810535775545
BindSC,CD56 (bright) NK cells,0.9419536866194668,0.959478323004372,0.7857722430929627
BindSC,classical monocytes,0.534260064292066,0.5426177306442461,0.9499467452058786
BindSC,memory CD4 T cells,0.6404570617583187,0.6907693498583698,0.8758928224683726
BindSC,myeloid DC,0.8611687517636407,0.858156574683596,0.9297312920488354
BindSC,effector CD8 T cells,0.4482579112655583,0.4723400958561054,0.922873637238901
BindSC,non-classical monocytes,0.8975368832085184,0.877160521409026,0.8809244916140269
BindSC,memory B cells,0.9282694243128536,0.9426530280619024,0.8444770670041246
BindSC,CD56 (dim) NK cells,0.8268112543818458,0.8656631110262561,0.8171997630687828
BindSC,naive B cells,0.9184427310687646,0.9370320516085292,0.79788917171454
BindSC,intermediate monocytes,0.5336007667709345,0.5393010553619502,0.9445882179326032
Conos,naive CD4 T cells,0.6890720805615217,0.4668855728238831,0.2405196269011704
Conos,naive CD8 T cells,0.7118586917404524,0.656474673738825,0.2412052745407271
Conos,CD56 (bright) NK cells,0.98590825562722,0.9810195048678512,0.4963740081338783
Conos,classical monocytes,0.8619344194587217,0.8396378795115564,0.3177192993747845
Conos,memory CD4 T cells,0.7611101938276532,0.5552972007550807,0.3639164035252226
Conos,myeloid DC,0.707035417508815,0.7206383206802143,0.360594342166148
Conos,effector CD8 T cells,0.6874152653553565,0.667312707336656,0.5979714048407531
Conos,non-classical monocytes,0.8932519691697196,0.699410612159213,0.2550421409489595
Conos,memory B cells,0.9564715930560014,0.9607648226502602,0.5637491171150343
Conos,CD56 (dim) NK cells,0.9265900267249598,0.8967415444308842,0.5216536701782076
Conos,naive B cells,0.951682795490656,0.9534628616798216,0.4431517967287753
Conos,intermediate monocytes,0.7333283022746402,0.7200827089656314,0.3314850979744742
LIGER,naive CD4 T cells,0.6062683505819362,0.5762850547491798,0.6523478160780382
LIGER,naive CD8 T cells,0.652888773627844,0.6509671645145397,0.6652155643905756
LIGER,CD56 (bright) NK cells,0.9330849669953776,0.936461720155244,0.874035196243051
LIGER,classical monocytes,0.8778608219909525,0.0,0.3056153995120236
LIGER,memory CD4 T cells,0.7955120982322085,0.8081178212424951,0.7916855628218581
LIGER,myeloid DC,0.5578638268625701,0.5918989207217108,0.5654361520693112
LIGER,effector CD8 T cells,0.5439689287435782,0.5263958684835204,0.685255453321435
LIGER,non-classical monocytes,0.8324064981507371,0.9579151985060114,0.8809285860672328
LIGER,memory B cells,0.9674715525946672,0.967572591945516,0.8868925328574649
LIGER,CD56 (dim) NK cells,0.8870146123644989,0.8897265405119338,0.8570846602461294
LIGER,naive B cells,0.9541580683503236,0.9539634825682262,0.8398786707760275
LIGER,intermediate monocytes,0.5776855719946504,0.2668340357587345,0.3551939249354807
MultiMAP,naive CD4 T cells,0.4620543813384707,0.3293558827669476,0.6898452380975099
MultiMAP,naive CD8 T cells,0.460601717081969,0.3461621689101616,0.6652341478911233
MultiMAP,CD56 (bright) NK cells,0.3522145397006289,0.4235486073327585,0.546663713928742
MultiMAP,classical monocytes,0.7338347782341692,0.7284031457662612,0.7335336539383964
MultiMAP,memory CD4 T cells,0.4411800905679762,0.4721033335861001,0.8257462252121369
MultiMAP,myeloid DC,0.6518613605961743,0.6923222386146559,0.7129314509989007
MultiMAP,effector CD8 T cells,0.3390367096853413,0.3632126141765833,0.7144166812846661
MultiMAP,non-classical monocytes,0.6717450604928354,0.6466174744769655,0.5347407833319348
MultiMAP,memory B cells,0.8449435238716531,0.7740247997756675,0.6099456908332722
MultiMAP,CD56 (dim) NK cells,0.4295772411280135,0.4962361144135974,0.6796394867960678
MultiMAP,naive B cells,0.8337005120027196,0.8046609229310997,0.565684226559976
MultiMAP,intermediate monocytes,0.629461864230493,0.6666556501986801,0.6470239748251629
Seurat(CCA),naive CD4 T cells,0.660841508686919,0.7231216166413721,0.6289999165811795
Seurat(CCA),naive CD8 T cells,0.7293668127212605,0.8009272801151538,0.5846112628684962
Seurat(CCA),CD56 (bright) NK cells,0.8973626234382592,0.9085684513000544,0.6394134233486336
Seurat(CCA),classical monocytes,0.7855095910560586,0.7646795889754513,0.9099879445280182
Seurat(CCA),memory CD4 T cells,0.6263924963555381,0.6899649647317075,0.7238141540634327
Seurat(CCA),myeloid DC,0.6152150491069637,0.5963392222085142,0.864328703145206
Seurat(CCA),effector CD8 T cells,0.5736877103556239,0.6037044709357482,0.8463982088895788
Seurat(CCA),non-classical monocytes,0.8474347801367157,0.7951522270606124,0.8849956261271519
Seurat(CCA),memory B cells,0.9226899857650618,0.9185392257263846,0.7023043621149734
Seurat(CCA),CD56 (dim) NK cells,0.8817529732229303,0.8904531300685259,0.6305400331341505
Seurat(CCA),naive B cells,0.9111746800483004,0.923505250177075,0.6653685952719752
Seurat(CCA),intermediate monocytes,0.6318877502828093,0.5963260468450395,0.83857268089938
scDART,naive CD4 T cells,0.6903622327354842,0.6728225083171042,0.9499697322894092
scDART,naive CD8 T cells,0.7737422731236114,0.5262173229636498,0.4784793940425164
scDART,CD56 (bright) NK cells,0.9049748637412744,0.9044655388978746,0.8708438559445437
scDART,classical monocytes,0.8123857209409276,0.8175891523121316,0.8257282309649983
scDART,memory CD4 T cells,0.764047490377404,0.4761346469617075,0.5145322384307822
scDART,myeloid DC,0.6854936936838906,0.6853037241181354,0.7174695881056935
scDART,effector CD8 T cells,0.6525361248327779,0.6599984744279287,0.941033288106556
