"method","ks_celltype_mean","asw","ks.statistic","omics_asw","ari","ami","ks_inter_celltype_mean","average_accu","peakdist_adj","score","Rank"
"Cobolt",0.83,0.62,0.66,0.96,0.79,0.82,0.83,0.9,0.93,0.8,1
"scglue(multiome)",0.84,0.61,0.59,0.94,0.81,0.85,0.84,0.91,0.93,0.79,2
"scVI",0.8,0.59,0.56,0.95,0.8,0.81,0.81,0.9,0.93,0.76,3
"scButterfly",0.89,0.69,0.45,0.84,0.71,0.79,0.89,0.88,0.93,0.76,4
"scglue",0.83,0.61,0.51,0.94,0.66,0.77,0.82,0.86,0.92,0.75,5
"scBridge",0.89,0.81,0.32,0.76,0.77,0.8,0.88,0.82,0.89,0.74,6
"MaxFuse",0.78,0.58,0.42,0.92,0.71,0.78,0.78,0.89,0.92,0.72,7
"MIDAS",0.66,0.54,0.58,0.96,0.66,0.72,0.66,0.87,0.93,0.71,8
"Seurat(WNN)",0.8,0.69,0.54,0.79,0.61,0.71,0.79,0.57,0.73,0.7,9
"MinNet",0.82,0.61,0.28,0.88,0.4,0.62,0.82,0.79,0.9,0.68,10
"simba",0.83,0.6,0.33,0.6,0.58,0.72,0.86,0.81,0.89,0.66,11
"Seurat(CCA)",0.76,0.61,0.28,0.74,0.67,0.74,0.77,0.79,0.88,0.66,12
"Portal",0.79,0.55,0.16,0.9,0.6,0.72,0.78,0.79,0.88,0.65,13
"MIRA",0.85,0.64,0.13,0.78,0.72,0.77,0.85,0.76,0.54,0.65,14
"scJoint",0.83,0.64,0.11,0.82,0.64,0.7,0.82,0.64,0.7,0.64,15
"BindSC",0.73,0.57,0.21,0.87,0.48,0.62,0.75,0.81,0.88,0.64,16
"LIGER",0.77,0.53,0.21,0.7,0.56,0.68,0.68,0.66,0.82,0.59,17
"scMoMaT",0.64,0.54,0.01,0.8,0.46,0.63,0.6,0.64,0.82,0.54,18
"scDART",0.79,0.55,0.12,0.71,0.39,0.56,0.7,0.36,0.42,0.54,19
"Conos",0.82,0.57,0,0.39,0.61,0.74,0.76,0.59,0.51,0.52,20
"Multigrate",0.79,0.52,0,0.43,0.69,0.77,0.74,0.38,0.62,0.51,21
"MultiMAP",0.57,0.54,0.27,0.66,0.35,0.51,0.56,0.21,0.54,0.49,22
"Unioncom",0.68,0.52,0,0.53,0.69,0.74,0.34,0.21,0.01,0.42,23
