pipeline,CD56 (bright) NK cells,CD56 (dim) NK cells,classical monocytes,effector CD8 T cells,intermediate monocytes,memory B cells,memory CD4 T cells,myeloid DC,naive B cells,naive CD4 T cells,naive CD8 T cells,non-classical monocytes,overall,accu_average,k value
BindSC,0.9721115537848606,0.9225589225589226,0.8910806174957119,0.2746781115879828,0.5195822454308094,0.8884120171673819,0.973404255319149,0.8636363636363636,0.8729281767955801,0.7986725663716814,0.9374325782092772,0.9090909090909092,0.8531159789437935,0.2002943894299562,5
Cobolt,0.952191235059761,0.8787878787878788,0.9236706689536878,0.776824034334764,0.6788511749347258,0.9828326180257512,0.9595744680851064,0.9155844155844156,0.9668508287292816,0.9037610619469026,0.9719525350593312,0.9318181818181818,0.9149261334691798,0.08611394744261236,5
Conos,0.9880478087649402,0.7508417508417509,0.9905660377358492,0.7682403433476395,0.1879895561357702,0.9871244635193132,0.6319148936170212,0.3571428571428571,0.6629834254143646,0.0199115044247787,0.989212513484358,0.1181818181818181,0.651553744268976,0.3479227892893239,5
LIGER,0.9083665338645418,0.9393939393939394,0.0,0.0,0.5965665236051502,0.597911227154047,0.8927038626609443,0.9382978723404256,0.7727272727272727,0.5359116022099447,0.8694690265486725,0.6418554476806904,0.6267617592120903,0.2645885185690474,5
MinNet,0.9760956175298804,0.8956228956228957,0.7650085763293311,0.6695278969957081,0.5796344647519582,0.96137339055794,0.9106382978723404,0.6818181818181818,0.8729281767955801,0.7787610619469026,0.8727076591154261,0.6954545454545454,0.8133808796060452,0.1227806084385895,5
MultiMAP,0.1314741035856573,0.2154882154882154,0.548885077186964,0.1845493562231759,0.2584856396866841,0.4377682403433476,0.4797872340425532,0.1623376623376623,0.3922651933701657,0.1924778761061946,0.1790722761596548,0.0818181818181818,0.3202581083375785,0.14597640722548122,5
Portal,0.9840637450199204,0.8518518518518519,0.948542024013722,0.4678111587982833,0.4516971279373368,0.96137339055794,0.925531914893617,0.7012987012987013,0.9447513812154696,0.8772123893805309,0.8910463861920173,0.6272727272727273,0.8520971302428256,0.18411722059916266,5
Seurat(CCA),0.9362549800796812,0.9326599326599326,0.8584905660377359,0.4806866952789699,0.4986945169712793,0.9313304721030042,0.9074468085106384,0.5064935064935064,0.9281767955801103,0.9214601769911503,0.9503775620280476,0.8272727272727273,0.8537952114111055,0.18286703312177033,5
Seurat(WNN),0.8087649402390438,0.6531986531986532,0.8902229845626072,0.1201716738197424,0.3289817232375979,0.7081545064377682,0.7723404255319148,0.3896103896103896,0.6740331491712708,0.7776548672566371,0.4530744336569579,0.6045454545454545,0.6653082017320427,0.21958481403985167,5
Unioncom,0.6533864541832669,0.0,0.0042881646655231,0.0171673819742489,0.0026109660574412,0.3261802575107296,0.7787234042553192,0.422077922077922,0.0,0.0110619469026548,0.2869471413160733,0.7681818181818182,0.2533537103073527,0.3026735980771181,5
