"Method.x","peakdist_adj"
"BindSC",0.876064768250816
"Cobolt",0.934319471098898
"Conos",0.506802160252889
"LIGER",0.823710157437989
"MinNet",0.903955493350565
"MultiMAP",0.539602915507726
"Portal",0.884314802508505
"Seurat.CCA.",0.883838662010122
"Seurat.WNN.",0.725169887401349
"Unioncom",0.00534044701789573
"random",0
"scBridge",0.892733487797957
"scDART",0.422133359366537
"scJoint",0.696249863949478
"scMoMaT",0.822339064998371
"scVI",0.933468158753749
"scglue",0.919001289241051
"scglue.multiome.",0.934048505829576
"simba",0.894560319355983
