method,asw,asw_random,omics_asw,ami,ari,ks.statistic
BindSC,0.568145093295008,0.4947899598728407,0.874239998601563,0.6190994590621259,0.4825406181729102,0.2072508065885549
Conos,0.5699129512683883,0.4790698101169932,0.3944485152023445,0.7421995087198195,0.6141562028592933,0.0030565461029037
LIGER,0.527147997723299,0.485095728214689,0.6966307932765523,0.6829519471715013,0.5602676788958373,0.2097130242825607
MultiMAP,0.5418404830867952,0.4749167113654313,0.6604504394748241,0.5088420631761903,0.3518306133491466,0.2691458651723553
Seurat(CCA),0.6056772419833056,0.4775319395710381,0.7432779092476812,0.7356786064522975,0.6735223424845288,0.2849380200373578
scDART,0.5533879855239602,0.4819106582483484,0.708990367993806,0.5550698889887007,0.3913762711496847,0.1237052131091866
scMoMaT,0.5390907268569917,0.4936121663173464,0.8030652387345275,0.625702972557742,0.4578783955134914,0.0117167600611309
simba,0.5950478267901455,0.4896950854445319,0.6022385489980787,0.7158675892104466,0.5778396604176856,0.3331635252165054
scglue,0.606769196421619,0.4885464422080237,0.9353021058849982,0.7661594809676269,0.6592183593271125,0.5131601290541687
Unioncom,0.5159101722889359,0.4891254658799073,0.5318258231550177,0.7441905702342363,0.6860178325295744,0.0003396162336559
Portal,0.5501798621476107,0.4877045112073098,0.9043284848412938,0.7165008110945943,0.6019425948177961,0.1576668364747835
scJoint,0.6375122135991842,0.4913080260288381,0.8247677143048583,0.7021953842709503,0.6445711286240566,0.1130073017490236
scBridge,0.8130317071756541,0.4886303381663236,0.7553241201537925,0.7960583842115326,0.7730161810733814,0.3182204109356427
Cobolt,0.6169532873823971,0.4879313444217337,0.9618056730973946,0.8219358384782965,0.7911247939379533,0.6589403973509933
scglue(multiome),0.6147276638081459,0.4892044346926355,0.9395453284099065,0.8471342993128568,0.814338894863005,0.58719646799117
scVI,0.590775420750177,0.4923635449623595,0.9491675501049492,0.809983344181619,0.8001328490227724,0.5627440991679402
Seurat(WNN),0.6908058092364598,0.4712936531487123,0.7855525715093702,0.713242977812116,0.6113240303874008,0.5360842248259468
MinNet,0.6140391908612308,0.4879108143815581,0.8847769807721505,0.6226537571741787,0.3956101733334571,0.2796739684156902
MaxFuse,0.5825628160835528,0.4910017975505087,0.9172483861813232,0.776688488829394,0.7099935965914985,0.4158600781117337
Multigrate,0.5218970237923188,0.4842591140772201,0.4259653202169048,0.7723529638060893,0.6885662647883718,0.0
MIDAS,0.5448570026456705,0.493077523092701,0.9557846905207908,0.7202346850918355,0.6620035868461494,0.5777721175072168
scButterfly,0.6941795096872413,0.4871709930858746,0.8379878863263913,0.7919779999279544,0.7117262504289623,0.4504160298862285
MIRA,0.6391984563931831,0.4843091088693584,0.7756721112020378,0.771392397247373,0.7207456594961972,0.1293088809645101
