"method","Omics gap reduction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"Cobolt",0.81,0.725,0.85,0.795,"pbmc10k"
"scglue(multiome)",0.765,0.725,0.863333333333333,0.784444444444444,"pbmc10k"
"scVI",0.755,0.695,0.843333333333333,0.764444444444444,"pbmc10k"
"scButterfly",0.645,0.79,0.848333333333333,0.761111111111111,"pbmc10k"
"scglue",0.725,0.72,0.808333333333333,0.751111111111111,"pbmc10k"
"scBridge",0.54,0.85,0.84,0.743333333333333,"pbmc10k"
"MaxFuse",0.67,0.68,0.81,0.72,"pbmc10k"
"MIDAS",0.77,0.6,0.75,0.706666666666667,"pbmc10k"
"Seurat(WNN)",0.665,0.745,0.7,0.703333333333333,"pbmc10k"
"MinNet",0.58,0.715,0.725,0.673333333333333,"pbmc10k"
"simba",0.465,0.715,0.786666666666667,0.655555555555556,"pbmc10k"
"Seurat(CCA)",0.51,0.685,0.77,0.655,"pbmc10k"
"Portal",0.53,0.67,0.758333333333333,0.652777777777778,"pbmc10k"
"MIRA",0.455,0.745,0.748333333333333,0.649444444444444,"pbmc10k"
"scJoint",0.465,0.735,0.72,0.64,"pbmc10k"
"BindSC",0.54,0.65,0.715,0.635,"pbmc10k"
"LIGER",0.455,0.65,0.68,0.595,"pbmc10k"
"scMoMaT",0.405,0.59,0.625,0.54,"pbmc10k"
"scDART",0.415,0.67,0.521666666666667,0.535555555555555,"pbmc10k"
"Conos",0.195,0.695,0.661666666666667,0.517222222222222,"pbmc10k"
"Multigrate",0.215,0.655,0.656666666666667,0.508888888888889,"pbmc10k"
"MultiMAP",0.465,0.555,0.455,0.491666666666667,"pbmc10k"
"Unioncom",0.265,0.6,0.388333333333333,0.417777777777778,"pbmc10k"
