method,CD14 Monocytes,B cells,Memory T cells,NK/Effector T cells,CD16 Monocytes,Naive CD4 T cells,Naive CD8 T cells,average_accu
random_atac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BindSC,0.8803986710963456,0.9320388349514562,0.9365079365079365,0.9324324324324325,0.6862745098039216,0.7554347826086957,0.8666666666666667,0.8556791191524936
Cobolt,0.8970099667774089,0.9805825242718447,0.49603174603174605,0.9256756756756757,0.5196078431372549,0.5054347826086957,0.23076923076923075,0.6507302527531224
Conos,0.9867109634551496,0.9804060017652251,0.9166666666666667,0.9121621621621622,0.0,0.8695652173913044,0.010256410256410256,0.6679667745281312
LIGER,0.9601328903654485,0.9805825242718447,0.7142857142857144,0.9797297297297297,0.39215686274509803,0.29891304347826086,0.49743589743589745,0.6890338089017135
MIDAS,0.9634551495016613,0.9611650485436893,0.7499999999999999,0.9256756756756757,0.7156862745098039,0.8858695652173914,0.9179487179487179,0.8742572044852771
MIRA,0.9867109634551496,1.0,0.892857142857143,0.9121621621621622,-0.0196078431372549,0.1467391304347826,0.41538461538461535,0.6191780244509426
MaxFuse,0.8571428571428573,0.9223300970873786,0.9246031746031748,0.9324324324324325,0.6960784313725491,0.9347826086956521,0.8358974358974359,0.8718952910330685
MinNet,0.9302325581395349,1.0,0.8730158730158729,0.9459459459459459,0.49019607843137253,0.39673913043478254,0.8615384615384615,0.78538114964371
MultiMAP,0.7408637873754155,0.3009708737864078,0.611111111111111,0.4256756756756757,0.09803921568627452,-0.05978260869565217,0.0923076923076923,0.31559796389241784
Multigrate,0.9933554817275748,0.6601941747572816,0.7301587301587302,0.8851351351351352,0.0196078431372549,0.4565217391304348,0.6,0.6207104434352015
Portal,0.9069767441860466,0.970873786407767,0.7936507936507937,1.0,0.7647058823529412,0.7934782608695653,0.9384615384615385,0.8811638579898075
Seurat(CCA),0.903654485049834,0.9223300970873786,0.773809523809524,0.9324324324324325,0.7254901960784313,0.9510869565217391,0.9333333333333332,0.8774481463303819
Seurat(WNN),0.6744186046511627,0.6504854368932038,0.43253968253968256,0.5878378378378378,0.2352941176470588,0.08152173913043477,0.04615384615384615,0.3868930378361752
Unioncom,0.2857142857142857,0.35922330097087385,0.8412698412698412,0.08783783783783783,-0.029411764705882353,0.05978260869565217,0.28717948717948716,0.2702279424231565
scBridge,0.9136212624584718,0.9320388349514562,0.8531746031746033,1.0,0.29411764705882354,-0.15217391304347827,0.7846153846153846,0.6607705456021801
scButterfly,0.9867109634551496,0.9902912621359223,0.8730158730158729,0.9594594594594594,0.4411764705882353,0.7336956521739131,0.7999999999999999,0.8263356686897932
scDART,0.9800664451827242,0.941747572815534,0.8134920634920635,0.9324324324324325,0.5294117647058824,0.7880434782608695,0.8512820512820513,0.8337822583102223
scJoint,0.9966777408637875,0.9902912621359223,0.9682539682539683,0.9459459459459459,-0.009803921568627449,0.641304347826087,0.8358974358974359,0.7669381113363599
scMoMaT,0.8372093023255814,0.9029126213592233,0.7857142857142857,0.8445945945945946,0.17647058823529413,0.8913043478260869,0.7435897435897436,0.7402564976635443
scVI,0.9468438538205981,1.0,0.9603174603174605,1.0,0.823529411764706,0.858695652173913,0.9692307692307692,0.9369453067582068
scglue(multiome),0.9667774086378739,1.0,0.9007936507936507,0.9662162162162162,0.803921568627451,0.9021739130434782,0.9794871794871794,0.9313385624008357
scglue,0.9800664451827242,1.0,0.8650793650793652,0.9864864864864865,0.7156862745098039,0.8315217391304348,0.9743589743589743,0.9075998978211127
simba,0.9069767441860466,0.9611650485436893,0.8650793650793652,0.918918918918919,0.5490196078431373,0.7336956521739131,0.8717948717948717,0.8295214583628489
