method,celltype,ks_celltype,ks_inter_celltype,celltype_omics_ASW
BindSC,CD14 Monocytes,0.3986609392981781,0.3667728812513147,0.9589286841024324
BindSC,B cells,0.9134054019760148,0.9212345577400772,0.9284646535311628
BindSC,Memory T cells,0.5483672231655953,0.5782843213375172,0.9266311634655242
BindSC,NK/Effector T cells,0.7977804693899462,0.8300869077054952,0.9059316429417048
BindSC,CD16 Monocytes,0.6543502749393352,0.6030166044912588,0.9331502890843458
BindSC,Naive CD4 T cells,0.5118149225666739,0.5198225734321081,0.9284201067053154
BindSC,Naive CD8 T cells,0.6810759065673787,0.7084414941306478,0.9086033638667234
LIGER,CD14 Monocytes,0.8340296650399056,0.8332976956519267,0.6100070279928057
LIGER,B cells,0.932358414752781,0.9430142742666534,0.7650060316075017
LIGER,Memory T cells,0.5345613506074263,0.0326445384584302,0.3963984126749167
LIGER,NK/Effector T cells,0.7612082322969703,0.8030274697819252,0.9277107163591244
LIGER,CD16 Monocytes,0.7023320389399332,0.7040897106855832,0.7289982679988288
LIGER,Naive CD4 T cells,0.4594042131604937,0.4987374815553612,0.5088427002920303
LIGER,Naive CD8 T cells,0.4976104425674112,0.5160387396822926,0.4915079564100794
MultiMAP,CD14 Monocytes,0.6113787023433319,0.5319247894401575,0.7476782428505624
MultiMAP,B cells,0.6322833968342153,0.6134061164323822,0.7136843269794181
MultiMAP,Memory T cells,0.4396081003237134,0.5127453967064888,0.8655416870508189
MultiMAP,NK/Effector T cells,0.4764313258911525,0.51813606318623,0.9349655808639442
MultiMAP,CD16 Monocytes,0.4949300486908181,0.2447683926305444,0.5014887027381213
MultiMAP,Naive CD4 T cells,0.521666900071046,0.4052860937914759,0.6453141376828642
MultiMAP,Naive CD8 T cells,0.494769823143906,0.426215218182863,0.681204948772835
Seurat(CCA),CD14 Monocytes,0.8565883390279446,0.864603731127717,0.7954796506244868
Seurat(CCA),B cells,0.9195680168177314,0.9106348830749288,0.7504312136424212
Seurat(CCA),Memory T cells,0.5836035944283176,0.5933183582725374,0.6934556508115302
Seurat(CCA),NK/Effector T cells,0.8022300191330495,0.8268488717428351,0.7981923130532221
Seurat(CCA),CD16 Monocytes,0.7839305988875214,0.7353567850702694,0.8835121860954517
Seurat(CCA),Naive CD4 T cells,0.6380504053428946,0.7080507676482988,0.6184789021130254
Seurat(CCA),Naive CD8 T cells,0.7130252489192184,0.8315044528048958,0.5699628970319105
scDART,CD14 Monocytes,0.895967278522666,0.901249273453149,0.9184527872740176
scDART,B cells,0.9462261271549434,0.940762593579495,0.918120073483198
scDART,Memory T cells,0.7391280775908209,0.739199333362478,0.9581514641919878
scDART,NK/Effector T cells,0.8307432764761976,0.8341408169838652,0.9671004314227304
scDART,CD16 Monocytes,0.7139566139686356,0.6887648561060704,0.7001489626233016
scDART,Naive CD4 T cells,0.6829113319127383,0.6782316910122886,0.9664545562665272
scDART,Naive CD8 T cells,0.7180559576225805,0.7176379271064244,0.9434132813462002
scMoMaT,CD14 Monocytes,0.637407637520057,0.4980514169118719,0.8335320495583877
scMoMaT,B cells,0.6880196526941864,0.7615610471529771,0.8096233111652168
scMoMaT,Memory T cells,0.4529800599682782,0.4725811290099924,0.8478151392150317
scMoMaT,NK/Effector T cells,0.5898803282013954,0.6476635560901878,0.8327291597428148
scMoMaT,CD16 Monocytes,0.5718887012495508,0.3076411827002891,0.8171146675385118
scMoMaT,Naive CD4 T cells,0.5110733706259857,0.4840255796154536,0.7620851587334572
scMoMaT,Naive CD8 T cells,0.5767860611848753,0.5385110603076382,0.7803615896613216
simba,CD14 Monocytes,0.8811659591379493,0.8904182987744742,0.6924179446375569
simba,B cells,0.9658427555839052,0.9666918726873048,0.5805725605858432
simba,Memory T cells,0.6526123915640061,0.7222240830338068,0.6996541810470008
simba,NK/Effector T cells,0.8561786655023772,0.8857077930936738,0.7368228424163459
simba,CD16 Monocytes,0.814901775576991,0.7414457770017778,0.8109202337702164
simba,Naive CD4 T cells,0.6514490569324516,0.7116952611429039,0.650633170408396
simba,Naive CD8 T cells,0.7633654866174295,0.8272790303198585,0.6334825249185556
scglue,CD14 Monocytes,0.8454890421709856,0.850218268616181,0.9847317606058378
scglue,B cells,0.959728123631816,0.9606597461565104,0.9847180635095084
scglue,Memory T cells,0.6018265663306335,0.5932005755073633,0.9846155913373692
scglue,NK/Effector T cells,0.7653725334240224,0.7713082791983701,0.9893820760012794
scglue,CD16 Monocytes,0.7866371214217337,0.7636961769279942,0.9397711142372922
scglue,Naive CD4 T cells,0.6530207396056166,0.6523905630299174,0.983246712334334
scglue,Naive CD8 T cells,0.7768864365025242,0.7794187674589262,0.9666677843861056
Unioncom,CD14 Monocytes,0.4857556940021544,0.2235486294355227,0.7402807760688337
Unioncom,B cells,0.7206733665526965,0.4452156572255544,0.4567103716958391
Unioncom,Memory T cells,0.5745000425448759,0.6216844819599383,0.797046002122139
Unioncom,NK/Effector T cells,0.424793844880338,0.3250091998012312,0.6664358332179848
Unioncom,CD16 Monocytes,0.6704477901492528,0.2244319775596072,0.5082318927281945
Unioncom,Naive CD4 T cells,0.7259931803631934,0.6363691923785582,0.5265318591062341
Unioncom,Naive CD8 T cells,0.4944238547986905,0.3874036088010533,0.4970811049989012
Portal,CD14 Monocytes,0.8369523501675626,0.8220726814864627,0.9017126202872684
Portal,B cells,0.9595708574962476,0.9547090104950784,0.9310584165973614
Portal,Memory T cells,0.5819912505118141,0.5592788288423091,0.961009867772894
Portal,NK/Effector T cells,0.7977162639454398,0.8202073129511174,0.96250003679343
Portal,CD16 Monocytes,0.7508110153832454,0.7498449590214767,0.8787464314012156
Portal,Naive CD4 T cells,0.6076866354685524,0.5801557400886905,0.9425727180125864
Portal,Naive CD8 T cells,0.7390921361538161,0.7542723356019448,0.9391227828655592
scJoint,CD14 Monocytes,0.924065743996158,0.9581076131281162,0.9542171759759336
scJoint,B cells,0.9893511993150363,0.9886766096130388,0.9051229128875284
scJoint,Memory T cells,0.9277403468296896,0.9536093724637704,0.9510894042862904
scJoint,NK/Effector T cells,0.9424773130191574,0.9464171113189211,0.9102479194349856
scJoint,CD16 Monocytes,0.8290323534743491,0.6933559136604618,0.4748992357432334
scJoint,Naive CD4 T cells,0.6946118599027216,0.7001608050450479,0.7916934674151993
scJoint,Naive CD8 T cells,0.8342635463849947,0.8925650051795133,0.8796601762188815
scBridge,CD14 Monocytes,0.8940686704876195,0.9219139037582268,0.7602855662160432
scBridge,B cells,0.9369289350256232,0.9367466057606902,0.7093892273624942
scBridge,Memory T cells,0.7757154382873819,0.8151235518365526,0.7879565184891661
scBridge,NK/Effector T cells,0.93972403248709,0.9893046472517706,0.7404181598847608
scBridge,CD16 Monocytes,0.745656435552248,0.6743873575610702,0.4612638121371377
scBridge,Naive CD4 T cells,0.7461349515657449,0.5855566981120106,0.6062731234072715
scBridge,Naive CD8 T cells,0.8170397657954812,0.7796835436922581,0.6635888320325901
Cobolt,CD14 Monocytes,0.8975466418036717,0.9027020043894664,0.8803851150523243
Cobolt,B cells,0.9169689674447954,0.928443479642566,0.8071131628600164
Cobolt,Memory T cells,0.5187342430535664,0.5207927306735592,0.9283193062562136
Cobolt,NK/Effector T cells,0.7837663986240718,0.7989246640357137,0.8679744877249319
Cobolt,CD16 Monocytes,0.8001637550765981,0.7580361476053722,0.7927566200351195
Cobolt,Naive CD4 T cells,0.5924022116976093,0.5836359305222663,0.9552726841764372
Cobolt,Naive CD8 T cells,0.5930387625031721,0.5793966680753315,0.8812573932211785
scglue(multiome),CD14 Monocytes,0.8926770033268875,0.8958952992858658,0.958457691288193
scglue(multiome),B cells,0.983507803578226,0.9856769788440896,0.9630920733621608
scglue(multiome),Memory T cells,0.6385610154200008,0.6314257156813518,0.9460109910788776
scglue(multiome),NK/Effector T cells,0.7720344321084653,0.7737976744886024,0.9646388038558028
scglue(multiome),CD16 Monocytes,0.80916945740428,0.7976340269628188,0.9579865039419474
scglue(multiome),Naive CD4 T cells,0.7090052197595756,0.702190157516239,0.9348677113468984
scglue(multiome),Naive CD8 T cells,0.8332464677855635,0.8420698365948757,0.9280678047499024
scVI,CD14 Monocytes,0.8173457805326323,0.8386130325517354,0.9102698053394408
scVI,B cells,0.9720389498748844,0.9842244033146202,0.908729004163948
scVI,Memory T cells,0.6616319224891662,0.6771491057922124,0.9516917604803882
scVI,NK/Effector T cells,0.8862824707431329,0.911269632537278,0.9587251274353622
scVI,CD16 Monocytes,0.8516454379788381,0.8407299488285263,0.8824405508732659
scVI,Naive CD4 T cells,0.6479975032644083,0.6416117790244444,0.9555172817769304
scVI,Naive CD8 T cells,0.7386288293944114,0.7741793096881053,0.8921870250434301
Seurat(WNN),CD14 Monocytes,0.798635196460705,0.7860617952630905,0.5839255708242823
Seurat(WNN),B cells,0.8313471732105153,0.8976707579296084,0.5519435940365702
Seurat(WNN),Memory T cells,0.4710946269062621,0.4330059389061098,0.494623501514906
Seurat(WNN),NK/Effector T cells,0.5444668399492907,0.6454556902860824,0.4507092153524405
Seurat(WNN),CD16 Monocytes,0.6011208429140706,0.6068289905957708,0.4081158312791182
Seurat(WNN),Naive CD4 T cells,0.4806548279817856,0.4331799807599971,0.3370441098906772
Seurat(WNN),Naive CD8 T cells,0.4849775125343203,0.439664582656335,0.3071522801431474
MinNet,CD14 Monocytes,0.8917754057224414,0.8863548180039054,0.6781427238676171
MinNet,B cells,0.9346997168466524,0.9399010163570498,0.8070178856511397
MinNet,Memory T cells,0.6146493126554664,0.6239141833997204,0.8090410910066633
MinNet,NK/Effector T cells,0.8800540957538147,0.9012849219092272,0.8631423580595727
MinNet,CD16 Monocytes,0.7195846173906683,0.7411176943895837,0.6980991476921435
MinNet,Naive CD4 T cells,0.6351489428977406,0.6169706199594412,0.7800358980405523
MinNet,Naive CD8 T cells,0.6997608750071831,0.6899524022567116,0.7332740373927095
MaxFuse,CD14 Monocytes,0.5252851163408949,0.4954582639272974,0.93550563247768
MaxFuse,B cells,0.7334362722067328,0.8343139675648241,0.6483843222041604
MaxFuse,Memory T cells,0.6950508880156808,0.7351116292729156,0.7336437537495754
MaxFuse,NK/Effector T cells,0.8328865620397577,0.879396573764531,0.7425601731167959
MaxFuse,CD16 Monocytes,0.6458349791529514,0.6291075682259814,0.9280729097689872
MaxFuse,Naive CD4 T cells,0.6875113449166966,0.7392643083797215,0.724287196035983
MaxFuse,Naive CD8 T cells,0.7998994896005444,0.8179338643287916,0.7377995773456125
Multigrate,CD14 Monocytes,0.9161884384366092,0.9223775293102604,0.5611527345206612
