"method","ks_celltype_mean","asw","ks.statistic","omics_asw","ari","ami","ks_inter_celltype_mean","average_accu","peakdist_adj","score","Rank"
"scglue(multiome)",0.81,0.61,0.59,0.95,0.79,0.82,0.8,0.93,0.94,0.77,1
"scglue",0.77,0.57,0.44,0.98,0.67,0.76,0.77,0.91,0.93,0.73,2
"scVI",0.8,0.63,0.34,0.92,0.72,0.76,0.81,0.94,0.93,0.72,3
"scDART",0.79,0.64,0.42,0.91,0.7,0.71,0.79,0.84,0.9,0.72,4
"Seurat(CCA)",0.76,0.63,0.39,0.73,0.8,0.78,0.78,0.88,0.87,0.69,5
"Portal",0.75,0.56,0.28,0.93,0.76,0.74,0.75,0.88,0.9,0.69,6
"scButterfly",0.84,0.68,0.21,0.71,0.8,0.82,0.83,0.83,0.89,0.69,7
"scJoint",0.88,0.69,0.17,0.84,0.54,0.7,0.88,0.77,0.65,0.67,8
"MIDAS",0.52,0.54,0.56,0.97,0.7,0.67,0.53,0.87,0.91,0.67,9
"simba",0.8,0.6,0.28,0.69,0.69,0.71,0.82,0.83,0.89,0.66,10
"BindSC",0.64,0.58,0.27,0.93,0.51,0.62,0.65,0.86,0.9,0.63,11
"MaxFuse",0.7,0.53,0.21,0.78,0.72,0.71,0.73,0.87,0.91,0.63,12
"scBridge",0.82,0.69,0.19,0.7,0.53,0.65,0.8,0.71,0.55,0.62,13
"MinNet",0.77,0.58,0.13,0.77,0.55,0.72,0.77,0.79,0.87,0.62,14
"Cobolt",0.73,0.59,0.22,0.87,0.37,0.55,0.72,0.65,0.81,0.61,15
"LIGER",0.67,0.51,0.39,0.63,0.46,0.6,0.62,0.69,0.83,0.58,16
"MIRA",0.75,0.58,0.03,0.81,0.51,0.64,0.76,0.62,0.59,0.57,17
"Conos",0.78,0.62,0.11,0.5,0.56,0.67,0.72,0.67,0.49,0.55,18
"Multigrate",0.79,0.56,0,0.51,0.71,0.82,0.71,0.62,0.6,0.54,19
"scMoMaT",0.58,0.55,0.04,0.81,0.38,0.56,0.53,0.74,0.85,0.53,20
"Seurat(WNN)",0.6,0.6,0.35,0.45,0.4,0.48,0.61,0.39,0.6,0.5,21
"MultiMAP",0.52,0.59,0.27,0.73,0.35,0.5,0.46,0.32,0.5,0.5,22
"Unioncom",0.59,0.54,0.01,0.6,0.35,0.46,0.41,0.27,0.27,0.41,23
