"method","peakdist_adj"
"BindSC",0.898347014905009
"Cobolt",0.811014448362283
"Conos",0.509242662481051
"LIGER",0.82866261082368
"MIDAS",0.914433840302884
"MIRA",0.588505351087321
"MaxFuse",0.911516410417012
"MinNet",0.872159005140177
"MultiMAP",0.507287935396077
"Multigrate",0.604573996012609
"Portal",0.900279583063094
"Seurat(CCA)",0.86618029879105
"Seurat(WNN)",0.607432548591857
"Unioncom",0.285564168450961
"scBridge",0.534004084928502
"scButterfly",0.885147809726676
"scDART",0.902716436802875
"scJoint",0.65201857698249
"scMoMaT",0.851980348049582
"scVI",0.930299483498576
"scglue",0.925480308864674
"scglue(multiome)",0.938583905814934
"simba",0.89037065598753
