method,asw,asw_random,omics_asw,ami,ari,ks.statistic
BindSC,0.5769378211772543,0.4938456986356273,0.927161414813887,0.616268387274683,0.5078804718198386,0.2700849118223383
LIGER,0.5106708366317271,0.477010809837707,0.6326387304764696,0.5998790220017359,0.4648897108003908,0.3925538863487916
MultiMAP,0.5938154025968787,0.4740526379043059,0.7271253752769377,0.5008965339219287,0.3453994424090962,0.2726975832789027
Seurat(CCA),0.6274652968126624,0.4803544905422702,0.7299304019102925,0.781527498304314,0.7959315477220983,0.3899412148922273
scDART,0.6743116615678282,0.4768259433251925,0.9102630795154232,0.7111933823655124,0.701856692892828,0.4555845852384063
scMoMaT,0.548485376102719,0.4909615277596288,0.8118944393735346,0.5614367338258079,0.3809986245349661,0.0359242325277596
simba,0.6034860863814373,0.4898723564867667,0.6863576368262735,0.7061621432087695,0.6875253578349367,0.2749836708033965
scglue,0.5736826736992151,0.4887645161867641,0.9761618717731038,0.7645955208945812,0.6746860401825019,0.442194644023514
Unioncom,0.5357922247634443,0.4797407294370099,0.5989025485625896,0.4574241165195164,0.3509321144630261,0.0146962769431743
Portal,0.5561041044098283,0.4796429169668686,0.9309604105329022,0.7418167750667204,0.7601032737263642,0.2811887655127367
scJoint,0.6932555807288515,0.4873535640372993,0.8381328988517218,0.7009538494790122,0.5387204711729018,0.1688438928804702
scBridge,0.7290282703947142,0.4862481798129083,0.6755964627899235,0.6777571002705169,0.6329828840799998,0.1884389288047028
Cobolt,0.5921331943199625,0.4732465490698701,0.8732969670466032,0.5486793463571156,0.3697039463208606,0.3177661659046374
scglue(multiome),0.6051083591295663,0.4867881830704154,0.9504459399462548,0.8184771477302093,0.7854620155459785,0.5862181580666231
scVI,0.6304121997985477,0.4872421757340157,0.9227943650161092,0.7623165840317682,0.7240827270195416,0.3399738732854344
Seurat(WNN),0.6004901513238121,0.4781415304941638,0.4476448718630202,0.4767223768483485,0.398781453258025,0.3458523840627041
MinNet,0.5838234531980213,0.4841944126790909,0.7669647345300568,0.7152945604712748,0.5544641818922484,0.1286740692357936
MaxFuse,0.5277587885830213,0.4830386633087952,0.7786076520998277,0.7143968751204702,0.7157266976564522,0.2112998040496407
Multigrate,0.5569086631404968,0.4840112580138632,0.5078987307760594,0.8221519233357799,0.7095866762708585,0.0
MIDAS,0.5437964531977202,0.4939708732687212,0.9684196730202554,0.6654004005774689,0.7001894081904186,0.5591116917047682
scButterfly,0.6763698682647834,0.4778922065982608,0.7134823089259669,0.8217243711086811,0.8046313018324597,0.2093403004572175
Conos,0.6184232140954493,0.4712739466419727,0.499057231542916,0.6721468132657864,0.5569387140535359,0.1104831391339068
MIRA,0.5751303325850873,0.47363068193622887,0.8061022997828893,0.6430683838472719,0.5059541328852553,0.026453298497713912
