"method","Omics gap reduction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"scglue(multiome)",0.77,0.71,0.846666666666667,0.775555555555556,"pbmc3k"
"scglue",0.71,0.67,0.801666666666667,0.727222222222222,"pbmc3k"
"scVI",0.63,0.715,0.828333333333333,0.724444444444445,"pbmc3k"
"scDART",0.665,0.715,0.788333333333333,0.722777777777778,"pbmc3k"
"Seurat(CCA)",0.56,0.695,0.815,0.69,"pbmc3k"
"Portal",0.605,0.655,0.796666666666667,0.685555555555556,"pbmc3k"
"scButterfly",0.46,0.76,0.833333333333333,0.684444444444444,"pbmc3k"
"scJoint",0.505,0.785,0.736666666666667,0.675555555555556,"pbmc3k"
"MIDAS",0.765,0.53,0.701666666666667,0.665555555555556,"pbmc3k"
"simba",0.485,0.7,0.793333333333333,0.659444444444444,"pbmc3k"
"BindSC",0.6,0.61,0.698333333333333,0.636111111111111,"pbmc3k"
"MaxFuse",0.495,0.615,0.778333333333333,0.629444444444444,"pbmc3k"
"scBridge",0.445,0.755,0.673333333333333,0.624444444444444,"pbmc3k"
"MinNet",0.45,0.675,0.745,0.623333333333333,"pbmc3k"
"Cobolt",0.545,0.66,0.636666666666667,0.613888888888889,"pbmc3k"
"LIGER",0.51,0.59,0.636666666666667,0.578888888888889,"pbmc3k"
"MIRA",0.42,0.665,0.646666666666667,0.577222222222222,"pbmc3k"
"Conos",0.305,0.7,0.638333333333333,0.547777777777778,"pbmc3k"
"Multigrate",0.255,0.675,0.695,0.541666666666667,"pbmc3k"
"scMoMaT",0.425,0.565,0.598333333333333,0.529444444444444,"pbmc3k"
"Seurat(WNN)",0.4,0.6,0.515,0.505,"pbmc3k"
"MultiMAP",0.5,0.555,0.431666666666667,0.495555555555556,"pbmc3k"
"Unioncom",0.305,0.565,0.361666666666667,0.410555555555556,"pbmc3k"
