Method,Pair,NMI
scDART,scDART-1 vs scDART-2,0.7877189611052633
scDART,scDART-1 vs scDART-3,0.7104366765094067
scDART,scDART-2 vs scDART-3,0.797342968200626
Seurat(CCA),Seurat(CCA)-1 vs Seurat(CCA)-2,1.0
Seurat(CCA),Seurat(CCA)-1 vs Seurat(CCA)-3,1.0
Seurat(CCA),Seurat(CCA)-2 vs Seurat(CCA)-3,1.0
BindSC,BindSC-1 vs BindSC-2,0.8783279965063199
BindSC,BindSC-1 vs BindSC-3,0.8783279965063199
BindSC,BindSC-2 vs BindSC-3,1.0
scBridge,scBridge-1 vs scBridge-2,1.0
scBridge,scBridge-1 vs scBridge-3,0.8749954132311764
scBridge,scBridge-2 vs scBridge-3,0.8749954132311764
scglue,scglue-1 vs scglue-2,0.8417896007895248
scglue,scglue-1 vs scglue-3,0.872456505023851
scglue,scglue-2 vs scglue-3,0.850805422551369
scglue(multiome),scglue(multiome)-1 vs scglue(multiome)-2,0.8576779802218104
scglue(multiome),scglue(multiome)-1 vs scglue(multiome)-3,0.8754203546584763
scglue(multiome),scglue(multiome)-2 vs scglue(multiome)-3,0.8401107298191376
scJoint,scJoint-1 vs scJoint-2,0.9161213425948933
scJoint,scJoint-1 vs scJoint-3,0.9200589165549441
scJoint,scJoint-2 vs scJoint-3,0.9177546571178039
scVI,scVI-1 vs scVI-2,0.846064905128532
scVI,scVI-1 vs scVI-3,0.8355232559221342
scVI,scVI-2 vs scVI-3,0.8358927824066187
Cobolt,Cobolt-1 vs Cobolt-2,0.7031375540575608
Cobolt,Cobolt-1 vs Cobolt-3,0.7213165010354968
Cobolt,Cobolt-2 vs Cobolt-3,0.7643728089214976
simba,simba-1 vs simba-2,0.84754334634369
simba,simba-1 vs simba-3,0.8783850317388223
simba,simba-2 vs simba-3,0.8896777595664881
Portal,Portal-1 vs Portal-2,0.8628281316377605
Portal,Portal-1 vs Portal-3,0.8872219148151537
Portal,Portal-2 vs Portal-3,0.8879667573392214
MaxFuse,MaxFuse-1 vs MaxFuse-2,0.8997771007392933
MaxFuse,MaxFuse-1 vs MaxFuse-3,0.8931244677100508
MaxFuse,MaxFuse-2 vs MaxFuse-3,0.9176345815579862
MIDAS,MIDAS-1 vs MIDAS-2,0.7670844676669193
MIDAS,MIDAS-1 vs MIDAS-3,0.7932725890043268
MIDAS,MIDAS-2 vs MIDAS-3,0.7422152267761389
scButterfly,scButterfly-1 vs scButterfly-2,0.872705040099887
scButterfly,scButterfly-1 vs scButterfly-3,0.9008332285870639
scButterfly,scButterfly-2 vs scButterfly-3,0.8484121354349503
