Method,CellType,Std
scDART,CD14 Monocytes,0.008191649964415536
scDART,Memory T cells,0.0048789890966689725
scDART,Naive CD4 T cells,0.01565242392589408
scDART,Naive CD8 T cells,0.0123424904271738
scDART,NK/Effector T cells,0.006274725949816552
scDART,B cells,0.12642244266566643
scDART,CD16 Monocytes,0.024201968382799248
Seurat(CCA),CD14 Monocytes,0.0
Seurat(CCA),Memory T cells,4.956352788505163e-19
Seurat(CCA),Naive CD4 T cells,1.586032892321652e-17
Seurat(CCA),Naive CD8 T cells,0.0
Seurat(CCA),NK/Effector T cells,0.0
Seurat(CCA),B cells,0.0
Seurat(CCA),CD16 Monocytes,0.0
BindSC,CD14 Monocytes,0.0009976815254836686
BindSC,Memory T cells,0.0008745909476642487
BindSC,Naive CD4 T cells,0.001202562553038352
BindSC,Naive CD8 T cells,0.0012300183190894498
BindSC,NK/Effector T cells,0.0008470880876748108
BindSC,B cells,0.001213396449912567
BindSC,CD16 Monocytes,0.0025654667798151406
scBridge,CD14 Monocytes,0.008314012712363875
scBridge,Memory T cells,0.006559432107481887
scBridge,Naive CD4 T cells,0.018639719572094367
scBridge,Naive CD8 T cells,0.011070164871805049
scBridge,NK/Effector T cells,0.003388352350699239
scBridge,B cells,0.004853585799650278
scBridge,CD16 Monocytes,0.04361293525685735
scglue,CD14 Monocytes,0.001759744802715554
scglue,Memory T cells,0.0023775926150786755
scglue,Naive CD4 T cells,0.0028809116731023316
scglue,Naive CD8 T cells,0.0028253911229340622
scglue,NK/Effector T cells,0.0014671996063391301
scglue,B cells,0.0
scglue,CD16 Monocytes,0.010181380644282834
scglue(multiome),CD14 Monocytes,0.0011520233946070194
scglue(multiome),Memory T cells,0.0037042150897281345
scglue(multiome),Naive CD4 T cells,0.004778085333540833
scglue(multiome),Naive CD8 T cells,0.004643217330737685
scglue(multiome),NK/Effector T cells,0.0016941761753496195
scglue(multiome),B cells,0.0
scglue(multiome),CD16 Monocytes,0.0012827333899075681
scJoint,CD14 Monocytes,0.0003325605084945602
scJoint,Memory T cells,0.005263278398369114
scJoint,Naive CD4 T cells,0.013027957350183266
scJoint,Naive CD8 T cells,0.004170404410793348
scJoint,NK/Effector T cells,0.009618572648432381
scJoint,B cells,0.002426792899825132
scJoint,CD16 Monocytes,0.0012827333899075694
scVI,CD14 Monocytes,0.0033402389928640164
scVI,Memory T cells,0.005827077392803169
scVI,Naive CD4 T cells,0.005218721150168969
scVI,Naive CD8 T cells,0.014962358987370425
scVI,NK/Effector T cells,0.0008470880876748098
scVI,B cells,0.0
scVI,CD16 Monocytes,0.008040493969273838
Cobolt,CD14 Monocytes,0.0031739587386167317
Cobolt,Memory T cells,0.021205422059931558
Cobolt,Naive CD4 T cells,0.022291366772983077
Cobolt,Naive CD8 T cells,0.04545117291651355
Cobolt,NK/Effector T cells,0.007052178410640468
Cobolt,B cells,0.0022642286003987004
Cobolt,CD16 Monocytes,0.020159737660673808
simba,CD14 Monocytes,0.0003325605084945546
simba,Memory T cells,0.002187494136806159
simba,Naive CD4 T cells,0.007245229860081611
simba,Naive CD8 T cells,0.0038900564174029445
simba,NK/Effector T cells,0.0012706321315122146
simba,B cells,0.0028709268253549847
simba,CD16 Monocytes,0.004877947284845878
Portal,CD14 Monocytes,0.006432134776321911
Portal,Memory T cells,0.008058238864299749
Portal,Naive CD4 T cells,0.013013577442652682
Portal,Naive CD8 T cells,0.005089149883320108
Portal,NK/Effector T cells,0.006012695804045338
Portal,B cells,0.0012133964499125814
Portal,CD16 Monocytes,0.06557149599005982
MaxFuse,CD14 Monocytes,0.01034211090467914
MaxFuse,Memory T cells,0.010054917549801434
MaxFuse,Naive CD4 T cells,0.006939506575642809
MaxFuse,Naive CD8 T cells,0.004462130975572917
MaxFuse,NK/Effector T cells,0.004907700535534824
MaxFuse,B cells,0.009444935005466655
MaxFuse,CD16 Monocytes,0.011734543100920354
MIDAS,CD14 Monocytes,0.0015449934183468853
MIDAS,Memory T cells,0.008953037354843815
MIDAS,Naive CD4 T cells,0.006456752545290442
MIDAS,Naive CD8 T cells,0.000615009159544725
MIDAS,NK/Effector T cells,0.009066509309537377
MIDAS,B cells,0.005526931599939762
MIDAS,CD16 Monocytes,0.0019241000848613532
scButterfly,CD14 Monocytes,0.0005760116973035065
scButterfly,Memory T cells,0.00999269696056558
scButterfly,Naive CD4 T cells,0.015015941554404407
scButterfly,Naive CD8 T cells,0.044280659487220195
scButterfly,NK/Effector T cells,0.00437842978982972
scButterfly,B cells,0.0018200946748688496
scButterfly,CD16 Monocytes,0.012239454466757237
