pipeline,B cells,CD14 Monocytes,CD16 Monocytes,Memory T cells,NK/Effector T cells,Naive CD4 T cells,Naive CD8 T cells,overall,accu_average,k value
BindSC,0.9369369369369368,0.8814814814814815,0.7333333333333333,0.935064935064935,0.949685534591195,0.7455357142857143,0.8812785388127854,0.8732854343566296,0.08399849827322504,5
Cobolt,0.981981981981982,0.9333333333333332,0.4857142857142857,0.5811688311688312,0.9308176100628932,0.5267857142857143,0.3789954337899543,0.6962769431743958,0.23280261439152328,5
Conos,0.9818181818181818,0.9901234567901236,0.0285714285714285,0.935064935064935,0.9056603773584906,0.8839285714285714,0.1187214611872146,0.7633986928104575,0.3933783748713262,5
LIGER,0.981981981981982,0.9679012345679012,0.4095238095238095,0.7532467532467533,0.9685534591194968,0.46875,0.5388127853881278,0.7531025473546702,0.23451615717334193,5
MinNet,1.0,0.9506172839506172,0.4571428571428571,0.8733766233766234,0.9371069182389936,0.4642857142857143,0.8310502283105022,0.8151534944480732,0.21281121578607165,5
MultiMAP,0.3333333333333333,0.8024691358024691,0.1142857142857142,0.6818181818181818,0.4716981132075472,0.1428571428571428,0.1917808219178082,0.4787720444154147,0.25115545225312547,5
Portal,0.981981981981982,0.9382716049382716,0.7714285714285715,0.8181818181818182,0.981132075471698,0.7723214285714286,0.9178082191780822,0.8830829523187459,0.08667939589760476,5
Seurat(CCA),0.927927927927928,0.9185185185185184,0.7333333333333333,0.827922077922078,0.9308176100628932,0.9553571428571428,0.9360730593607306,0.8974526453298498,0.07436426399827313,5
Seurat(WNN),0.6486486486486487,0.7555555555555555,0.2476190476190476,0.538961038961039,0.6226415094339622,0.25,0.1506849315068493,0.4951012410189419,0.22055288678023566,5
Unioncom,0.4054054054054054,0.4740740740740741,0.0,0.8733766233766234,0.1383647798742138,0.2142857142857142,0.3150684931506849,0.4212932723709993,0.261640860528523,5
scBridge,0.927927927927928,0.945679012345679,0.0095238095238095,0.7694805194805194,0.949685534591195,0.6071428571428571,0.8949771689497716,0.7883736120182887,0.31552816906251063,5
scDART,0.945945945945946,0.980246913580247,0.5238095238095238,0.8538961038961039,0.9119496855345912,0.7767857142857143,0.863013698630137,0.8674069235793599,0.14176488213531527,5
scJoint,0.990990990990991,0.9975308641975308,0.019047619047619,0.974025974025974,0.949685534591195,0.7053571428571429,0.8538812785388128,0.8569562377531026,0.32693852587671685,5
scMoMaT,0.9369369369369368,0.8765432098765432,0.2285714285714285,0.814935064935065,0.8301886792452831,0.8660714285714286,0.7579908675799086,0.8007838014369693,0.22248398147630102,5
scVI,1.0,0.9555555555555556,0.8476190476190476,0.9675324675324676,0.9937106918238994,0.875,0.954337899543379,0.94578706727629,0.05401406568449589,5
scglue,1.0,0.982716049382716,0.6952380952380952,0.8993506493506493,0.9874213836477987,0.8303571428571429,0.9771689497716894,0.9248856956237752,0.1045204742231503,5
scglue(multiome),1.0,0.9703703703703704,0.8095238095238095,0.9025974025974026,0.9685534591194968,0.9151785714285714,0.9726027397260274,0.9399085564990204,0.05999703639543902,5
simba,0.963963963963964,0.9308641975308642,0.5619047619047619,0.8896103896103896,0.9245283018867924,0.7767857142857143,0.8812785388127854,0.8693664271717831,0.1286881134084521,5
BindSC,0.9369369369369368,0.9111111111111112,0.6952380952380952,0.948051948051948,0.9371069182389936,0.7991071428571429,0.8812785388127854,0.8876551273677336,0.08652843597188936,10
Cobolt,0.981981981981982,0.9234567901234568,0.5333333333333333,0.5876623376623377,0.9308176100628932,0.59375,0.3150684931506849,0.6988896146309601,0.23373304115452778,10
Conos,0.9818181818181818,0.9901234567901236,0.0285714285714285,0.9318181818181818,0.9182389937106918,0.8928571428571429,0.1187214611872146,0.765359477124183,0.3947243715588283,10
LIGER,0.981981981981982,0.9703703703703704,0.4095238095238095,0.7662337662337663,0.981132075471698,0.4241071428571428,0.5525114155251142,0.7531025473546702,0.24300129953662736,10
MinNet,1.0,0.9481481481481482,0.5047619047619047,0.8961038961038961,0.949685534591195,0.5044642857142857,0.8767123287671232,0.8360548661005879,0.19750942427111082,10
MultiMAP,0.3513513513513513,0.8074074074074075,0.1238095238095238,0.6818181818181818,0.4654088050314465,0.1294642857142857,0.1917808219178082,0.4794252122795558,0.2520008018734801,10
Portal,0.972972972972973,0.9308641975308642,0.7714285714285715,0.8311688311688312,1.0,0.8303571428571429,0.9452054794520548,0.8974526453298498,0.0796360994110074,10
Seurat(CCA),0.927927927927928,0.928395061728395,0.7333333333333333,0.814935064935065,0.9371069182389936,0.9598214285714286,0.9406392694063926,0.8994121489222731,0.07812920292250028,10
