pipeline,accuracy,type,k value
MaxFuse,0.8928804702808621,overall,5
MaxFuse,0.9279279279279279,B cells,5
MaxFuse,0.8888888888888888,CD14 Monocytes,5
MaxFuse,0.6666666666666666,CD16 Monocytes,5
MaxFuse,0.935064935064935,Memory T cells,5
MaxFuse,0.9308176100628931,NK/Effector T cells,5
MaxFuse,0.9285714285714286,Naive CD4 T cells,5
MaxFuse,0.867579908675799,Naive CD8 T cells,5
MaxFuse,0.8987589810581319,overall,10
MaxFuse,0.9279279279279279,B cells,10
MaxFuse,0.8938271604938272,CD14 Monocytes,10
MaxFuse,0.7047619047619048,CD16 Monocytes,10
MaxFuse,0.9383116883116883,Memory T cells,10
MaxFuse,0.9371069182389937,NK/Effector T cells,10
MaxFuse,0.9464285714285714,Naive CD4 T cells,10
MaxFuse,0.8538812785388128,Naive CD8 T cells,10
MaxFuse,0.8974526453298498,overall,20
MaxFuse,0.9279279279279279,B cells,20
MaxFuse,0.9061728395061729,CD14 Monocytes,20
MaxFuse,0.6761904761904762,CD16 Monocytes,20
MaxFuse,0.922077922077922,Memory T cells,20
MaxFuse,0.9433962264150944,NK/Effector T cells,20
MaxFuse,0.9419642857142857,Naive CD4 T cells,20
MaxFuse,0.8584474885844748,Naive CD8 T cells,20
MaxFuse,0.8909209666884389,overall,40
MaxFuse,0.9279279279279279,B cells,40
MaxFuse,0.9061728395061729,CD14 Monocytes,40
MaxFuse,0.638095238095238,CD16 Monocytes,40
MaxFuse,0.9058441558441559,Memory T cells,40
MaxFuse,0.9371069182389937,NK/Effector T cells,40
MaxFuse,0.9419642857142857,Naive CD4 T cells,40
MaxFuse,0.8584474885844748,Naive CD8 T cells,40
MaxFuse,0.8843892880470281,overall,80
MaxFuse,0.9279279279279279,B cells,80
MaxFuse,0.9111111111111111,CD14 Monocytes,80
MaxFuse,0.6190476190476191,CD16 Monocytes,80
MaxFuse,0.8928571428571429,Memory T cells,80
MaxFuse,0.9308176100628931,NK/Effector T cells,80
MaxFuse,0.9196428571428571,Naive CD4 T cells,80
MaxFuse,0.8584474885844748,Naive CD8 T cells,80
MIDAS,0.8883082952318746,overall,5
MIDAS,0.963963963963964,B cells,5
MIDAS,0.9604938271604938,CD14 Monocytes,5
MIDAS,0.7238095238095238,CD16 Monocytes,5
MIDAS,0.7987012987012987,Memory T cells,5
MIDAS,0.9245283018867925,NK/Effector T cells,5
MIDAS,0.8839285714285714,Naive CD4 T cells,5
MIDAS,0.8995433789954338,Naive CD8 T cells,5
MIDAS,0.8987589810581319,overall,10
MIDAS,0.963963963963964,B cells,10
MIDAS,0.9728395061728395,CD14 Monocytes,10
MIDAS,0.7238095238095238,CD16 Monocytes,10
MIDAS,0.7954545454545454,Memory T cells,10
MIDAS,0.9308176100628931,NK/Effector T cells,10
MIDAS,0.90625,Naive CD4 T cells,10
MIDAS,0.9269406392694064,Naive CD8 T cells,10
MIDAS,0.8994121489222731,overall,20
MIDAS,0.963963963963964,B cells,20
MIDAS,0.980246913580247,CD14 Monocytes,20
MIDAS,0.7047619047619048,CD16 Monocytes,20
MIDAS,0.8116883116883117,Memory T cells,20
MIDAS,0.9371069182389937,NK/Effector T cells,20
MIDAS,0.8928571428571429,Naive CD4 T cells,20
MIDAS,0.91324200913242,Naive CD8 T cells,20
MIDAS,0.9033311561071196,overall,40
MIDAS,0.972972972972973,B cells,40
MIDAS,0.9827160493827161,CD14 Monocytes,40
MIDAS,0.6571428571428571,CD16 Monocytes,40
MIDAS,0.8311688311688312,Memory T cells,40
MIDAS,0.949685534591195,NK/Effector T cells,40
MIDAS,0.8928571428571429,Naive CD4 T cells,40
MIDAS,0.9178082191780822,Naive CD8 T cells,40
MIDAS,0.9072501632919661,overall,80
MIDAS,0.963963963963964,B cells,80
MIDAS,0.9876543209876543,CD14 Monocytes,80
MIDAS,0.6285714285714286,CD16 Monocytes,80
MIDAS,0.8311688311688312,Memory T cells,80
MIDAS,0.9622641509433962,NK/Effector T cells,80
MIDAS,0.90625,Naive CD4 T cells,80
MIDAS,0.9315068493150684,Naive CD8 T cells,80
scButterfly,0.8700195950359242,overall,5
scButterfly,0.990990990990991,B cells,5
scButterfly,0.9925925925925926,CD14 Monocytes,5
scButterfly,0.44761904761904764,CD16 Monocytes,5
scButterfly,0.9025974025974026,Memory T cells,5
scButterfly,0.9685534591194969,NK/Effector T cells,5
scButterfly,0.7053571428571429,Naive CD4 T cells,5
scButterfly,0.8356164383561644,Naive CD8 T cells,5
scButterfly,0.8772044415414761,overall,10
scButterfly,0.990990990990991,B cells,10
scButterfly,0.9901234567901235,CD14 Monocytes,10
scButterfly,0.45714285714285713,CD16 Monocytes,10
scButterfly,0.8961038961038961,Memory T cells,10
scButterfly,0.9622641509433962,NK/Effector T cells,10
scButterfly,0.78125,Naive CD4 T cells,10
scButterfly,0.821917808219178,Naive CD8 T cells,10
scButterfly,0.8922273024167211,overall,20
scButterfly,0.990990990990991,B cells,20
scButterfly,0.9901234567901235,CD14 Monocytes,20
scButterfly,0.5047619047619047,CD16 Monocytes,20
scButterfly,0.8928571428571429,Memory T cells,20
scButterfly,0.9559748427672956,NK/Effector T cells,20
scButterfly,0.8526785714285714,Naive CD4 T cells,20
scButterfly,0.8401826484018264,Naive CD8 T cells,20
scButterfly,0.8883082952318746,overall,40
scButterfly,1.0,B cells,40
scButterfly,0.9901234567901235,CD14 Monocytes,40
scButterfly,0.49523809523809526,CD16 Monocytes,40
scButterfly,0.8701298701298701,Memory T cells,40
scButterfly,0.9622641509433962,NK/Effector T cells,40
scButterfly,0.8571428571428571,Naive CD4 T cells,40
scButterfly,0.8356164383561644,Naive CD8 T cells,40
scButterfly,0.8732854343566296,overall,80
scButterfly,1.0,B cells,80
scButterfly,0.9901234567901235,CD14 Monocytes,80
scButterfly,0.3333333333333333,CD16 Monocytes,80
scButterfly,0.8538961038961039,Memory T cells,80
scButterfly,0.9622641509433962,NK/Effector T cells,80
scButterfly,0.8660714285714286,Naive CD4 T cells,80
scButterfly,0.821917808219178,Naive CD8 T cells,80
MIRA,0.7165251469627695,overall,5
MIRA,1.0,B cells,5
MIRA,0.9901234567901235,CD14 Monocytes,5
MIRA,0.01904761904761905,CD16 Monocytes,5
MIRA,0.8993506493506493,Memory T cells,5
MIRA,0.9056603773584906,NK/Effector T cells,5
MIRA,0.2857142857142857,Naive CD4 T cells,5
MIRA,0.4474885844748858,Naive CD8 T cells,5
MIRA,0.7263226649248857,overall,10
MIRA,1.0,B cells,10
MIRA,0.9901234567901235,CD14 Monocytes,10
MIRA,0.009523809523809525,CD16 Monocytes,10
MIRA,0.9123376623376623,Memory T cells,10
MIRA,0.9182389937106918,NK/Effector T cells,10
MIRA,0.29910714285714285,Naive CD4 T cells,10
MIRA,0.4794520547945205,Naive CD8 T cells,10
MIRA,0.7335075114304376,overall,20
MIRA,1.0,B cells,20
MIRA,0.9925925925925926,CD14 Monocytes,20
MIRA,0.009523809523809525,CD16 Monocytes,20
MIRA,0.9058441558441559,Memory T cells,20
MIRA,0.9245283018867925,NK/Effector T cells,20
MIRA,0.33482142857142855,Naive CD4 T cells,20
MIRA,0.4931506849315068,Naive CD8 T cells,20
MIRA,0.7295885042455911,overall,40
MIRA,1.0,B cells,40
MIRA,0.9925925925925926,CD14 Monocytes,40
MIRA,0.009523809523809525,CD16 Monocytes,40
MIRA,0.8863636363636364,Memory T cells,40
MIRA,0.9371069182389937,NK/Effector T cells,40
MIRA,0.33482142857142855,Naive CD4 T cells,40
MIRA,0.4840182648401826,Naive CD8 T cells,40
MIRA,0.7400391900718485,overall,80
MIRA,1.0,B cells,80
MIRA,0.9925925925925926,CD14 Monocytes,80
MIRA,0.0,CD16 Monocytes,80
MIRA,0.8603896103896104,Memory T cells,80
MIRA,0.949685534591195,NK/Effector T cells,80
MIRA,0.3705357142857143,Naive CD4 T cells,80
MIRA,0.5525114155251142,Naive CD8 T cells,80
Multigrate,0.72893533638145,overall,5
Multigrate,0.6936936936936937,B cells,5
Multigrate,0.9925925925925926,CD14 Monocytes,5
Multigrate,0.047619047619047616,CD16 Monocytes,5
Multigrate,0.7824675324675324,Memory T cells,5
Multigrate,0.8113207547169812,NK/Effector T cells,5
Multigrate,0.5580357142857143,Naive CD4 T cells,5
Multigrate,0.6255707762557078,Naive CD8 T cells,5
Multigrate,0.7387328543435663,overall,10
Multigrate,0.6846846846846847,B cells,10
Multigrate,0.9950617283950617,CD14 Monocytes,10
Multigrate,0.047619047619047616,CD16 Monocytes,10
Multigrate,0.7792207792207793,Memory T cells,10
Multigrate,0.8930817610062893,NK/Effector T cells,10
Multigrate,0.5535714285714286,Naive CD4 T cells,10
Multigrate,0.6438356164383562,Naive CD8 T cells,10
Multigrate,0.7348138471587198,overall,20
Multigrate,0.7117117117117117,B cells,20
Multigrate,0.9950617283950617,CD14 Monocytes,20
Multigrate,0.047619047619047616,CD16 Monocytes,20
Multigrate,0.762987012987013,Memory T cells,20
Multigrate,0.9182389937106918,NK/Effector T cells,20
Multigrate,0.5535714285714286,Naive CD4 T cells,20
Multigrate,0.6073059360730594,Naive CD8 T cells,20
Multigrate,0.720444154147616,overall,40
Multigrate,0.7657657657657657,B cells,40
Multigrate,0.9950617283950617,CD14 Monocytes,40
Multigrate,0.01904761904761905,CD16 Monocytes,40
Multigrate,0.7597402597402597,Memory T cells,40
Multigrate,0.9433962264150944,NK/Effector T cells,40
Multigrate,0.5267857142857143,Naive CD4 T cells,40
Multigrate,0.5068493150684932,Naive CD8 T cells,40
Multigrate,0.7406923579359895,overall,80
Multigrate,0.7927927927927928,B cells,80
Multigrate,0.9975308641975309,CD14 Monocytes,80
Multigrate,0.01904761904761905,CD16 Monocytes,80
Multigrate,0.7694805194805194,Memory T cells,80
Multigrate,0.8867924528301887,NK/Effector T cells,80
Multigrate,0.59375,Naive CD4 T cells,80
Multigrate,0.589041095890411,Naive CD8 T cells,80
