"","method","Omics gap reduction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"1","BindSC",0.59,0.605,0.626666666666667,0.607222222222222,"pbmc3k"
"2","Cobolt",0.395,0.605,0.305,0.435,"pbmc3k"
"3","Portal",0.56,0.635,0.636666666666667,0.610555555555556,"pbmc3k"
"4","Seurat(CCA)",0.415,0.815,0.743333333333333,0.657777777777778,"pbmc3k"
"5","scBridge",0.5,0.89,0.775,0.721666666666667,"pbmc3k"
"6","scDART",0.575,0.73,0.6,0.635,"pbmc3k"
"7","scJoint",0.655,0.86,0.768333333333333,0.761111111111111,"pbmc3k"
"8","scVI",0.5,0.72,0.75,0.656666666666667,"pbmc3k"
"9","scglue",0.655,0.725,0.708333333333333,0.696111111111111,"pbmc3k"
"10","scglue(multiome)",0.595,0.775,0.74,0.703333333333333,"pbmc3k"
"11","simba",0.425,0.715,0.691666666666667,0.610555555555556,"pbmc3k"
