method,CD14 Monocytes,B cells,Memory T cells,NK/Effector T cells,CD16 Monocytes,Naive CD8 T cells,average_accu
random_atac,0,0,0,0,0,0,0
BindSC,0.90251572327044,0.980392156862745,0.93048128342246,0.965277777777778,0.592233009708738,0.263681592039801,0.772430257180327
Cobolt,0.99685534591195,-0.0784313725490196,0.79144385026738,-0.0694444444444445,-0.0194174757281553,-0.0646766169154229,0.259388214423715
MIDAS,0.974842767295597,0.901960784313726,0.844919786096257,0.798611111111111,0.504854368932039,0.512437810945274,0.756271104782334
MaxFuse,0.80188679245283,0.911764705882353,0.882352941176471,0.930555555555556,0.514563106796116,0.746268656716418,0.797898626429957
Portal,0.965408805031447,0.950980392156863,0.893048128342246,0.854166666666667,0.281553398058252,0.805970149253731,0.791854589918201
Seurat(CCA),0.918238993710692,0.941176470588235,0.914438502673797,0.909722222222222,0.475728155339806,0.935323383084577,0.849104621269888
scBridge,0.924528301886792,0.931372549019608,0.93048128342246,0.916666666666667,0.271844660194175,-0.0447761194029851,0.655019556964453
scButterfly,0.993710691823899,1,-0.582887700534759,0.958333333333333,0.524271844660194,0.980099502487562,0.645587945295038
scDART,0.69811320754717,-0.0392156862745098,0.582887700534759,0.902777777777778,0.0679611650485437,-0.0497512437810945,0.360462153475441
scJoint,1,0.96078431372549,0.914438502673797,0.993055555555556,-0.0194174757281553,-0.0447761194029851,0.634014129470617
scVI,0.974842767295597,0.990196078431373,0.962566844919786,0.243055555555556,0.728155339805825,0.82089552238806,0.7866186847327
scglue(multiome),0.987421383647799,0.990196078431373,0.93048128342246,0.902777777777778,0.631067961165048,0.950248756218905,0.898698873443894
scglue,0.977987421383648,0.990196078431373,0.866310160427807,0.923611111111111,0.621359223300971,0.701492537313433,0.84682608866139
simba,0.962264150943396,0.950980392156863,0.919786096256685,0.840277777777778,0.378640776699029,0.606965174129353,0.776485727993851
