method,celltype,ks_celltype,ks_inter_celltype,celltype_omics_ASW
BindSC,Memory T cells,0.34690340386395,0.352460793804402,0.874436897422094
BindSC,Naive CD8 T cells,0.714527275330783,0.596614806262051,0.855904991712363
BindSC,CD16 Monocytes,0.5969214224612,0.613175959842627,0.880000064426319
BindSC,CD14 Monocytes,0.396948560834655,0.376496145665535,0.963818900158374
BindSC,NK/Effector T cells,0.636366596645442,0.716983766485863,0.880088771272306
BindSC,B cells,0.836059829771749,0.86281788637953,0.902789811021553
Seurat(CCA),Memory T cells,0.488101979317875,0.598361344322024,0.665486747136669
Seurat(CCA),Naive CD8 T cells,0.792250257736508,0.714788074861358,0.486067370509412
Seurat(CCA),CD16 Monocytes,0.64249769848059,0.626577320386844,0.754891448384337
Seurat(CCA),CD14 Monocytes,0.82663250877614,0.872807986742875,0.772548852107552
Seurat(CCA),NK/Effector T cells,0.753419623770635,0.830594447772121,0.711809209674971
Seurat(CCA),B cells,0.89115248492896,0.880833271627792,0.72890295194125
scDART,Memory T cells,0.59084683157323,0.602999091589325,0.691747462822431
scDART,Naive CD8 T cells,0.770989354655415,0.438132689864152,0.436499214217382
scDART,CD16 Monocytes,0.599618232921911,0.636736631974727,0.505172692552058
scDART,CD14 Monocytes,0.764503212764556,0.791431740710776,0.913958290152749
scDART,NK/Effector T cells,0.697410683284782,0.749604445590644,0.73299406054297
scDART,B cells,0.838811861714822,0.543269077296475,0.336205226963717
simba,Memory T cells,0.483071570071787,0.568834276524318,0.746907474823992
simba,Naive CD8 T cells,0.828577931064146,0.703664999297651,0.595695971206606
simba,CD16 Monocytes,0.74200806550165,0.73219799600752,0.741920112895418
simba,CD14 Monocytes,0.831743551813,0.877831106680943,0.658418441331668
simba,NK/Effector T cells,0.770260814714826,0.825577259399761,0.754645174318161
simba,B cells,0.921534248569251,0.93501205314904,0.666587656763157
scglue,Memory T cells,0.443313506083193,0.447669729307873,0.951067395168288
scglue,Naive CD8 T cells,0.743879296201672,0.624077577067786,0.955907483065449
scglue,CD16 Monocytes,0.708774939916086,0.74113882590073,0.913897415717043
scglue,CD14 Monocytes,0.826984815324873,0.845681003645406,0.954844675982631
scglue,NK/Effector T cells,0.653322229501358,0.674581359836426,0.957884772322553
scglue,B cells,0.856448606647046,0.85788308856802,0.959727344114217
Portal,Memory T cells,0.375205290123771,0.341413684897104,0.934463532718652
Portal,Naive CD8 T cells,0.756034142243404,0.626291191679521,0.898013842718978
Portal,CD16 Monocytes,0.658696321642429,0.656517239374382,0.881207007612796
Portal,CD14 Monocytes,0.79244988784226,0.810317783621452,0.903019109878728
Portal,NK/Effector T cells,0.736564234302944,0.720110742293656,0.936530088048185
Portal,B cells,0.909494503179615,0.902206699850536,0.934081433234007
scJoint,Memory T cells,0.661225362275732,0.597248948702501,0.480896248903406
scJoint,Naive CD8 T cells,0.687031581575981,0.469264050449526,0.35308211279646
scJoint,CD16 Monocytes,0.681319972300107,0.716113533732346,0.293918998125662
scJoint,CD14 Monocytes,0.8417704183289,0.94173173792012,0.524500692504226
scJoint,NK/Effector T cells,0.790217146855945,0.832488242209666,0.556114867639868
scJoint,B cells,0.82108733044339,0.858543968625872,0.47216857169098
scBridge,Memory T cells,0.729212978520792,0.752024094788729,0.920667409821015
scBridge,Naive CD8 T cells,0.736149859283829,0.543720148399679,0.45327695343346
scBridge,CD16 Monocytes,0.678737708256955,0.764509952129,0.60170752166213
scBridge,CD14 Monocytes,0.907529884837561,0.937002913113461,0.873852243149828
scBridge,NK/Effector T cells,0.941576237411368,0.921432915894831,0.755928222288391
scBridge,B cells,0.967366371541976,0.961113003414373,0.857060309809891
Cobolt,Memory T cells,0.330366852054654,0.348039261798674,0.593517792663204
Cobolt,Naive CD8 T cells,0.391830228704717,0.295580770620313,0.521521931081555
Cobolt,CD16 Monocytes,0.61401996007984,0.521914258580925,0.285393449491013
Cobolt,CD14 Monocytes,0.669111071338794,0.75913428149544,0.355598927667576
Cobolt,NK/Effector T cells,0.267422997848619,0.22544373638888,0.685425274705724
Cobolt,B cells,0.43018749216949,0.21110540677664,0.6188283880204
scglue(multiome),Memory T cells,0.504652335577101,0.512988598277363,0.931372057682388
scglue(multiome),Naive CD8 T cells,0.818868263145395,0.721384710540513,0.867440970297964
scglue(multiome),CD16 Monocytes,0.752913275489837,0.75115026067407,0.911616239894967
scglue(multiome),CD14 Monocytes,0.872212361088528,0.882807655491746,0.945277957522901
scglue(multiome),NK/Effector T cells,0.710274434440979,0.730272726180308,0.901417511530171
scglue(multiome),B cells,0.897316651754924,0.892773705212061,0.925044842066394
scVI,Memory T cells,0.541921250317674,0.552538867388916,0.835094283478925
scVI,Naive CD8 T cells,0.791582066474804,0.690273306617176,0.902399906855308
scVI,CD16 Monocytes,0.802568414192024,0.714715196619959,0.805036345061717
scVI,CD14 Monocytes,0.811274408872242,0.791887615594949,0.852312563072779
scVI,NK/Effector T cells,0.834254941866919,0.688845998839011,0.640164101279339
scVI,B cells,0.90882200790329,0.882810810810811,0.656670001553503
MaxFuse,Memory T cells,0.427756201817813,0.471618252074058,0.717891782650127
MaxFuse,Naive CD8 T cells,0.812195678741546,0.686036309899403,0.591036746706909
MaxFuse,CD16 Monocytes,0.66412823332926,0.639986820939202,0.882951277032618
MaxFuse,CD14 Monocytes,0.515318641232535,0.486111992972419,0.90070281190099
MaxFuse,NK/Effector T cells,0.608204972845225,0.761974943521939,0.729223904553124
MaxFuse,B cells,0.698373300210111,0.806538867634758,0.690190305049103
MIDAS,Memory T cells,0.284781403040463,0.275899818663746,0.923489158684775
MIDAS,Naive CD8 T cells,0.545297530791784,0.442319551555214,0.935673207886281
MIDAS,CD16 Monocytes,0.584922725976618,0.60300715157858,0.939794776354017
MIDAS,CD14 Monocytes,0.439661314379989,0.434985056401826,0.940057576958035
MIDAS,NK/Effector T cells,0.530394405079327,0.555663034877745,0.935121178472789
MIDAS,B cells,0.632100466474688,0.647549247878015,0.920802255096452
scButterfly,Memory T cells,0.605824994064885,0.325567194613374,0.279564627494182
scButterfly,Naive CD8 T cells,0.688844177189652,0.473543165170842,0.176870885864377
scButterfly,CD16 Monocytes,0.784040897796249,0.795618737522822,0.303547471238384
scButterfly,CD14 Monocytes,0.903217389949515,0.841537469247397,0.338049686870131
scButterfly,NK/Effector T cells,0.623549870187665,0.544356700090793,0.322070239994523
scButterfly,B cells,0.869138032729639,0.885486637322042,0.321288600742307
