"method","ks_celltype_mean","asw","omics_asw","ks_inter_celltype_mean","average_accu","peakdist_adj","score","Rank"
"scglue(multiome)",0.76,0.6,0.91,0.75,0.9,0.87,0.8,1
"scglue",0.71,0.57,0.95,0.7,0.85,0.9,0.79,2
"Portal",0.7,0.55,0.91,0.68,0.79,0.79,0.76,3
"scBridge",0.83,0.68,0.74,0.81,0.66,0.75,0.75,4
"scVI",0.78,0.61,0.78,0.72,0.79,0.71,0.74,5
"simba",0.76,0.59,0.69,0.77,0.78,0.86,0.72,6
"BindSC",0.59,0.56,0.89,0.59,0.77,0.84,0.72,7
"Seurat(CCA)",0.73,0.59,0.69,0.75,0.85,0.82,0.71,8
"MIDAS",0.5,0.54,0.93,0.49,0.76,0.84,0.7,9
"MaxFuse",0.62,0.53,0.75,0.64,0.8,0.79,0.68,10
"scJoint",0.75,0.57,0.45,0.74,0.63,0.86,0.62,11
"scButterfly",0.75,0.57,0.29,0.64,0.65,0.76,0.54,12
