method,asw,asw_random,omics_asw,ami,ari,ks.statistic
BindSC,0.563942710589093,0.495655610317426,0.892839906002168,,,
Seurat(CCA),0.593726488531385,0.491304982912475,0.686617763292365,,,
scDART,0.56423827486746,0.489635963248422,0.602762824541884,,,
simba,0.587083659073834,0.493254787124373,0.6940291385565,,,
scglue,0.570081742267962,0.49559488818101,0.948888181061697,,,
Portal,0.552756809542724,0.4929589911995,0.914552502368558,,,
scJoint,0.570979647104803,0.485825995581204,0.4467802486101,,,
scBridge,0.68181388429635,0.488577888370828,0.743748776694119,,,
Cobolt,0.431106006322928,0.484979445109267,0.510047627271578,,,
scglue(multiome),0.603089510556349,0.494614900018704,0.913694929832464,,,
scVI,0.606119059542791,0.490993279052554,0.781946200216929,,,
MaxFuse,0.532217327367896,0.488541805463981,0.751999471315478,,,
MIDAS,0.537932485670147,0.494777798482333,0.932489692242058,,,
scButterfly,0.568580366148384,0.490156892484653,0.290231918700651,,,
