"method","Omics gap reduction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"scglue(multiome)",0.91,0.68,0.8175,0.8025,"parse_pbmc3k"
"scglue",0.95,0.64,0.7875,0.7925,"parse_pbmc3k"
"Portal",0.91,0.625,0.735,0.756666666666667,"parse_pbmc3k"
"scBridge",0.74,0.755,0.7575,0.750833333333333,"parse_pbmc3k"
"scVI",0.78,0.695,0.735,0.736666666666667,"parse_pbmc3k"
"simba",0.69,0.675,0.795,0.72,"parse_pbmc3k"
"BindSC",0.89,0.575,0.6975,0.720833333333333,"parse_pbmc3k"
"Seurat(CCA)",0.69,0.66,0.7925,0.714166666666667,"parse_pbmc3k"
"MIDAS",0.93,0.52,0.645,0.698333333333333,"parse_pbmc3k"
"MaxFuse",0.75,0.575,0.7175,0.680833333333333,"parse_pbmc3k"
"scJoint",0.45,0.66,0.7425,0.6175,"parse_pbmc3k"
"scButterfly",0.29,0.66,0.6725,0.540833333333333,"parse_pbmc3k"
