method,celltype,ks_celltype,ks_inter_celltype,celltype_omics_ASW
scVI,Mesoderm,0.4009068727226685,0.3436561238066555,0.9293243583524072
scVI,Myocyte,0.4256060823317827,0.3430208792315036,0.9478128195485218
scVI,Myoblast,0.174679257002304,0.1238123915220137,0.9680863104831836
Cobolt,Mesoderm,0.5002888306419899,0.4005151357607059,0.8832930664753739
Cobolt,Myocyte,0.305199410372395,0.1177839299789318,0.8809957545312554
Cobolt,Myoblast,0.0769716677405903,0.0414339751168005,0.9367982058940084
Portal,Mesoderm,0.2579301304141349,0.1856730413201186,0.8616535920598806
Portal,Myocyte,0.3425299643328373,0.3476749989527926,0.9305291017658218
Portal,Myoblast,0.0651537059620037,0.0105040960598438,0.8029392253963425
scglue,Mesoderm,0.5075402695419552,0.5063368196837537,0.9882616051733965
scglue,Myocyte,0.4181990995304496,0.4105988786309279,0.9806949704456464
scglue,Myoblast,0.1572340257050639,0.1455587514426944,0.9801076802409674
scglue(multiome),Mesoderm,0.5379838097379296,0.5326186061598884,0.9721129407581556
scglue(multiome),Myocyte,0.4589761945467097,0.42974171738521,0.9654738644695008
scglue(multiome),Myoblast,0.1585448598190908,0.1783708199625106,0.977291444412652
BindSC,Mesoderm,0.180270343083798,0.1640520207797502,0.9652288574613304
BindSC,Myocyte,0.1795920918435816,0.1576258305793484,0.9539008419515842
BindSC,Myoblast,0.087781178584502,0.0822214971244957,0.9640375988422768
Seurat(CCA),Mesoderm,0.5351540951264737,0.5187335726275437,0.8165975858669876
Seurat(CCA),Myocyte,0.4692338560330897,0.3831516414063084,0.8482630672438387
Seurat(CCA),Myoblast,0.1864839858174715,0.2368198258616118,0.782237955318241
MaxFuse,Mesoderm,0.212868609985316,0.1766430918207777,0.9708966538801574
MaxFuse,Myocyte,0.2148123809677468,0.19019689492858,0.8508277505290317
MaxFuse,Myoblast,0.1645324884348116,0.1868293644561136,0.9779204650251544
MIDAS,Mesoderm,0.4335563650141738,0.4595778426473134,0.9696048191465112
MIDAS,Myocyte,0.2780218191300833,0.2040411982859784,0.9294565140667488
MIDAS,Myoblast,0.1582666898118686,0.140633209458761,0.9744271605407328
scDART,Mesoderm,0.5287378739103501,0.5164814809397731,0.9144768162177592
scDART,Myocyte,0.4718927249627998,0.3643931028790387,0.8469246717174477
scDART,Myoblast,0.2553114023619507,0.273442339455482,0.8817282075593292
scBridge,Mesoderm,0.4757930354596481,0.5298971815103835,0.8248706563555932
scBridge,Myocyte,0.3356934695442687,0.2941393701560979,0.6988068720099079
scBridge,Myoblast,0.1288287593025386,0.1007019823710574,0.7646515673237223
simba,Mesoderm,0.4043807426242504,0.479529410722057,0.7335929488324687
simba,Myocyte,0.3479863999137288,0.4096413773729535,0.7411386243101392
simba,Myoblast,0.1316240790196082,0.1270534648990122,0.7313829325279233
scButterfly,Mesoderm,0.3506311684813605,0.1726112298993034,0.7000784711170412
scButterfly,Myocyte,0.3642388360437383,0.3373253281495875,0.716162310189041
scButterfly,Myoblast,0.0612215042507245,0.0804782761214041,0.766107652115214
scJoint,Mesoderm,0.5574697563014388,0.5501829088026952,0.7102099966704581
scJoint,Myocyte,0.47283737492247574,0.5341525870616882,0.6917745751122883
scJoint,Myoblast,0.1323466321311625,0.016481209247188322,0.7504929082894337
