method,asw,asw_random,omics_asw,ami,ari,ks.statistic
scVI,0.5364239901168094,0.499465715747022,0.9484078294613708,0.2452435554738192,0.2692320195659349,0.5523898199875854
Cobolt,0.5252322310117442,0.4990932545326959,0.9003623423002125,0.2626517164469726,0.3144533485586312,0.277715704531347
Portal,0.5135495003105218,0.4996565371717011,0.8650406397406817,0.1308256837946212,0.0778063929062466,0.5027932960893855
scglue,0.5389457813823335,0.4994284733266121,0.9830214186200036,0.4840538277072928,0.5686481708110667,0.7999999999999999
scglue(multiome),0.5523233836768188,0.4992498581837881,0.971626083213436,0.4609097010793461,0.5086030864342825,0.7838609559279951
BindSC,0.5160286308081773,0.4995040149590001,0.9610557660850638,0.3142856017367435,0.2812999708911471,0.7815021725636251
Seurat(CCA),0.5455638886042729,0.4987906923837807,0.8156995361430225,0.3804288167756888,0.2597383295505773,0.6613283674736188
MaxFuse,0.5020565987290739,0.4991417212364888,0.9332149564781144,0.3405875587598092,0.3561247397123456,0.7571073867163253
MIDAS,0.5279192274322557,0.4992209155364939,0.9578294979179974,0.3361659557389928,0.4439736508612553,0.5373680943513346
scDART,0.5667102234711339,0.4986628117345156,0.8810432318315121,0.2893613556174543,0.2924448372191736,0.4201738050900062
scBridge,0.5469036796483495,0.4988470269632802,0.7627763652297412,0.2677896844415892,0.2903237728044091,0.4872749844816884
simba,0.537357855352116,0.4995120071339427,0.7353715018901772,0.4167695562135353,0.5321690604497504,0.5245189323401613
scButterfly,0.5344533455414554,0.4990796137424104,0.7274494778070988,0.245085496259843,0.3466353120123206,0.0075108628181253
scJoint,0.5680431833124552,0.4990624964089804,0.7174924933573935,0.3620761302812071,0.4669035295333638,0.25977653631284914
