"method","Omics gap reduction","Bio-conservation","Alignment accuracy","Overall Performance","Data"
"scglue(multiome)",0.875,0.47,0.511666666666667,0.618888888888889,"RMS_Mast607A"
"scglue",0.89,0.45,0.511666666666667,0.617222222222222,"RMS_Mast607A"
"Seurat(CCA)",0.74,0.475,0.438333333333333,0.551111111111111,"RMS_Mast607A"
"MIDAS",0.75,0.41,0.426666666666667,0.528888888888889,"RMS_Mast607A"
"MaxFuse",0.845,0.35,0.383333333333333,0.526111111111111,"RMS_Mast607A"
"scVI",0.75,0.435,0.373333333333333,0.519444444444444,"RMS_Mast607A"
"BindSC",0.87,0.335,0.345,0.516666666666667,"RMS_Mast607A"
"simba",0.63,0.415,0.483333333333333,0.509444444444444,"RMS_Mast607A"
"scBridge",0.635,0.43,0.345,0.47,"RMS_Mast607A"
"Portal",0.685,0.365,0.26,0.436666666666667,"RMS_Mast607A"
"scJoint",0.49,0.48,0.113333333333333,0.361111111111111,"RMS_Mast607A"
"scButterfly",0.37,0.395,0.286666666666667,0.350555555555556,"RMS_Mast607A"
