Method,Pair,NMI
Seurat(CCA),Seurat(CCA)-1 vs Seurat(CCA)-2,1.0
Seurat(CCA),Seurat(CCA)-1 vs Seurat(CCA)-3,1.0
Seurat(CCA),Seurat(CCA)-2 vs Seurat(CCA)-3,1.0
BindSC,BindSC-1 vs BindSC-3,0.453686444872465
BindSC,BindSC-1 vs BindSC-5,0.5874652728562991
BindSC,BindSC-3 vs BindSC-5,0.5318419151024691
simba,simba-1 vs simba-2,0.4283010747126508
simba,simba-1 vs simba-3,0.4149852280077284
simba,simba-2 vs simba-3,0.4239431000695126
MaxFuse,MaxFuse-1 vs MaxFuse-2,0.7165277488844117
MaxFuse,MaxFuse-1 vs MaxFuse-3,0.6564364197943112
MaxFuse,MaxFuse-2 vs MaxFuse-3,0.6612784990757373
scglue,scglue-1 vs scglue-2,0.5879651655482082
scglue,scglue-1 vs scglue-3,0.6479024905970074
scglue,scglue-2 vs scglue-3,0.5841466582106735
scglue(multiome),scglue(multiome)-1 vs scglue(multiome)-2,0.5394348977494317
scglue(multiome),scglue(multiome)-1 vs scglue(multiome)-3,0.4535399921207826
scglue(multiome),scglue(multiome)-2 vs scglue(multiome)-3,0.5583944175804771
Portal,Portal-2 vs Portal-4,0.5800452118799584
Portal,Portal-2 vs Portal-5,0.6639553135813521
Portal,Portal-4 vs Portal-5,0.5482759719610893
MIDAS,MIDAS-1 vs MIDAS-2,0.4869829628046011
MIDAS,MIDAS-1 vs MIDAS-3,0.5290297222165469
MIDAS,MIDAS-2 vs MIDAS-3,0.4397630131994093
scBridge,scBridge-1 vs scBridge-2,0.8366220599199491
scBridge,scBridge-1 vs scBridge-3,1.0
scBridge,scBridge-2 vs scBridge-3,0.8366220599199492
scButterfly,scButterfly-1 vs scButterfly-2,0.6690739286017104
scButterfly,scButterfly-1 vs scButterfly-3,0.7772404888419384
scButterfly,scButterfly-2 vs scButterfly-3,0.6802337073453326
Cobolt,Cobolt-1 vs Cobolt-4,0.4699405367210372
Cobolt,Cobolt-1 vs Cobolt-5,0.3604421132029067
Cobolt,Cobolt-4 vs Cobolt-5,0.2309883818776975
scVI,scVI-2 vs scVI-3,0.4881163788948004
scVI,scVI-2 vs scVI-4,0.3607880870810671
scVI,scVI-3 vs scVI-4,0.4215156923149705
scDART,scDART-1 vs scDART-4,0.254186784806069
scDART,scDART-1 vs scDART-5,0.6165241218388292
scDART,scDART-4 vs scDART-5,0.2393056375652436
scJoint,scJoint-1 vs scJoint-5,0.5456305974910127
scJoint,scJoint-1 vs scJoint-6,0.3653338417320246
scJoint,scJoint-5 vs scJoint-6,0.471713489182731
