"method","0","0.05","0.1","0.15","0.2","0.25","0.3","0.35","0.4","0.45","0.5","0.55","0.6","0.65","0.7","0.75","0.8","0.85","0.9","0.95","1"
"BindSC",3,3,3,3,3,3,3,3,3,3,3,3,2,4,5,6,6,6,6,7,8
"MaxFuse",1,2,2,2,2,2,2,2,2,2,2,2,4,5,6,7,7,7,7,9,11
"MIDAS",10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,9
"Portal",5,5,5,5,5,5,5,5,5,6,7,7,7,8,8,8,8,9,9,10,10
"scBridge",7,7,7,6,6,6,6,6,6,5,6,6,6,6,3,3,4,3,3,3,3
"scButterfly",11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"scglue",8,8,8,8,8,8,7,7,7,7,5,5,5,2,2,1,1,1,1,2,2
"scglue(multiome)",12,12,11,11,11,11,11,11,10,10,9,9,9,7,7,4,3,2,2,1,1
"scJoint",6,6,6,7,7,7,8,8,8,8,8,8,8,9,9,9,9,8,8,6,7
"scVI",9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,8,6
"Seurat(CCA)",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,4,4,4
"simba",4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,5,5,5,5,5,5
